loss_kl,EpisodesSoFar,ev_tdlam_before,TimeElapsed,TimestepsSoFar,EpRewMean,EpLenMean,loss_pol_surr,loss_ent,EpThisIter,loss_vf_loss,loss_pol_entpen
0.00946808,2,-0.0759025812149,2.007990837097168,2000,5.81151072077,1000.0,-0.0189502,2.83897,2,9.30709,0.0
0.0145267,4,0.199192881584,3.7964982986450195,4000,8.11645198741,1000.0,-0.0264993,2.83097,2,8.32421,0.0
0.0101077,6,0.25443571806,5.54723858833313,6000,15.8443123394,1000.0,-0.0231733,2.80399,2,6.96647,0.0
0.0131909,8,-0.0536730289459,7.343942165374756,8000,12.6597908109,1000.0,-0.0263885,2.7687,2,3.1096,0.0
0.0088801,10,0.0523746013641,9.125185489654541,10000,14.6672595163,1000.0,-0.0143824,2.72821,2,1.25988,0.0
0.00928089,12,0.612355709076,10.921569585800171,12000,16.3133761759,1000.0,-0.0137156,2.7112,2,0.621654,0.0
0.00935056,14,0.799854591489,12.72014832496643,14000,17.2514428614,1000.0,-0.0150053,2.68915,2,0.351566,0.0
0.00509339,16,0.795830562711,14.515836477279663,16000,18.5016823824,1000.0,-0.0107155,2.67975,2,0.969998,0.0
0.00381115,18,0.886992864311,16.296862602233887,18000,19.4218964521,1000.0,-0.0110635,2.65782,2,0.418174,0.0
0.00602358,20,0.89759709686,18.093385219573975,20000,20.2622626659,1000.0,-0.011891,2.63553,2,0.480685,0.0
0.00624579,22,0.929090708494,19.874935150146484,22000,21.3525153261,1000.0,-0.015006,2.58209,2,0.329944,0.0
0.00920385,24,0.931639157236,21.671518087387085,24000,22.0070266754,1000.0,-0.0119937,2.56239,2,0.289535,0.0
0.00937161,26,0.954741999507,23.46871066093445,26000,22.58249535,1000.0,-0.0173742,2.53204,2,0.258382,0.0
0.00666551,28,0.962582685053,25.265591859817505,28000,23.4147938676,1000.0,-0.0135404,2.49774,2,0.177426,0.0
0.00882404,30,0.980210550129,27.06392216682434,30000,23.8800680686,1000.0,-0.0171756,2.4956,2,0.0965111,0.0
0.00859932,32,0.989751927555,28.907891035079956,32000,24.2184120652,1000.0,-0.0144617,2.48092,2,0.0409778,0.0
0.0100283,34,0.947774741799,30.71888256072998,34000,24.4377566316,1000.0,-0.0186745,2.46186,2,0.202136,0.0
0.0115892,36,0.965871222317,32.51545429229736,36000,24.6450363823,1000.0,-0.021044,2.44064,2,0.148478,0.0
0.00894819,38,0.97734773159,34.31444334983826,38000,24.8342171078,1000.0,-0.016572,2.38308,2,0.0833269,0.0
0.00657009,40,0.992642696481,36.12495017051697,40000,25.3010843057,1000.0,-0.0144775,2.33823,2,0.0369149,0.0
0.00805046,43,0.989786244929,37.923789978027344,43000,25.8707624386,1000.0,-0.0202684,2.275,3,0.0336271,0.0
0.00684693,45,0.971471870318,39.734086990356445,45000,26.1819376496,1000.0,-0.0132875,2.27849,2,0.144533,0.0
0.00699635,47,0.97875905782,41.54633045196533,47000,26.2950374622,1000.0,-0.0182295,2.28655,2,0.116315,0.0
0.00539384,49,0.984326131642,43.34399747848511,49000,26.4995246569,1000.0,-0.0136511,2.25627,2,0.0726264,0.0
0.0152975,51,0.982416296378,45.159584283828735,51000,26.7604225829,1000.0,-0.0154285,2.26195,2,0.0619205,0.0
0.0136545,53,0.986860292032,46.95315384864807,53000,27.1071193652,1000.0,-0.0201879,2.25662,2,0.0841633,0.0
0.00530619,55,0.991593943909,48.76553773880005,55000,27.4190820359,1000.0,-0.0135271,2.25042,2,0.0645256,0.0
0.0101528,57,0.98961632885,50.562846660614014,57000,27.7122325846,1000.0,-0.0171475,2.22386,2,0.0502887,0.0
0.00880704,59,0.990909360349,52.37461876869202,59000,27.9843078811,1000.0,-0.0199429,2.20389,2,0.0495872,0.0
0.0103983,61,0.994408287108,54.17212200164795,61000,28.2786839792,1000.0,-0.0143422,2.164,2,0.0338174,0.0
0.00741333,63,0.989565691911,55.98438024520874,63000,28.4499753312,1000.0,-0.017869,2.15893,2,0.0340888,0.0
0.018448,65,0.988881088793,57.796791791915894,65000,28.5995920466,1000.0,-0.0177542,2.09764,2,0.0308787,0.0
0.0039038,67,0.991717022844,59.62474822998047,67000,28.8328229076,1000.0,-0.016236,2.08747,2,0.025562,0.0
0.00569451,69,0.990895299241,61.43749523162842,69000,29.0844309007,1000.0,-0.0152922,2.05028,2,0.0249616,0.0
0.00925255,71,0.99518959038,63.28126096725464,71000,29.3463104718,1000.0,-0.0184427,2.03023,2,0.0247225,0.0
0.00927956,73,0.994670676533,65.09353804588318,73000,29.5730908405,1000.0,-0.0167747,1.99795,2,0.0213384,0.0
