EpLenMean,ev_tdlam_before,loss_pol_entpen,loss_pol_surr,EpThisIter,TimestepsSoFar,loss_kl,loss_vf_loss,EpisodesSoFar,TimeElapsed,EpRewMean,loss_ent
1000.0,-0.0277590751648,0.0,-0.0194751,2,2000,0.0128063,7.59042,2,2.058000326156616,9.14716951244,2.82792
1000.0,0.212935209274,0.0,-0.0274385,2,4000,0.0126557,9.28042,4,3.8279709815979004,16.1445185969,2.80604
1000.0,-0.121586441994,0.0,-0.0219849,2,6000,0.0133772,9.70582,6,5.63150691986084,19.1454721158,2.75856
1000.0,0.188203692436,0.0,-0.01616,2,8000,0.00809458,4.21874,8,7.422123432159424,18.8978593476,2.75071
1000.0,0.422347486019,0.0,-0.0187591,2,10000,0.00931737,2.94032,10,9.234694957733154,20.4406806689,2.69151
1000.0,0.567423224449,0.0,-0.0190223,2,12000,0.00885976,1.25493,12,11.032100200653076,21.2767434608,2.65064
1000.0,0.733276277781,0.0,-0.0183413,2,14000,0.00844868,0.726955,14,12.858888387680054,22.3554934627,2.6293
1000.0,0.801295086741,0.0,-0.0179631,2,16000,0.00817918,0.761123,16,14.655882835388184,22.4708854944,2.60535
1000.0,0.92187820375,0.0,-0.0187177,2,18000,0.0109128,0.274521,18,16.500356912612915,22.7757954659,2.55819
1000.0,0.897240839899,0.0,-0.0130271,2,20000,0.00429276,0.246937,20,18.297519207000732,22.8469814362,2.53422
1000.0,0.946120332927,0.0,-0.0143758,2,22000,0.00706041,0.218076,22,20.12535071372986,23.4588966149,2.48722
1000.0,0.891779184341,0.0,-0.0131414,2,24000,0.00929295,0.199228,24,21.954151153564453,23.7268275868,2.48759
1000.0,0.940872240812,0.0,-0.0174431,2,26000,0.010839,0.202557,26,23.797751426696777,23.3906620537,2.49443
1000.0,0.882574893534,0.0,-0.0141539,2,28000,0.0093619,0.252372,28,25.609121799468994,23.6177847971,2.4779
1000.0,0.945677150041,0.0,-0.0191756,2,30000,0.012103,0.17611,30,27.454020500183105,24.1499961752,2.4452
1000.0,0.969859894365,0.0,-0.0114167,2,32000,0.0106289,0.104251,32,29.25846028327942,24.5792778445,2.42731
1000.0,0.958578415215,0.0,-0.0186229,2,34000,0.00758976,0.126175,34,31.09333872795105,24.9347395069,2.40466
1000.0,0.979890959337,0.0,-0.0149711,2,36000,0.00616272,0.11716,36,32.905614376068115,25.4550938795,2.38623
1000.0,0.972664276138,0.0,-0.0188721,2,38000,0.0102346,0.127373,38,34.74991488456726,25.9136020004,2.36804
1000.0,0.987107383087,0.0,-0.0138736,2,40000,0.00849834,0.0793363,40,36.57782459259033,26.2452041046,2.32507
1000.0,0.988739627413,0.0,-0.0149657,3,43000,0.00844856,0.0614977,43,38.419246673583984,26.9104261036,2.30399
1000.0,0.98330469802,0.0,-0.0112913,2,45000,0.0128241,0.103838,45,40.21887707710266,27.2432876694,2.2852
1000.0,0.988896134309,0.0,-0.0183986,2,47000,0.00677964,0.0642052,47,42.05803394317627,27.6231225063,2.2601
1000.0,0.985072206706,0.0,-0.0208476,2,49000,0.0140892,0.0825954,49,43.87594127655029,27.9181275175,2.24056
1000.0,0.991382404231,0.0,-0.0164201,2,51000,0.00610837,0.0434431,51,45.71853303909302,28.1168851199,2.21433
1000.0,0.992240764666,0.0,-0.015212,2,53000,0.00594987,0.0350243,53,47.53131341934204,28.2933592655,2.20481
1000.0,0.985692511313,0.0,-0.0115892,2,55000,0.0102639,0.0257851,55,49.375144481658936,28.5277686383,2.17368
1000.0,0.993349613622,0.0,-0.0127415,2,57000,0.00437598,0.0344762,57,51.186973333358765,28.8808565918,2.13487
1000.0,0.991121357307,0.0,-0.0140209,2,59000,0.00646387,0.0320334,59,53.01594281196594,29.1252109049,2.11916
1000.0,0.993016592227,0.0,-0.0184006,2,61000,0.0126653,0.0198676,61,54.843929290771484,29.4630818343,2.07251
1000.0,0.990034434944,0.0,-0.0138862,2,63000,0.0147587,0.0231256,63,56.672003984451294,29.7382992816,2.05968
1000.0,0.989135965705,0.0,-0.0153606,2,65000,0.00660192,0.0242998,65,58.48522901535034,29.9071205608,2.03653
1000.0,0.995270534419,0.0,-0.0146455,2,67000,0.00447266,0.018877,67,60.327961683273315,30.0450342574,2.01375
1000.0,0.993144259322,0.0,-0.0113958,2,69000,0.00991589,0.0207028,69,62.15666460990906,30.2278757776,1.98908
1000.0,0.988034163602,0.0,-0.0149603,2,71000,0.0154836,0.020489,71,63.98535633087158,30.3854886887,2.0038
1000.0,0.988655550405,0.0,-0.0219728,2,73000,0.0146181,0.0336083,73,65.8132050037384,30.4957676685,1.93206
1000.0,0.995637455955,0.0,-0.0170385,2,75000,0.0076439,0.0208191,75,67.65652465820312,30.6958352662,1.90981
1000.0,0.99585503526,0.0,-0.0189656,2,77000,0.0104844,0.0145539,77,69.46849632263184,30.8185793929,1.90155
1000.0,0.996850943659,0.0,-0.0180025,2,79000,0.00804546,0.00790706,79,71.31323909759521,30.9635475608,1.86622
1000.0,0.997452069074,0.0,-0.0129136,2,81000,0.00989409,0.0122743,81,73.14020252227783,31.1480220088,1.87194
1000.0,0.998186312965,0.0,-0.00965736,2,83000,0.00475641,0.0110736,83,74.98394465446472,31.2846551879,1.8578
1000.0,0.991831195541,0.0,-0.0171824,3,86000,0.00421705,0.0177514,86,76.79620456695557,31.4024297755,1.89257
1000.0,0.99593672296,0.0,-0.0181788,2,88000,0.0069219,0.0151873,88,78.61036658287048,31.5399898167,1.84838
1000.0,0.99067946896,0.0,-0.0185039,2,90000,0.00837258,0.029837,90,80.42208290100098,31.6929520489,1.86785
1000.0,0.993972569704,0.0,-0.0165919,2,92000,0.00657145,0.0151849,92,82.24955558776855,31.8665310074,1.85149
1000.0,0.991465414874,0.0,-0.0172654,2,94000,0.00948765,0.0326942,94,84.06208062171936,31.9788023208,1.83291
1000.0,0.989209137857,0.0,-0.0129547,2,96000,0.0125717,0.0217218,96,85.89049863815308,32.1666146541,1.80383
1000.0,0.993871287443,0.0,-0.0131613,2,98000,0.0167493,0.0309199,98,87.70312905311584,32.332448997,1.78428
1000.0,0.994174809195,0.0,-0.0171519,2,100000,0.007124,0.0377234,100,89.53085446357727,32.4804932042,1.78249
1000.0,0.996955537936,0.0,-0.0148441,2,102000,0.0060689,0.0150909,102,91.35896754264832,33.0354183557,1.77225
1000.0,0.996603111969,0.0,-0.0161567,2,104000,0.0095003,0.0169768,104,93.17144227027893,33.337927209,1.78386
1000.0,0.990245884284,0.0,-0.0232497,2,106000,0.00898362,0.0196514,106,94.98491930961609,33.6132370549,1.78049
1000.0,0.995874146465,0.0,-0.0149289,2,108000,0.00957616,0.0186185,108,96.79812598228455,34.0453177178,1.77432
1000.0,0.993676178157,0.0,-0.0210564,2,110000,0.0172236,0.0219056,110,98.62597966194153,34.3281772451,1.77282
1000.0,0.995336772874,0.0,-0.0152068,2,112000,0.00830647,0.0197843,112,100.43774485588074,34.6359246829,1.76379
1000.0,0.996631780872,0.0,-0.0211422,2,114000,0.0116377,0.0180396,114,102.26531791687012,34.8395866863,1.73344
1000.0,0.996868333779,0.0,-0.0183604,2,116000,0.0127395,0.0126917,116,104.07754302024841,35.1854495154,1.70838
1000.0,0.997356547276,0.0,-0.0170168,2,118000,0.00930965,0.00924221,118,105.92208003997803,35.5112887814,1.6573
1000.0,0.997989761177,0.0,-0.0135867,2,120000,0.00334281,0.0133764,120,107.73548555374146,35.8740005428,1.64833
1000.0,0.996829679236,0.0,-0.0135652,2,122000,0.0110444,0.00727943,122,109.57787680625916,36.0703379023,1.62956
1000.0,0.997605453711,0.0,-0.024191,2,124000,0.00560506,0.00598674,124,111.39160299301147,36.3264545611,1.60514
1000.0,0.998875483754,0.0,-0.0200646,2,126000,0.00611109,0.00754316,126,113.23410677909851,36.7084693132,1.59736
1000.0,0.998963439837,0.0,-0.0153518,3,129000,0.00537819,0.00941128,129,115.04707884788513,37.1618584333,1.5751
1000.0,0.997928317869,0.0,-0.0178523,2,131000,0.00860385,0.00685499,131,116.89673519134521,37.3518909167,1.55471
1000.0,0.997571565909,0.0,-0.0159746,2,133000,0.00758188,0.0133673,133,118.73388576507568,37.5517266992,1.53981
1000.0,0.995840000454,0.0,-0.0158411,2,135000,0.0198089,0.00822037,135,120.57821989059448,37.6753071091,1.52752
1000.0,0.997345896903,0.0,-0.0141806,2,137000,0.00974281,0.00696316,137,122.40776872634888,37.8181689636,1.54423
