loss_vf_loss,EpLenMean,EpisodesSoFar,TimeElapsed,ev_tdlam_before,loss_kl,EpRewMean,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,loss_ent,EpThisIter
76.1259,817.94,800,77.79773235321045,-0.00239849090576,0.00491985,817.94,96210,-0.00299972,0.0,1.085,3
68.392,835.11,802,79.45476722717285,0.0095442533493,0.00884364,835.11,98210,-0.00406002,0.0,1.08352,2
95.34,850.25,805,81.12646675109863,-0.00684762001038,0.00364598,850.25,100268,-0.00423159,0.0,1.07924,3
66.2683,868.16,807,82.75018739700317,-0.0146560668945,0.00976613,868.16,102268,-0.00889512,0.0,1.0639,2
68.083,884.86,809,84.40612363815308,-0.048504114151,0.00838277,884.86,104268,-0.00249144,0.0,1.06137,2
67.6883,901.91,811,86.04674339294434,-0.0155975818634,0.00910908,901.91,106268,-0.00323323,0.0,1.05898,2
66.9162,919.02,813,87.70298910140991,0.0033370256424,0.00720523,919.02,108268,-0.00525053,0.0,1.06316,2
67.9616,927.47,815,89.34360885620117,0.00316834449768,0.00347248,927.47,110268,-0.00375371,0.0,1.07456,2
68.1522,934.91,817,90.99985480308533,-0.0143629312515,0.0083912,934.91,112268,-0.0054956,0.0,1.05582,2
67.5652,943.54,819,92.64047408103943,0.00254219770432,0.00594562,943.54,114268,-0.00470293,0.0,1.05707,2
67.9372,951.4,821,94.28109574317932,-0.0108757019043,0.0105611,951.4,116268,-0.00628183,0.0,1.07213,2
67.733,951.4,823,95.92171430587769,-0.00017237663269,0.00350652,951.4,118268,-0.00365935,0.0,1.06743,2
67.2395,955.44,825,97.57796096801758,0.0088050365448,0.0045149,955.44,120268,-0.00476034,0.0,1.07006,2
67.4594,955.44,827,99.23420405387878,0.00518703460693,0.00507527,955.44,122268,-0.0031066,0.0,1.08608,2
66.7693,955.44,829,100.89219188690186,-0.00744044780731,0.00439321,955.44,124268,-0.00410288,0.0,1.07751,2
94.5788,954.78,832,102.53566861152649,0.00343972444534,0.0066579,954.78,126749,-0.00485524,0.0,1.07159,3
