loss_kl,EpRewMean,EpisodesSoFar,TimeElapsed,loss_pol_surr,loss_pol_entpen,EpLenMean,loss_ent,loss_vf_loss,EpThisIter,ev_tdlam_before,TimestepsSoFar
0.0126241,-609.293852312,2,2.062582492828369,-0.0301459,0.0,1000.0,8.40483,46.6357,2,-0.0326427221298,2000
0.0138474,-598.231130054,4,3.876021146774292,-0.0374577,0.0,1000.0,8.30597,20.8432,2,0.284523427486,4000
0.0130906,-615.557780102,6,5.671210289001465,-0.0366123,0.0,1000.0,8.24015,37.7808,2,0.132444322109,6000
0.0127959,-600.20147823,8,7.468721151351929,-0.0370474,0.0,1000.0,8.18381,21.9172,2,-0.167348980904,8000
0.0159784,-575.81213481,10,9.26658010482788,-0.0425994,0.0,1000.0,8.12466,41.9467,2,0.133360981941,10000
0.0165916,-566.039611958,12,11.062222719192505,-0.045591,0.0,1000.0,8.08043,48.1324,2,0.163717985153,12000
0.0150622,-566.203386891,14,12.859796285629272,-0.0402677,0.0,1000.0,8.02029,25.3925,2,0.0750802159309,14000
0.015635,-564.865388612,16,14.671531438827515,-0.0400738,0.0,1000.0,7.93291,25.1401,2,0.0599879026413,16000
0.0146809,-550.105083076,18,16.468057870864868,-0.0406768,0.0,1000.0,7.84454,19.9956,2,0.239805877209,18000
0.0181978,-538.891415376,20,18.281285285949707,-0.0409271,0.0,1000.0,7.7375,20.7137,2,0.0652325749397,20000
0.0145409,-533.10336206,22,20.06331777572632,-0.0383459,0.0,1000.0,7.66612,21.3667,2,0.217130661011,22000
0.0157081,-522.603103986,24,21.875163555145264,-0.0424375,0.0,1000.0,7.57231,30.6773,2,0.374406576157,24000
0.0142199,-520.342606949,26,23.671828746795654,-0.0426852,0.0,1000.0,7.50211,23.2155,2,0.52479994297,26000
0.0158903,-509.523690511,28,25.46877384185791,-0.0417216,0.0,1000.0,7.42988,24.6359,2,0.191868901253,28000
0.0143958,-500.68821026,30,27.265425205230713,-0.0400126,0.0,1000.0,7.35815,21.8204,2,0.205896615982,30000
0.0166525,-491.950948568,32,29.06298804283142,-0.0406605,0.0,1000.0,7.28384,20.2665,2,0.190146684647,32000
0.0164531,-482.703839415,34,30.874271869659424,-0.0420502,0.0,1000.0,7.16693,17.7793,2,0.100133657455,34000
0.0146626,-479.260558904,36,32.687318563461304,-0.0453604,0.0,1000.0,7.11895,18.3826,2,0.462003231049,36000
0.0145993,-472.65742815,38,34.48002076148987,-0.0419181,0.0,1000.0,7.03998,17.3049,2,0.160195827484,38000
0.0152614,-464.789982068,40,36.281662464141846,-0.0440538,0.0,1000.0,6.9653,16.3841,2,0.0786690115929,40000
0.0184505,-454.154405258,43,38.07815384864807,-0.0446183,0.0,1000.0,6.88084,24.1407,3,0.0770444273949,43000
0.0145494,-445.030645309,45,39.87462592124939,-0.0449505,0.0,1000.0,6.81695,18.939,2,0.259083032608,45000
0.0148921,-439.439327332,47,41.67270588874817,-0.047948,0.0,1000.0,6.74793,24.632,2,0.28072488308,47000
0.0143253,-431.791514245,49,43.46849966049194,-0.0445693,0.0,1000.0,6.68045,14.0143,2,0.0281072258949,49000
0.016264,-423.673307899,51,45.296862840652466,-0.0484469,0.0,1000.0,6.61866,16.4685,2,0.203439593315,51000
0.0163997,-418.354569482,53,47.093536138534546,-0.0504402,0.0,1000.0,6.54451,16.5575,2,0.225568532944,53000
0.0143386,-409.750192432,55,48.90786099433899,-0.0458984,0.0,1000.0,6.4846,12.4665,2,0.166452229023,55000
0.0172935,-401.471600314,57,50.73472833633423,-0.0484826,0.0,1000.0,6.39281,10.9109,2,0.186641871929,57000
0.0143146,-393.725694014,59,52.53140592575073,-0.0518967,0.0,1000.0,6.30188,11.7918,2,0.249795258045,59000
0.0161885,-387.233916171,61,54.34371733665466,-0.0495032,0.0,1000.0,6.2533,15.3679,2,0.382674753666,61000
0.0149174,-379.275345943,63,56.14029407501221,-0.0533633,0.0,1000.0,6.15759,11.2355,2,0.283437371254,63000
0.0159097,-371.457568491,65,57.96870803833008,-0.0535972,0.0,1000.0,6.09239,7.48501,2,0.0941689014435,65000
0.016442,-361.514312997,67,59.76709508895874,-0.055108,0.0,1000.0,6.02292,9.36652,2,0.203636169434,67000
0.0169491,-352.755636881,69,61.56257128715515,-0.0569177,0.0,1000.0,5.93584,10.9059,2,0.306384086609,69000
0.0151227,-342.293219412,71,63.37605357170105,-0.0547901,0.0,1000.0,5.81929,9.6172,2,0.262042403221,71000
0.0156697,-337.301540477,73,65.17163753509521,-0.0541412,0.0,1000.0,5.75291,19.5009,2,0.532201260328,73000
0.0171209,-328.982954007,75,66.98562002182007,-0.0587501,0.0,1000.0,5.71588,13.1011,2,0.677726775408,75000
0.0166683,-319.314610975,77,68.79655146598816,-0.0567972,0.0,1000.0,5.63316,12.6324,2,0.448650658131,77000
0.0160142,-309.006512707,79,70.61052322387695,-0.057932,0.0,1000.0,5.54109,8.64425,2,0.344587564468,79000
0.017024,-298.919123985,81,72.40711379051208,-0.0602858,0.0,1000.0,5.43842,11.0769,2,0.63051122427,81000
0.0160814,-287.165554277,83,74.21883821487427,-0.0577603,0.0,1000.0,5.35337,9.32239,2,0.651143699884,83000
0.0199237,-271.791743647,86,76.01546502113342,-0.0599768,0.0,1000.0,5.2448,12.7059,3,0.708110153675,86000
0.015762,-261.271129417,88,77.81205630302429,-0.0563651,0.0,1000.0,5.18011,9.65601,2,0.457771837711,88000
0.0179326,-251.835120558,90,79.59393906593323,-0.0611279,0.0,1000.0,5.11683,16.2128,2,0.72753944993,90000
0.0175175,-239.656915108,92,81.3918046951294,-0.0575869,0.0,1000.0,5.02966,12.4577,2,0.557456940413,92000
0.0174806,-229.171329069,94,83.18751454353333,-0.0597146,0.0,1000.0,4.92785,16.2622,2,0.397183060646,94000
0.0243771,-217.482045494,96,84.9686770439148,-0.0564936,0.0,1000.0,4.82226,13.4757,2,0.277909219265,96000
0.0162136,-206.082796228,98,86.75446724891663,-0.0544525,0.0,1000.0,4.72985,15.9655,2,0.60252520442,98000
0.0177793,-194.910406864,100,88.5469377040863,-0.0548531,0.0,1000.0,4.66452,15.0466,2,0.251873314381,100000
0.0190951,-174.033328795,102,90.34362244606018,-0.0562657,0.0,1000.0,4.56436,17.5369,2,0.348071753979,102000
0.0169306,-154.118906343,104,92.14013695716858,-0.0552616,0.0,1000.0,4.48812,18.9255,2,0.586612910032,104000
0.0179348,-131.863165204,106,93.92167258262634,-0.0541717,0.0,1000.0,4.42921,18.2994,2,0.193341076374,106000
0.0195436,-111.330963983,108,95.7337417602539,-0.0578497,0.0,1000.0,4.3898,21.3207,2,0.605802685022,108000
0.0171332,-92.7581540992,110,97.51568055152893,-0.0501838,0.0,1000.0,4.38329,21.3747,2,0.670532375574,110000
0.0182867,-73.1476521783,112,99.31261968612671,-0.0509467,0.0,1000.0,4.35847,21.0594,2,0.742802232504,112000
0.0178417,-51.8103887135,114,101.10925340652466,-0.0537258,0.0,1000.0,4.30453,28.3017,2,0.733325213194,114000
0.0202198,-32.3094747056,116,102.88986372947693,-0.0549938,0.0,1000.0,4.23831,28.667,2,0.644504606724,116000
0.0181182,-12.6503155761,118,104.68761491775513,-0.0508891,0.0,1000.0,4.15783,27.4311,2,0.729688644409,118000
0.0138556,6.61442825926,120,106.48368716239929,-0.0455878,0.0,1000.0,4.12991,25.8776,2,0.447639882565,120000
0.020952,28.9369279946,122,108.26551294326782,-0.0435199,0.0,1000.0,4.04803,25.1157,2,-0.0173820257187,122000
0.0213367,49.5203180095,124,110.03137230873108,-0.0462791,0.0,1000.0,3.98485,29.318,2,0.13994884491,124000
0.0202378,72.2958080856,126,111.85866594314575,-0.0458703,0.0,1000.0,3.93192,32.3726,2,0.131368458271,126000
0.0163139,99.7904182923,129,113.65641117095947,-0.0519025,0.0,1000.0,3.89721,40.2842,3,0.382547795773,129000
0.0165875,119.895121418,131,115.4375331401825,-0.041041,0.0,1000.0,3.91075,30.0808,2,0.247635602951,131000
0.0192696,139.299438853,133,117.23541355133057,-0.0488432,0.0,1000.0,3.85852,34.1103,2,0.493731677532,133000
0.0203561,159.836684453,135,119.0476245880127,-0.0440012,0.0,1000.0,3.80586,35.9504,2,0.162974238396,135000
0.0209159,180.361055615,137,120.83573484420776,-0.049485,0.0,1000.0,3.76412,36.7189,2,0.542940139771,137000
0.0227357,199.239305742,139,122.62423777580261,-0.0448201,0.0,1000.0,3.72553,38.6469,2,0.49374204874,139000
0.0195885,219.010468752,141,124.42158031463623,-0.0427148,0.0,1000.0,3.69743,34.9036,2,0.474816977978,141000
0.020378,238.016395115,143,126.2188835144043,-0.0485084,0.0,1000.0,3.6572,39.6075,2,0.641473084688,143000
0.0192108,257.166739046,145,127.9999623298645,-0.0434829,0.0,1000.0,3.58139,38.3501,2,0.0740182995796,145000
0.016085,278.28623032,147,129.7809317111969,-0.0427435,0.0,1000.0,3.51161,39.7283,2,0.292711734772,147000
0.0176203,298.22917909,149,131.59317827224731,-0.0406612,0.0,1000.0,3.47153,40.4845,2,0.189564347267,149000
0.0180216,318.351280439,151,133.3894965648651,-0.0471514,0.0,1000.0,3.44572,41.7161,2,0.479996562004,151000
0.0193972,338.162026074,153,135.18972444534302,-0.0485355,0.0,1000.0,3.39541,45.4826,2,0.513849526644,153000
0.0283839,356.769693837,155,136.95403957366943,-0.0444512,0.0,1000.0,3.33187,47.4449,2,0.237426519394,155000
0.0250231,375.799310328,157,138.75055813789368,-0.0441717,0.0,1000.0,3.30082,47.3847,2,0.416617393494,157000
0.0203554,395.228013461,159,140.53060603141785,-0.0440338,0.0,1000.0,3.2907,49.387,2,0.363040268421,159000
0.017049,414.389156752,161,142.33083057403564,-0.0456199,0.0,1000.0,3.27312,55.7626,2,0.554290086031,161000
0.0218845,432.78555259,163,144.12440633773804,-0.0421252,0.0,1000.0,3.22354,50.6397,2,0.0690734386444,163000
0.0274976,451.727070796,165,145.9219627380371,-0.0457954,0.0,1000.0,3.18147,48.8139,2,0.400627195835,165000
0.0241318,468.218369384,167,147.70953559875488,-0.036472,0.0,1000.0,3.1895,54.0336,2,0.259883821011,167000
0.0234409,486.628521673,169,149.5159513950348,-0.0376802,0.0,1000.0,3.16699,54.054,2,0.195026934147,169000
0.02449,511.55954642,172,151.3128273487091,-0.0411214,0.0,1000.0,3.13481,74.6913,3,0.0744451880455,172000
