ev_tdlam_before,EpThisIter,TimeElapsed,loss_pol_surr,EpisodesSoFar,EpRewMean,loss_vf_loss,TimestepsSoFar,loss_pol_entpen,loss_ent,loss_kl,EpLenMean
0.971415046602,12,95.01589894294739,-0.0388674,848,313.117705725,20.701,94003,0.0,7.3801,0.0147731,168.81
0.96836380288,12,97.11324667930603,-0.040578,860,317.090127941,22.1103,96120,0.0,7.39087,0.0138147,169.64
0.967139679939,13,99.1799726486206,-0.0418425,873,321.276419269,28.1578,98201,0.0,7.399,0.0143971,169.57
0.978281576186,12,101.27394533157349,-0.0405011,885,326.501455689,18.1661,100334,0.0,7.36311,0.0159202,171.33
0.975794518366,11,103.32831597328186,-0.0437428,896,325.922799825,15.7813,102253,0.0,7.34476,0.015676,170.27
0.975233485922,13,105.40993142127991,-0.0510602,909,327.918424985,20.9366,104298,0.0,7.3027,0.0156645,169.83
0.9666720815,14,107.4684636592865,-0.0424329,923,326.855744571,18.5915,106438,0.0,7.30733,0.018657,167.41
0.96522346139,12,109.56195902824402,-0.0432533,935,330.996777315,23.1832,108493,0.0,7.29479,0.013019,166.87
0.974265424535,12,111.62435936927795,-0.0423279,947,334.42997369,23.0131,110572,0.0,7.25995,0.0145499,167.74
0.97084129788,13,113.69541025161743,-0.0443976,960,330.039384001,21.7781,112512,0.0,7.22133,0.0131925,163.92
0.973277309909,11,115.77337384223938,-0.0434695,971,335.123146865,17.4652,114529,0.0,7.1782,0.0132524,166.2
0.964467708021,13,117.83477783203125,-0.0493741,984,335.144506539,29.2429,116592,0.0,7.17527,0.0156669,164.02
0.97827436775,13,119.92847156524658,-0.0469197,997,335.669817168,20.2896,118648,0.0,7.11197,0.0148033,162.14
0.978311287239,13,121.98817348480225,-0.0442137,1010,338.578335055,19.8272,120703,0.0,7.10003,0.014144,162.52
0.973069880158,15,124.06906986236572,-0.0421915,1025,337.700396918,28.7844,122846,0.0,7.12367,0.0152648,160.62
0.978584399447,13,126.17060708999634,-0.0402131,1038,338.260855102,23.4615,124865,0.0,7.08575,0.01843,158.41
0.976306334138,13,128.2317600250244,-0.0436925,1051,343.879339723,20.2083,126937,0.0,7.11107,0.016875,158.9
0.982219222933,12,130.29642295837402,-0.0422237,1063,346.469649789,18.7437,128862,0.0,7.07507,0.0157373,158.39
0.946137037128,14,132.40259885787964,-0.0441184,1077,347.64595751,50.9748,131067,0.0,6.98514,0.0143676,155.95
0.964423194528,12,134.49260807037354,-0.0419899,1089,351.789387279,24.8555,133035,0.0,6.9689,0.0129243,157.47
