TimeElapsed,loss_pol_surr,loss_vf_loss,EpRewMean,EpThisIter,TimestepsSoFar,EpLenMean,loss_kl,loss_ent,EpisodesSoFar,ev_tdlam_before,loss_pol_entpen
82.33482360839844,-0.0596281,36.4804,-295.580533448,2,92000,1000.0,0.0161426,6.02763,92,0.764436751604,0.0
84.13215732574463,-0.0637001,43.4363,-289.025577875,2,94000,1000.0,0.0145973,5.99213,94,0.74450185895,0.0
85.94552683830261,-0.0597822,31.98,-284.487918938,2,96000,1000.0,0.016756,5.95394,96,0.873342320323,0.0
87.74076843261719,-0.0637561,34.0915,-278.541960346,2,98000,1000.0,0.0165618,5.9088,98,0.86917643249,0.0
89.57749795913696,-0.059465,39.4754,-274.530527283,2,100000,1000.0,0.0151456,5.85617,100,-0.24428319931,0.0
91.38147377967834,-0.0612431,39.348,-258.549636894,2,102000,1000.0,0.0141833,5.80238,102,0.803167551756,0.0
93.19398832321167,-0.0628212,44.9076,-242.240984514,2,104000,1000.0,0.0165731,5.76645,104,0.417923867702,0.0
94.9892590045929,-0.0618559,49.4627,-222.36349051,2,106000,1000.0,0.0149734,5.75323,106,0.648827254772,0.0
96.8034815788269,-0.0645125,37.1798,-207.931367866,2,108000,1000.0,0.013675,5.73888,108,0.89365272969,0.0
98.61754155158997,-0.0620368,42.3124,-193.778065169,2,110000,1000.0,0.0140156,5.65449,110,0.424037158489,0.0
100.42917704582214,-0.0634399,50.7017,-176.429139334,2,112000,1000.0,0.0156067,5.60313,112,0.468063473701,0.0
102.24093270301819,-0.0628688,47.6604,-158.673109802,2,114000,1000.0,0.015441,5.55064,114,0.595073312521,0.0
104.05330848693848,-0.0611894,48.0687,-141.625916869,2,116000,1000.0,0.0137865,5.51436,116,0.42094963789,0.0
105.86760544776917,-0.0642065,41.0674,-123.249795793,2,118000,1000.0,0.0155962,5.49131,118,0.731289029121,0.0
107.67840147018433,-0.0644341,42.7408,-106.828832403,2,120000,1000.0,0.0159939,5.4595,120,0.883284315467,0.0
109.49188208580017,-0.0636747,39.3249,-92.0265992547,2,122000,1000.0,0.0171797,5.3945,122,0.861244648695,0.0
111.30326080322266,-0.0652135,43.8177,-72.7535149324,2,124000,1000.0,0.0170359,5.32166,124,0.934578716755,0.0
113.11572360992432,-0.0644843,52.1521,-56.346773667,2,126000,1000.0,0.0149484,5.29169,126,0.742708414793,0.0
114.9135229587555,-0.0590289,39.3147,-27.6857613794,3,129000,1000.0,0.0170177,5.28826,129,0.920608386397,0.0
116.74626874923706,-0.0634639,60.6253,-8.05433102162,2,131000,1000.0,0.017318,5.21851,131,0.469270288944,0.0
118.53863024711609,-0.0637326,59.7856,12.9575011141,2,133000,1000.0,0.0185169,5.17421,133,0.377732634544,0.0
120.3666501045227,-0.0634152,48.3429,27.7997680156,2,135000,1000.0,0.0179265,5.11473,135,0.940222874284,0.0
122.16341066360474,-0.0570597,45.9335,43.3578177456,2,137000,1000.0,0.0159988,5.07928,137,0.948260910809,0.0
123.99127531051636,-0.0642676,61.2265,65.4167709213,2,139000,1000.0,0.0188672,5.03018,139,0.887179732323,0.0
125.78820562362671,-0.0632095,55.5807,88.52165734,2,141000,1000.0,0.0141529,5.01749,141,0.770393893123,0.0
127.615797996521,-0.0556784,67.0676,112.103030371,2,143000,1000.0,0.0190564,4.96659,143,0.24402064085,0.0
