EpThisIter,EpRewMean,TimeElapsed,loss_ent,EpisodesSoFar,loss_pol_surr,TimestepsSoFar,loss_pol_entpen,ev_tdlam_before,loss_kl,loss_vf_loss,EpLenMean
22,771.342748522,83.32792973518372,0.109522,4316,-0.0114708,94175,0.0,0.579788029194,0.00862305,6542.77,83.15
21,827.141987719,85.11293458938599,0.095055,4337,-0.0128146,96154,0.0,0.654973685741,0.0130707,6502.98,89.15
15,909.328881681,86.89622902870178,0.0478365,4352,-0.00791601,98287,0.0,0.603511691093,0.0207275,7036.96,97.99
12,996.786982671,88.67234587669373,0.0273243,4364,-0.0147011,100189,0.0,0.65567868948,0.0183876,6858.96,107.4
16,1049.66618614,90.45397806167603,-0.00100958,4380,-0.00370135,102215,0.0,0.650649815798,0.0251624,6595.47,113.09
14,1135.33969255,92.21920323371887,-0.017292,4394,-0.0102684,104390,0.0,0.64358651638,0.0139396,6646.47,122.31
12,1206.39224341,93.99948477745056,-0.0389638,4406,-0.0126553,106321,0.0,0.626464992762,0.0113828,7024.66,129.95
11,1326.03885742,95.78070116043091,-0.0503703,4417,-0.00331103,108544,0.0,0.627553492785,0.0202172,7056.64,142.81
11,1407.85885232,97.55343914031982,-0.0676486,4428,-0.00909308,110310,0.0,0.581215202808,0.0123822,7599.76,151.61
12,1465.43164523,99.33480405807495,-0.0727072,4440,-0.0129606,112366,0.0,0.61291846633,0.00401745,6676.88,157.81
13,1518.54052937,101.10108709335327,-0.0871687,4453,-0.0106737,114666,0.0,0.680514872074,0.0119071,6581.84,163.52
8,1568.73001501,102.88222169876099,-0.106068,4461,-0.00885386,116670,0.0,0.631530046463,0.0091767,6662.52,168.91
11,1622.87137624,104.65635895729065,-0.124522,4472,-0.00670841,118758,0.0,0.592857271433,0.00967035,7038.69,174.73
7,1759.95276467,106.42194652557373,-0.140303,4479,-0.0138264,120736,0.0,0.649263858795,0.0124442,6392.23,189.47
11,1782.41427489,108.20321774482727,-0.147334,4490,-0.00623641,122863,0.0,0.645946472883,0.0203137,6453.69,191.88
7,1808.83385928,109.98322081565857,-0.1775,4497,-0.0132219,124573,0.0,0.571821451187,0.00863741,6983.7,194.72
9,1918.55047463,111.7654345035553,-0.19539,4506,-0.0141489,126973,0.0,0.677400946617,0.00960754,5964.14,206.52
9,1920.1163487,113.53815984725952,-0.217242,4515,-0.00140905,128814,0.0,0.629555135965,0.0147135,6712.58,206.69
8,1969.92188444,115.3038375377655,-0.220816,4523,-0.017157,130775,0.0,0.684798926115,0.0202812,6058.83,212.05
7,2015.15655476,117.08463644981384,-0.232338,4530,-0.00424575,132913,0.0,0.685819506645,0.0152078,6160.16,216.9
5,2148.01147539,118.85089159011841,-0.250973,4535,-0.012452,135111,0.0,0.678555101156,0.00825725,6029.51,231.18
7,2207.8893218,120.62509751319885,-0.260457,4542,-0.0114805,137023,0.0,0.672616690397,0.0145056,6104.38,237.61
7,2313.12899155,122.39059019088745,-0.257185,4549,-0.0111244,138922,0.0,0.644571095705,0.0100537,6074.99,248.92
5,2384.93492379,124.17139410972595,-0.262943,4554,-0.00734678,140770,0.0,0.65611153841,0.014951,5825.27,256.64
6,2489.80982357,125.93798351287842,-0.284202,4560,-0.00318918,143248,0.0,0.6647387743,0.0229363,5595.58,267.92
6,2579.7739361,127.70063257217407,-0.29578,4566,-0.00336113,145374,0.0,0.631880789995,0.0234939,5913.08,277.58
3,2625.61273939,129.47553181648254,-0.30305,4569,-0.01331,146480,0.0,0.462928950787,0.0193292,5443.87,282.51
6,2779.04555403,131.24105429649353,-0.306061,4575,-0.000605095,149321,0.0,0.55547606945,0.02435,5404.32,299.0
3,2847.28342218,133.0048418045044,-0.318967,4578,-0.00735243,151218,0.0,0.51179921627,0.0215808,5405.62,306.33
4,2981.75144401,134.7820065021515,-0.328062,4582,-0.00903742,153543,0.0,0.435659527779,0.0172828,5827.43,320.78
3,3081.46716359,136.54641199111938,-0.333495,4585,-0.00816535,155171,0.0,0.695720165968,0.0249029,4534.81,331.5
3,3232.64492125,138.29635381698608,-0.33214,4588,-0.00489048,157294,0.0,0.436596393585,0.0206306,5486.23,347.74
3,3397.63537758,140.06252145767212,-0.339681,4591,-0.00780506,159461,0.0,0.196863174438,0.0119898,6192.36,365.47
8,3357.10135026,141.83484053611755,-0.342083,4599,0.00841591,161302,0.0,0.55478054285,0.0497205,5967.88,361.11
5,3433.58206509,143.6145887374878,-0.350084,4604,-0.00862709,163604,0.0,0.559378802776,0.00973015,5808.05,369.33
3,3568.72135707,145.36549186706543,-0.364755,4607,-0.0146557,165444,0.0,0.471991479397,0.0214016,5004.7,383.85
3,3712.7522144,147.14063262939453,-0.35879,4610,-0.00560494,167630,0.0,0.375938296318,0.0283766,5644.54,399.33
6,3756.88492785,148.92117428779602,-0.364996,4616,-0.0104301,169819,0.0,0.543998003006,0.0121737,6034.7,404.07
4,3788.91424546,150.6849009990692,-0.374061,4620,-0.0118936,171268,0.0,0.492869496346,0.0151125,5444.42,407.51
7,3893.03726069,152.45975852012634,-0.391612,4627,-0.0147135,174060,0.0,0.554421812296,0.0096427,7237.18,418.7
2,4031.30275325,154.22576379776,-0.389724,4629,0.00168391,176009,0.0,0.342829346657,0.0344414,3741.13,433.56
2,4058.71654116,155.99159264564514,-0.376437,4631,-0.00124352,177563,0.0,0.274556875229,0.0292188,4134.16,436.5
