EpisodesSoFar,loss_vf_loss,loss_ent,EpRewMean,ev_tdlam_before,EpThisIter,loss_kl,TimeElapsed,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,EpLenMean
655,28.1503,1.61377,-46.7568421425,0.594958513975,41,0.00998708,28.516969680786133,32750,-0.020584,0.0,50.0
696,21.5727,1.51606,-45.8872477562,0.68897998333,41,0.0116969,30.24282145500183,34800,-0.0292113,0.0,50.0
737,17.8086,1.43369,-42.9168833526,0.738151967525,41,0.00868967,31.99931788444519,36850,-0.0218687,0.0,50.0
778,14.5938,1.34356,-40.3956627362,0.753191649914,41,0.0101634,33.73430252075195,38900,-0.0254484,0.0,50.0
819,12.9087,1.27171,-38.323352158,0.745691359043,41,0.00842997,35.499263763427734,40950,-0.0220881,0.0,50.0
860,13.2075,1.20265,-36.8552196989,0.73616245389,41,0.00734264,37.23356318473816,43000,-0.0207407,0.0,50.0
901,11.5478,1.13774,-34.5702908678,0.725311279297,41,0.00783518,38.999571800231934,45050,-0.0184236,0.0,50.0
942,11.54,1.0673,-33.2033314935,0.676150381565,41,0.00762206,40.74075722694397,47100,-0.022298,0.0,50.0
983,9.64688,0.977051,-31.7780327569,0.694525152445,41,0.010388,42.4992356300354,49150,-0.0211452,0.0,50.0
1024,7.26064,0.921795,-30.0776096872,0.769330739975,41,0.0109172,44.24182415008545,51200,-0.0228524,0.0,50.0
1064,7.46276,0.8648,-28.7719661279,0.725296735764,40,0.0105344,46.00791645050049,53200,-0.0214048,0.0,50.0
1105,5.78424,0.789457,-27.5079964276,0.734674423933,41,0.0115019,47.749409914016724,55250,-0.0232251,0.0,50.0
1146,5.88524,0.753811,-25.9845414548,0.723258525133,41,0.00628916,49.499473094940186,57300,-0.0182628,0.0,50.0
1187,5.56493,0.694084,-25.0387003324,0.724560499191,41,0.00829203,51.249186754226685,59350,-0.0243894,0.0,50.0
1228,4.45571,0.636462,-24.0699489434,0.747531175613,41,0.00872463,53.01471948623657,61400,-0.0183073,0.0,50.0
1269,3.3536,0.566081,-23.1832343387,0.806226760149,41,0.011462,54.74945664405823,63450,-0.0239527,0.0,50.0
1310,3.68652,0.507635,-22.5514660537,0.749483585358,41,0.00954218,56.51500105857849,65500,-0.0207962,0.0,50.0
1351,2.97528,0.466706,-22.576718757,0.800296232104,41,0.00825857,58.25750017166138,67550,-0.0175955,0.0,50.0
1392,3.20645,0.426037,-22.1467161943,0.796267539263,41,0.0125755,60.02301621437073,69600,-0.0219999,0.0,50.0
1433,3.0717,0.336858,-21.877968442,0.743611931801,41,0.0119705,61.77288269996643,71650,-0.0211576,0.0,50.0
1474,2.67723,0.294228,-21.4008212746,0.772097051144,41,0.0104485,63.53115510940552,73700,-0.0232677,0.0,50.0
1515,2.63681,0.22292,-21.2534447957,0.814013466239,41,0.00945924,65.3048689365387,75750,-0.025409,0.0,50.0
1556,2.54048,0.167285,-20.5859055822,0.7904856354,41,0.0102373,67.0569212436676,77800,-0.0228595,0.0,50.0
