loss_ent,EpisodesSoFar,EpRewMean,EpThisIter,loss_kl,TimeElapsed,loss_pol_entpen,loss_pol_surr,loss_vf_loss,ev_tdlam_before,EpLenMean,TimestepsSoFar
8.45209,2,-601.099423318,2,0.0147813,2.0646798610687256,0.0,-0.0366157,65.1599,-0.00229442119598,1000.0,2000
8.35429,4,-556.652969772,2,0.0125477,3.862211227416992,0.0,-0.0329213,28.3025,0.206803321838,1000.0,4000
8.29091,6,-594.561146685,2,0.0140603,5.658412218093872,0.0,-0.0363022,23.809,-0.0573979616165,1000.0,6000
8.21179,8,-596.544374837,2,0.0143836,7.455503463745117,0.0,-0.0382933,22.9801,0.0512976646423,1000.0,8000
8.10796,10,-588.996427986,2,0.0149354,9.253635168075562,0.0,-0.040057,27.0892,0.14894592762,1000.0,10000
7.97256,12,-568.253781253,2,0.0142337,11.046664237976074,0.0,-0.0381928,19.2294,0.186174273491,1000.0,12000
7.88797,14,-562.076059943,2,0.0164452,12.854797124862671,0.0,-0.0413467,18.9257,0.262440919876,1000.0,14000
7.81291,16,-556.660718231,2,0.0154185,14.656708717346191,0.0,-0.0420533,39.0279,0.114762544632,1000.0,16000
7.79144,18,-544.484192328,2,0.0141302,16.451982975006104,0.0,-0.0386932,23.0828,0.252598166466,1000.0,18000
7.73735,20,-537.139984744,2,0.013427,18.248657941818237,0.0,-0.0388068,23.5366,0.162416875362,1000.0,20000
7.65409,22,-527.860958458,2,0.015374,20.06118607521057,0.0,-0.0396622,22.3797,0.0638394355774,1000.0,22000
7.54925,24,-519.5109753,2,0.0153484,21.85053324699402,0.0,-0.0404023,20.9927,0.262775123119,1000.0,24000
7.47963,26,-512.161697116,2,0.0160928,23.654756546020508,0.0,-0.0404549,36.086,-0.0052684545517,1000.0,26000
7.44907,28,-514.742095845,2,0.0138187,25.45162606239319,0.0,-0.0417051,33.8542,0.106761097908,1000.0,28000
7.39659,30,-510.185918308,2,0.0161249,27.26412081718445,0.0,-0.0430878,28.9158,0.0840417146683,1000.0,30000
7.2856,32,-502.034625348,2,0.0187257,29.04536461830139,0.0,-0.0459087,20.0725,0.258064508438,1000.0,32000
7.25083,34,-493.911686779,2,0.0181998,30.854676723480225,0.0,-0.0485028,28.164,-0.0156987905502,1000.0,34000
7.21178,36,-495.10270441,2,0.0142937,32.650864124298096,0.0,-0.0461288,30.5912,0.187322318554,1000.0,36000
7.15521,38,-491.690519679,2,0.0174154,34.4492564201355,0.0,-0.045994,24.9505,-0.072848200798,1000.0,38000
7.10266,40,-486.189061641,2,0.0146388,36.241084575653076,0.0,-0.0451261,38.4819,0.212436795235,1000.0,40000
7.0247,43,-480.733477608,3,0.0143798,38.04573321342468,0.0,-0.0435745,24.0924,0.111437678337,1000.0,43000
6.93445,45,-475.007119779,2,0.0146649,39.84389877319336,0.0,-0.0469512,25.0292,0.207120835781,1000.0,45000
6.89746,47,-469.371053506,2,0.0155717,41.64613223075867,0.0,-0.0461721,21.064,0.210017204285,1000.0,47000
6.84338,49,-463.533929176,2,0.0147707,43.44463920593262,0.0,-0.0470651,17.0616,0.00423008203506,1000.0,49000
6.79666,51,-456.576267108,2,0.014865,45.240737438201904,0.0,-0.0488729,20.6118,0.180119037628,1000.0,51000
6.73486,53,-452.706398296,2,0.0167948,47.046040058135986,0.0,-0.050231,28.3873,0.255792915821,1000.0,53000
6.65811,55,-445.603598404,2,0.0158354,48.84275960922241,0.0,-0.0495079,16.2981,0.156953334808,1000.0,55000
6.60805,57,-439.964356503,2,0.0162898,50.63571572303772,0.0,-0.0505802,17.1526,0.20700854063,1000.0,57000
6.52005,59,-433.027676451,2,0.017251,52.431801557540894,0.0,-0.0524689,15.8985,0.116213917732,1000.0,59000
6.43284,61,-427.848271366,2,0.0175233,54.24448037147522,0.0,-0.0548294,18.3418,0.25810021162,1000.0,61000
6.37895,63,-420.798086791,2,0.0188853,56.0491726398468,0.0,-0.0541014,11.9717,0.347525000572,1000.0,63000
6.32394,65,-416.147513075,2,0.0164644,57.84728717803955,0.0,-0.0561328,19.8237,0.0515715479851,1000.0,65000
6.20409,67,-408.29033839,2,0.0152288,59.64361047744751,0.0,-0.0577256,15.7868,0.292283773422,1000.0,67000
6.15499,69,-401.530057715,2,0.016817,61.44429564476013,0.0,-0.0554975,13.5251,0.291177988052,1000.0,69000
6.11613,71,-396.024267827,2,0.0146436,63.24045491218567,0.0,-0.0550546,14.8876,0.33693665266,1000.0,71000
6.03247,73,-389.02765922,2,0.0153308,65.03775954246521,0.0,-0.057017,13.053,0.358737468719,1000.0,73000
5.98806,75,-382.837085323,2,0.0159407,66.83886861801147,0.0,-0.0583592,14.9879,0.306300580502,1000.0,75000
5.91359,77,-377.759194407,2,0.0166273,68.65069961547852,0.0,-0.0580216,10.4746,0.260219275951,1000.0,77000
5.80902,79,-370.973175348,2,0.0149697,70.4478714466095,0.0,-0.0567992,11.146,0.195679843426,1000.0,79000
5.74402,81,-364.63104644,2,0.0157106,72.24495553970337,0.0,-0.0584819,8.46562,0.227730333805,1000.0,81000
5.70043,83,-357.413167347,2,0.0138719,74.04981637001038,0.0,-0.0598041,8.00019,0.297420144081,1000.0,83000
5.64059,86,-347.505033863,3,0.0150771,75.84699082374573,0.0,-0.0603942,11.0848,0.37323820591,1000.0,86000
5.61772,88,-340.645411357,2,0.0151778,77.64406323432922,0.0,-0.0546724,13.4853,0.37176156044,1000.0,88000
5.56748,90,-332.859792374,2,0.0131276,79.45589327812195,0.0,-0.062806,8.16391,0.153720736504,1000.0,90000
