EpThisIter,TimeElapsed,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_ent,loss_pol_surr,loss_vf_loss,loss_pol_entpen,TimestepsSoFar,EpLenMean,loss_kl
2,76.26099061965942,847,804.88,-0.00339424610138,1.0081,-0.0060112,68.7153,0.0,95573,804.88,0.0129635
2,77.87005758285522,849,821.27,0.0206344127655,0.989298,-0.00550564,65.1735,0.0,97514,821.27,0.00798852
2,79.47931718826294,851,835.39,0.00315278768539,0.986359,-0.00902687,69.0873,0.0,99514,835.39,0.0126877
2,81.08607411384583,853,847.88,0.000753700733185,0.972513,-0.00531514,69.1171,0.0,101514,847.88,0.00597411
3,82.69881296157837,856,847.99,0.524074733257,0.9729,-0.00417137,68.2415,0.0,103779,847.99,0.00819702
2,84.3259506225586,858,857.11,0.0534967184067,0.980713,-0.003432,55.6333,0.0,105779,857.11,0.00310739
2,85.93197321891785,860,860.33,0.694162398577,0.975048,-0.00239134,37.0683,0.0,107779,860.33,0.00532248
2,87.55711460113525,862,865.81,-0.0016040802002,0.959168,-0.00432238,69.9706,0.0,109779,865.81,0.00559637
2,89.16721272468567,864,865.81,0.0342645645142,0.957374,-0.00937501,66.3557,0.0,111779,865.81,0.007195
2,90.7610023021698,866,865.81,-0.00845491886139,0.952637,-0.00466069,69.964,0.0,113779,865.81,0.00356547
2,92.38628792762756,868,865.81,0.00182098150253,0.966848,-0.0046986,69.0114,0.0,115779,865.81,0.00465591
3,93.97990298271179,871,865.81,0.000910937786102,0.960815,-0.00545103,99.8368,0.0,118779,865.81,0.0119406
2,95.58825016021729,873,859.77,0.591555953026,0.957802,-0.00585135,36.3837,0.0,120175,859.77,0.00536642
2,97.19939541816711,875,859.77,0.00553822517395,0.961533,-0.00757385,69.813,0.0,122175,859.77,0.0111951
2,98.8074152469635,877,859.77,0.00131887197495,0.96098,-0.00881381,65.2326,0.0,124175,859.77,0.00838535
2,100.41637802124023,879,859.77,0.236969172955,0.967398,-0.00327492,54.8791,0.0,126175,859.77,0.00237029
2,102.0260021686554,881,859.77,0.00278609991074,0.963425,-0.00588137,69.8244,0.0,128175,859.77,0.00840681
2,103.63536477088928,883,859.77,0.0325345396996,0.96011,-0.00242633,69.8273,0.0,130175,859.77,0.00108445
2,105.24447989463806,885,862.84,-0.00928044319153,0.967632,-0.00283582,69.0375,0.0,132175,862.84,0.00912753
2,106.8546142578125,887,862.84,-0.000246405601501,0.964861,-0.00535105,67.4691,0.0,134175,862.84,0.00457466
3,108.49449253082275,890,862.38,0.503578454256,0.952473,-0.00425632,53.8886,0.0,137129,862.38,0.00772086
2,110.10455822944641,892,873.21,0.0251320004463,0.96512,-0.0075351,67.5114,0.0,139129,873.21,0.0178785
2,111.71407175064087,894,884.84,0.0232350230217,0.963571,-0.00471971,61.2043,0.0,141129,884.84,0.00752105
2,113.3231930732727,896,896.73,0.0179228186607,0.948265,-0.00546157,68.7747,0.0,143129,896.73,0.0081536
2,114.93390989303589,898,906.18,-0.00563478469849,0.963465,-0.00666427,70.3499,0.0,145129,906.18,0.00686363
2,116.54414653778076,900,922.21,-0.000678300857544,0.948217,-0.00592366,69.1805,0.0,147129,922.21,0.004853
2,118.13699340820312,902,929.89,0.00672006607056,0.959606,-0.00656039,69.3419,0.0,149129,929.89,0.00864436
2,119.74551916122437,904,929.89,0.00465351343155,0.938369,-0.00841985,68.3393,0.0,151129,929.89,0.00447279
2,121.33892893791199,906,929.89,0.00691032409668,0.925434,-0.0059038,68.4283,0.0,153129,929.89,0.00575423
2,122.94912791252136,908,929.89,0.0187118649483,0.942599,-0.00377796,67.9556,0.0,155129,929.89,0.0072044
2,124.55776929855347,910,929.89,0.00804620981216,0.938312,-0.00461758,68.8499,0.0,157129,929.89,0.00465228
2,126.1680543422699,912,929.89,-0.0197499990463,0.931999,-0.00405823,69.6987,0.0,159129,929.89,0.00909184
2,127.79309463500977,914,932.15,0.000339269638062,0.92456,-0.0080029,68.748,0.0,161129,932.15,0.0111981
2,129.40654063224792,916,945.53,-0.000856876373291,0.937342,-0.00481011,68.9015,0.0,163129,945.53,0.00685324
2,131.01112055778503,918,950.3,-0.000479102134705,0.945312,-0.00522416,67.9288,0.0,165129,950.3,0.00682237
2,132.62041807174683,920,950.3,0.000948131084442,0.941273,-0.00273334,68.709,0.0,167129,950.3,0.0189715
2,134.23427891731262,922,950.3,-0.00385725498199,0.960447,-0.00484623,69.3828,0.0,169129,950.3,0.00537841
2,135.83969449996948,924,951.0,-0.0292525291443,0.966959,-0.00574417,66.6289,0.0,171129,951.0,0.0038941
2,137.43201160430908,926,963.04,0.0360960364342,0.97029,-0.00304121,63.0796,0.0,173129,963.04,0.00181749
2,139.02590107917786,928,964.81,-0.0179480314255,0.955828,-0.00350955,69.5752,0.0,175129,964.81,0.00422333
3,140.62773942947388,931,964.81,-0.0037614107132,0.945799,-0.00677586,72.7952,0.0,178129,964.81,0.00509515
2,142.2290735244751,933,964.81,0.000420093536377,0.954189,-0.0062933,68.817,0.0,180129,964.81,0.00677603
2,143.88025999069214,935,971.38,0.00597059726715,0.964932,-0.00379264,67.7529,0.0,182129,971.38,0.00518787
2,145.47907829284668,937,971.38,-0.00312197208405,0.957371,-0.00903528,68.5912,0.0,184129,971.38,0.00932463
2,147.0883011817932,939,971.38,-0.000897288322449,0.948629,-0.00575794,67.8905,0.0,186129,971.38,0.00602881
2,148.69759464263916,941,971.38,0.00996500253677,0.94358,-0.00995577,67.5063,0.0,188129,971.38,0.00838354
2,150.30758905410767,943,977.13,-0.00697243213654,0.946749,-0.00496685,67.9491,0.0,190129,977.13,0.00291154
2,151.9163691997528,945,985.56,0.0104306340218,0.965264,-0.00460894,66.2615,0.0,192129,985.56,0.00841215
2,153.51119995117188,947,985.56,-0.024071097374,0.969334,-0.00246528,68.6964,0.0,194129,985.56,0.00187928
2,155.1205291748047,949,986.15,0.00225287675858,0.979503,-0.00716701,67.1591,0.0,196129,986.15,0.0156916
2,156.72957301139832,951,986.15,0.0350748300552,0.959234,-0.00535116,66.6907,0.0,198129,986.15,0.00370204
2,158.36999988555908,953,986.15,0.0107925534248,0.934925,-0.00774092,69.0104,0.0,200129,986.15,0.00783153
2,159.99629402160645,955,986.15,-0.0152175426483,0.933699,-0.006798,68.6209,0.0,202129,986.15,0.008261
2,161.61996221542358,957,993.5,-0.00231456756592,0.923546,-0.00299537,69.9691,0.0,204129,993.5,0.00286436
2,163.221177816391,959,993.5,0.00120085477829,0.923187,-0.00495998,69.3362,0.0,206129,993.5,0.00649991
2,164.83854246139526,961,993.5,-0.0059015750885,0.915245,-0.00313785,69.3217,0.0,208129,993.5,0.00471881
2,166.46422243118286,963,993.5,-0.00695717334747,0.932888,-0.00486029,69.43,0.0,210129,993.5,0.00894216
2,168.08848214149475,965,993.5,-0.00843703746796,0.951334,-0.00382073,69.4618,0.0,212129,993.5,0.00652575
2,169.6978461742401,967,993.5,-0.00709617137909,0.981836,-0.00297135,68.8665,0.0,214129,993.5,0.00912092
2,171.30739307403564,969,993.5,0.00282257795334,0.977278,-0.00599795,66.2773,0.0,216129,993.5,0.00735947
3,172.91671991348267,972,999.54,0.00583779811859,0.969755,-0.00263865,102.31,0.0,219129,999.54,0.00335067
2,174.52653646469116,974,999.54,-0.00415670871735,0.938181,-0.00531778,68.3737,0.0,221129,999.54,0.00919339
2,176.13587856292725,976,999.54,-0.00527119636536,0.936283,-0.0035119,69.0351,0.0,223129,999.54,0.00912758
2,177.74441027641296,978,999.54,0.0243138074875,0.931971,-0.00273197,66.412,0.0,225129,999.54,0.00712315
2,179.36944341659546,980,999.54,-0.0220489501953,0.931545,-0.00410495,68.9564,0.0,227129,999.54,0.00850611
2,180.9798493385315,982,999.54,-0.000137329101563,0.918552,-0.00497816,68.9442,0.0,229129,999.54,0.00431216
2,182.5889801979065,984,999.54,0.00996726751328,0.90177,-0.00487444,67.7621,0.0,231129,999.54,0.00467242
2,184.19800662994385,986,999.54,0.003961622715,0.908622,-0.00291987,68.7578,0.0,233129,999.54,0.0132716
2,185.82256889343262,988,999.54,-0.000271439552307,0.903576,-0.00417346,69.2287,0.0,235129,999.54,0.0164209
2,187.43968200683594,990,1000.0,0.00310015678406,0.893177,-0.000518835,68.6061,0.0,237129,1000.0,0.0203652
2,189.0569305419922,992,1000.0,-0.00579011440277,0.885088,-0.00451905,68.9874,0.0,239129,1000.0,0.00580863
2,190.68780779838562,994,1000.0,0.00983756780624,0.889547,-0.00769165,67.8353,0.0,241129,1000.0,0.00940466
2,192.29195713996887,996,1000.0,-0.0149676799774,0.903613,-0.00429018,68.132,0.0,243129,1000.0,0.0127116
2,193.91664338111877,998,1000.0,0.00667852163315,0.909302,-0.00570531,68.433,0.0,245129,1000.0,0.0125198
2,195.51039576530457,1000,1000.0,0.00381642580032,0.930635,-0.00908819,68.4951,0.0,247129,1000.0,0.0103936
