loss_vf_loss,EpLenMean,ev_tdlam_before,EpThisIter,loss_pol_surr,loss_pol_entpen,EpRewMean,loss_kl,TimestepsSoFar,EpisodesSoFar,TimeElapsed,loss_ent
1.13915,21.9677419355,-0.244416832924,93,-0.103823,0.0,10.3674647367,0.0277105,2043,93,3.546252727508545,24.1373
0.771629,21.44,0.535370498896,95,-0.105153,0.0,10.1383832623,0.027226,4080,188,6.922433137893677,24.1334
0.702623,23.38,0.7313567698,88,-0.117745,0.0,11.0130999664,0.0322328,6136,276,10.249603509902954,24.054
0.866273,26.04,0.706542819738,76,-0.121194,0.0,12.2564005916,0.035231,8176,352,13.593129873275757,23.967
1.25345,27.0,0.721666872501,74,-0.126217,0.0,12.6798227935,0.0374041,10221,426,16.9374577999115,23.8916
1.08095,30.19,0.737028747797,64,-0.12983,0.0,14.1159279387,0.036032,12241,490,20.297024488449097,23.8787
0.966847,33.35,0.761646404862,62,-0.13237,0.0,15.6721062059,0.0374952,14332,552,23.65643072128296,23.8457
1.07753,33.94,0.77253395319,58,-0.133792,0.0,16.0133311422,0.0363273,16330,610,27.046241283416748,23.7638
1.1139,38.1,0.817489951849,51,-0.135928,0.0,17.8850632395,0.0426059,18412,661,30.42194175720215,23.7093
1.36233,41.03,0.755997017026,49,-0.139509,0.0,19.2908120871,0.0423717,20433,710,33.827545166015625,23.6651
0.994639,43.71,0.801254048944,43,-0.138302,0.0,20.8292656557,0.0436757,22513,753,37.234482526779175,23.5888
0.846022,48.1,0.823397934437,40,-0.143514,0.0,22.9222728566,0.0435069,24572,793,40.641258239746094,23.537
0.740277,52.34,0.836236700416,37,-0.144184,0.0,25.0809820599,0.0430631,26583,830,44.076910972595215,23.4895
0.808374,53.71,0.876045621932,37,-0.14252,0.0,25.9503943669,0.0434017,28670,867,47.51532435417175,23.4283
0.752729,58.47,0.862172216177,31,-0.142063,0.0,28.4043764264,0.0461552,30686,898,50.937819957733154,23.3631
0.649141,60.72,0.887135863304,33,-0.143747,0.0,29.3561628327,0.0511387,32726,931,54.379016399383545,23.3051
