loss_vf_loss,loss_ent,ev_tdlam_before,EpLenMean,EpRewMean,TimeElapsed,EpisodesSoFar,loss_kl,loss_pol_entpen,EpThisIter,loss_pol_surr,TimestepsSoFar
5.34872,2.83028,0.00290787220001,1000.0,0.887105080705,1.9997618198394775,2,0.0133111,0.0,2,-0.0248391,2000
8.22561,2.82099,0.11635774374,1000.0,-0.0369495822686,3.734278917312622,4,0.0164605,0.0,2,-0.0275017,4000
5.72983,2.79878,0.232255756855,1000.0,7.30464426065,5.491764783859253,6,0.0135573,0.0,2,-0.0224774,6000
2.66852,2.77188,0.379269957542,1000.0,11.5244185022,7.250916004180908,8,0.0107244,0.0,2,-0.0162514,8000
1.04474,2.75206,0.621900230646,1000.0,14.5132279184,9.015257596969604,10,0.00682564,0.0,2,-0.0190836,10000
0.855464,2.71078,0.639650285244,1000.0,15.4128665162,10.79207992553711,12,0.00805867,0.0,2,-0.0169855,12000
0.317767,2.67012,0.860253214836,1000.0,16.5984303085,12.578065633773804,14,0.00507632,0.0,2,-0.0136997,14000
0.475092,2.65034,0.866772711277,1000.0,17.3809230881,14.344630479812622,16,0.011557,0.0,2,-0.0114336,16000
0.186841,2.64489,0.940252907574,1000.0,18.8193056143,16.124075412750244,18,0.00463005,0.0,2,-0.0114963,18000
0.123836,2.61737,0.963988829404,1000.0,19.5449261648,17.907177448272705,20,0.00498101,0.0,2,-0.0101936,20000
0.200396,2.6186,0.963642533869,1000.0,20.3502399105,19.68730854988098,22,0.00408365,0.0,2,-0.0108481,22000
0.472615,2.6456,0.931781835854,1000.0,21.0290092072,21.452698469161987,24,0.00712447,0.0,2,-0.0129288,24000
0.389319,2.63697,0.925069279969,1000.0,21.287339458,23.218849658966064,26,0.00421795,0.0,2,-0.0100376,26000
0.0827672,2.59731,0.976922098547,1000.0,21.7367008478,24.999930143356323,28,0.00620212,0.0,2,-0.0179712,28000
0.140886,2.58388,0.945265509188,1000.0,22.2905011586,26.78204870223999,30,0.00607888,0.0,2,-0.0150535,30000
0.0512884,2.56514,0.990758905187,1000.0,22.6378975423,28.561996936798096,32,0.00645276,0.0,2,-0.0150908,32000
0.0278914,2.51315,0.994702985976,1000.0,23.1191223294,30.343223333358765,34,0.00656057,0.0,2,-0.0149824,34000
0.0345292,2.45278,0.990635760128,1000.0,23.5071639983,32.124423027038574,36,0.00847535,0.0,2,-0.0145971,36000
0.0193518,2.41144,0.995200864039,1000.0,24.084580957,33.92159366607666,38,0.00637021,0.0,2,-0.0131968,38000
0.021552,2.39337,0.995380011853,1000.0,24.5453577414,35.70264911651611,40,0.0110364,0.0,2,-0.0173085,40000
0.0470978,2.40147,0.993463987485,1000.0,25.113176016,37.49941420555115,43,0.0079855,0.0,3,-0.0190508,43000
0.0325294,2.36623,0.995359332301,1000.0,25.5172463381,39.28074097633362,45,0.00634093,0.0,2,-0.0156091,45000
0.0171115,2.31391,0.997514609247,1000.0,25.8239452827,41.07235312461853,47,0.00753221,0.0,2,-0.01648,47000
0.0172355,2.26749,0.997827861458,1000.0,26.2129066104,42.85955095291138,49,0.0065941,0.0,2,-0.0148452,49000
0.014982,2.25148,0.997657281114,1000.0,26.5527640667,44.64091491699219,51,0.00915256,0.0,2,-0.0138216,51000
0.0364088,2.23348,0.99528267188,1000.0,26.9546923386,46.422712087631226,53,0.00737213,0.0,2,-0.0165184,53000
0.0226028,2.24377,0.9945365889,1000.0,27.2445583561,48.21834444999695,55,0.003892,0.0,2,-0.0153113,55000
0.0127281,2.19625,0.997273395536,1000.0,27.5267809242,49.99961614608765,57,0.00621373,0.0,2,-0.0164552,57000
0.0229857,2.1522,0.995443257969,1000.0,27.7300874923,51.796414852142334,59,0.00999702,0.0,2,-0.0208129,59000
0.0126856,2.12233,0.997056098189,1000.0,27.9883558306,53.56196975708008,61,0.00551141,0.0,2,-0.013835,61000
0.0174026,2.1027,0.997078731423,1000.0,28.2233886235,55.35859751701355,63,0.00632448,0.0,2,-0.0165432,63000
0.0149704,2.1051,0.997812251793,1000.0,28.5257327318,57.14052104949951,65,0.00739692,0.0,2,-0.0184839,65000
0.0135389,2.05689,0.997916396242,1000.0,28.7628574132,58.92149758338928,67,0.010527,0.0,2,-0.0186154,67000
0.0127771,2.04971,0.997972630663,1000.0,29.0466704373,60.71905779838562,69,0.00736477,0.0,2,-0.0163722,69000
0.0139495,2.00203,0.997305272846,1000.0,29.3394253763,62.515514612197876,71,0.00936303,0.0,2,-0.0212913,71000
0.0236311,1.99842,0.995737624355,1000.0,29.5869411417,64.29690027236938,73,0.00725265,0.0,2,-0.0185534,73000
0.0150047,1.96604,0.997074190527,1000.0,29.8703234564,66.08159446716309,75,0.0042349,0.0,2,-0.018163,75000
0.00761192,1.95547,0.997622330207,1000.0,30.0948926981,67.87406301498413,77,0.00750753,0.0,2,-0.0198254,77000
0.0111868,1.94965,0.995210494846,1000.0,30.3884442334,69.65602231025696,79,0.0207228,0.0,2,-0.0243878,79000
0.0120322,1.91844,0.99587107636,1000.0,30.612396354,71.43671488761902,81,0.00727139,0.0,2,-0.0179948,81000
