EpisodesSoFar,TimestepsSoFar,loss_kl,TimeElapsed,loss_pol_surr,loss_pol_entpen,loss_vf_loss,EpRewMean,EpThisIter,ev_tdlam_before,EpLenMean,loss_ent
1284,141300,0.0134296,143.18627619743347,-0.0264817,0.0,9.05951,606.800463752,11,0.993546293583,186.21,2.93713
1295,143330,0.0107997,145.2218050956726,-0.0280115,0.0,7.29656,608.223968265,11,0.995345544536,186.32,2.89576
1306,145398,0.00958995,147.29999566078186,-0.0282967,0.0,11.239,609.273356645,11,0.994852659758,186.57,2.88978
1317,147442,0.0119159,149.37829661369324,-0.0289582,0.0,6.44922,610.106887659,11,0.997466177912,186.27,2.87037
1328,149476,0.0112949,151.51761722564697,-0.0309595,0.0,6.11084,609.623691508,11,0.997422365239,186.08,2.84866
1338,151428,0.01138,153.64344930648804,-0.0266559,0.0,13.8764,612.097465495,10,0.994119344745,186.94,2.82326
1349,153525,0.0133073,155.78490948677063,-0.025845,0.0,5.78574,613.909770208,11,0.997606511228,187.61,2.80112
1360,155632,0.0113543,157.98820066452026,-0.0278969,0.0,8.48638,616.737341556,11,0.997561211698,188.18,2.78593
1370,157529,0.00929312,160.18292427062988,-0.0292676,0.0,9.43425,617.220854281,10,0.995536756702,188.56,2.77587
1381,159612,0.0132239,162.41746520996094,-0.0287435,0.0,8.57047,619.195726558,11,0.996509365737,188.85,2.76583
1392,161672,0.0113218,164.61179995536804,-0.0284925,0.0,8.53356,618.876438309,11,0.995954280253,188.74,2.72344
1403,163797,0.0114727,166.76823925971985,-0.0306713,0.0,7.1182,622.53118127,11,0.995122032706,189.77,2.71499
1414,165880,0.0115495,168.90109610557556,-0.0246442,0.0,9.03475,623.93314679,11,0.995357228909,189.99,2.70476
1424,167770,0.0122816,171.0572829246521,-0.0301741,0.0,8.62802,622.960246323,10,0.995471627917,190.32,2.70686
1435,169825,0.0107491,173.18273901939392,-0.0260387,0.0,4.84688,620.864067516,11,0.996967145242,189.84,2.69316
1446,171866,0.0115845,175.2211446762085,-0.0285966,0.0,5.93182,620.255905429,11,0.99718994135,189.31,2.66057
1457,173935,0.0186619,177.26927709579468,-0.029303,0.0,4.26404,618.527156234,11,0.997296272311,188.62,2.68619
1468,176070,0.017414,179.31630873680115,-0.0285667,0.0,7.84828,621.614068819,11,0.99702396756,189.25,2.70411
1478,178012,0.0128061,181.40319871902466,-0.0257338,0.0,8.29711,623.00559648,10,0.996062266175,189.64,2.68172
1489,180164,0.0102551,183.44879293441772,-0.0288155,0.0,7.82151,624.386786319,11,0.996293248609,190.66,2.69925
1499,182092,0.0150317,185.51825141906738,-0.0312817,0.0,6.06789,624.952597445,10,0.997509601992,190.88,2.69762
1510,184261,0.00994502,187.5421323776245,-0.0310464,0.0,6.27795,625.976743331,11,0.997294704197,191.33,2.69183
1520,186205,0.0138056,189.60482811927795,-0.027937,0.0,5.7398,628.293972721,10,0.997383636888,191.96,2.67908
1531,188395,0.0106656,191.65807056427002,-0.0251704,0.0,6.65398,633.331520314,11,0.996908507776,193.29,2.65404
1541,190298,0.0145226,193.7389898300171,-0.0286968,0.0,9.39598,634.983091837,10,0.995109795127,193.76,2.61291
1552,192424,0.0155093,195.76207423210144,-0.0250128,0.0,7.22384,636.073094411,11,0.996900480008,194.22,2.6069
