TimeElapsed,loss_pol_entpen,EpRewMean,ev_tdlam_before,EpisodesSoFar,EpThisIter,loss_vf_loss,loss_kl,EpLenMean,loss_pol_surr,TimestepsSoFar,loss_ent
76.09353923797607,0.0,817.75,0.00155031681061,836,2,68.3215,0.0028231,817.75,-0.00440446,95513,0.921784
77.71811652183533,0.0,835.4,-0.00553452968597,838,2,68.3605,0.00525502,835.4,-0.005898,97513,0.899863
79.2963080406189,0.0,851.22,0.00717914104462,840,2,62.1259,0.00773224,851.22,-0.00850995,99513,0.905268
80.92056632041931,0.0,866.13,0.0934215188026,842,2,48.5302,0.0070805,866.13,-0.012222,101513,0.868881
82.530925989151,0.0,875.36,-0.0290998220444,844,2,69.4086,0.00744524,875.36,-0.00184206,103513,0.8769
84.15507316589355,0.0,884.0,-0.00715887546539,846,2,69.2509,0.00655283,884.0,-0.00606273,105513,0.88644
85.76449704170227,0.0,896.78,-0.00115346908569,849,3,98.6312,0.00370928,896.78,-0.0034214,108513,0.880464
87.35803556442261,0.0,896.78,-0.00113415718079,851,2,68.4229,0.00478363,896.78,-0.00285244,110513,0.885367
88.96743965148926,0.0,900.06,4.48226928711e-05,853,2,68.4075,0.00542309,900.06,-0.00365622,112513,0.885284
90.57692909240723,0.0,902.8,-0.000584244728088,855,2,68.4467,0.00716439,902.8,-0.00498706,114513,0.89106
92.19157934188843,0.0,902.8,-0.000699758529663,857,2,68.4246,0.00592794,902.8,-0.00337233,116513,0.865006
93.7969799041748,0.0,911.62,-0.00629842281342,859,2,68.2566,0.011373,911.62,-0.00581834,118513,0.869115
95.42565894126892,0.0,923.02,-0.000316500663757,861,2,68.3359,0.00300687,923.02,-0.00331106,120513,0.872789
97.03041553497314,0.0,931.44,0.00101894140244,863,2,67.474,0.00524498,931.44,-0.00418582,122513,0.878538
98.63936877250671,0.0,935.44,-0.00380086898804,865,2,68.3694,0.00905148,935.44,-0.00775236,124513,0.885583
100.2488329410553,0.0,935.44,-5.61475753784e-05,867,2,68.3544,0.00411395,935.44,-0.00553545,126513,0.891401
101.87357521057129,0.0,935.44,-0.000666975975037,869,2,68.5409,0.0108099,935.44,-0.00495089,128513,0.893009
103.48362493515015,0.0,943.49,0.000157177448273,871,2,68.5106,0.00575122,943.49,-0.00391934,130513,0.892588
105.10847210884094,0.0,947.58,-0.000532746315002,873,2,68.5444,0.0102886,947.58,-0.00516755,132513,0.918534
106.70171427726746,0.0,949.83,0.000120937824249,875,2,65.0408,0.00944304,949.83,-0.00611042,134513,0.904354
108.31105256080627,0.0,949.83,-0.032362818718,877,2,67.7532,0.00434494,949.83,-0.00331572,136513,0.893303
109.93683385848999,0.0,949.83,-0.00541412830353,879,2,67.9263,0.00749151,949.83,-0.00347483,138513,0.887558
111.54710960388184,0.0,949.83,-0.0169385671616,881,2,68.1774,0.00218334,949.83,-0.00456174,140513,0.877652
113.15482759475708,0.0,949.83,-0.000684976577759,883,2,68.0313,0.0029631,949.83,-0.00174473,142513,0.866353
114.76451277732849,0.0,952.77,0.00111776590347,885,2,64.7573,0.00850303,952.77,-0.00754763,144513,0.883568
116.37385129928589,0.0,955.7,-0.00810778141022,887,2,52.766,0.0166433,955.7,-0.0120867,146513,0.881529
117.98338270187378,0.0,955.7,0.0528590083122,889,2,69.4617,0.00674639,955.7,-0.00381901,148513,0.884883
