EpThisIter,TimeElapsed,loss_kl,loss_pol_entpen,loss_vf_loss,TimestepsSoFar,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,ev_tdlam_before,EpRewMean
9,92.28256845474243,0.015215,0.0,6612.74,106448,-0.0113326,4396,-0.0717542,150.69,0.73923972249,1400.64729519
4,94.03155422210693,0.0089627,0.0,7281.46,108442,-0.00724316,4400,-0.0861591,164.23,0.60648471117,1526.61580385
15,95.78268027305603,0.014794,0.0,6245.21,110413,-0.00516618,4415,-0.115286,166.17,0.625169754028,1544.65211652
9,97.51574063301086,0.0181147,0.0,6564.65,112443,-0.0106093,4424,-0.120923,175.03,0.684509694576,1627.13509625
10,99.28136134147644,0.00970025,0.0,6541.8,114648,-0.0175333,4434,-0.126367,179.62,0.659793317318,1669.7878734
6,101.0157299041748,0.00874514,0.0,6584.42,116450,-0.0119629,4440,-0.132538,183.49,0.674706280231,1705.80891542
7,102.76572704315186,0.00910265,0.0,6391.26,118269,-0.0113764,4447,-0.143952,189.67,0.719221353531,1763.33034986
4,104.5157196521759,0.00914977,0.0,7032.03,120317,-0.00854747,4451,-0.132307,206.37,0.573949307203,1918.86191834
5,106.2657151222229,0.0104417,0.0,6209.35,122391,-0.016925,4456,-0.144707,222.38,0.733529657125,2067.97880852
5,108.00008392333984,0.00687547,0.0,6489.61,124626,-0.0135063,4461,-0.152105,237.1,0.668477326632,2204.95774609
2,109.75071716308594,0.0130043,0.0,7132.52,126626,-0.00822548,4463,-0.153015,254.55,-0.00697410106659,2367.4367278
5,111.50057530403137,0.0184673,0.0,6481.93,129020,-0.00819856,4468,-0.168674,269.62,0.565149784088,2507.72806281
5,113.2437973022461,0.0149093,0.0,6437.49,130973,-0.0104899,4473,-0.169896,283.28,0.591296583414,2634.80818714
2,114.98447394371033,0.0180087,0.0,6127.76,132318,-0.0066184,4475,-0.185761,294.36,0.599463790655,2737.88706432
5,116.75060391426086,0.0253332,0.0,5979.81,134989,-0.00177387,4480,-0.189568,312.33,0.526045441628,2905.21543486
7,118.48660278320312,0.016717,0.0,7009.9,137115,-0.00946575,4487,-0.209708,327.8,0.522583007813,3049.33879779
4,120.2427966594696,0.0219101,0.0,5937.85,139049,0.00247302,4491,-0.200959,337.87,0.617517352104,3143.19713297
3,121.98454594612122,0.0184159,0.0,5808.0,140737,-0.00936496,4494,-0.208943,350.69,0.622403472662,3262.65920635
4,123.73454165458679,0.0130736,0.0,6377.63,143341,-0.00857919,4498,-0.214792,361.14,0.395855247974,3360.01974006
2,125.46891045570374,0.0219343,0.0,5447.82,144665,-0.0047514,4500,-0.224755,362.23,0.453044235706,3370.27700918
4,127.21916770935059,0.0202819,0.0,5481.02,146804,-0.00944159,4504,-0.219495,378.86,0.574323117733,3525.08637582
4,128.96894097328186,0.00705976,0.0,6034.67,148908,-0.0161926,4508,-0.226056,395.15,0.478556096554,3676.73526533
3,130.70331239700317,0.0259142,0.0,5493.15,150860,-0.0123355,4511,-0.23126,410.28,0.452284812927,3817.59854484
3,132.4533052444458,0.0110131,0.0,5643.36,152855,-0.0109381,4514,-0.23505,425.82,0.417996048927,3962.26293423
4,134.20330262184143,0.0151861,0.0,5033.96,155508,-0.00843338,4518,-0.241315,446.07,0.511183679104,4150.83303327
4,135.93766975402832,0.00633354,0.0,5171.35,157581,-0.00919879,4522,-0.247676,459.29,0.47913557291,4273.91087914
3,137.6876654624939,0.0117786,0.0,5303.12,159685,-0.016694,4525,-0.267308,469.32,0.478399217129,4367.38491081
2,139.43765950202942,0.0139306,0.0,4798.18,161380,-0.00923144,4527,-0.256886,480.31,0.282514691353,4469.74689037
2,141.17203211784363,0.00992834,0.0,4894.56,162953,-0.0134489,4529,-0.241598,494.29,0.475450575352,4599.87685892
2,142.91619229316711,0.02346,0.0,4643.14,164947,-0.00607338,4531,-0.243487,507.49,0.395863592625,4722.80697008
5,144.67184948921204,0.0187166,0.0,5109.67,167651,-0.00548079,4536,-0.256081,527.52,0.602746337652,4909.26657259
4,146.4221966266632,0.0175326,0.0,4884.38,169841,-0.00989974,4540,-0.261034,533.91,0.574913442135,4968.72447509
4,148.15745043754578,0.0106517,0.0,5191.11,171566,-0.00933763,4544,-0.272009,542.76,0.565854460001,5051.08318432
3,149.90674948692322,0.00832535,0.0,4265.1,173252,-0.0134342,4547,-0.267957,549.83,0.598734736443,5116.83314941
3,151.65644240379333,0.00924492,0.0,5894.92,175321,-0.00349792,4550,-0.290718,551.58,0.146133184433,5133.05497217
3,153.39081144332886,0.0233337,0.0,4884.04,178024,-0.0135105,4553,-0.278772,568.83,0.479561686516,5293.56389601
4,155.14080715179443,0.0127358,0.0,4870.79,179999,-0.015485,4557,-0.298326,568.5,0.63280543685,5290.33687636
3,156.87517714500427,0.0164469,0.0,5350.38,181930,-0.0120628,4560,-0.300388,575.9,0.410261452198,5359.1507425
4,158.62517142295837,0.0185853,0.0,3788.18,183559,-0.015048,4564,-0.305487,564.67,0.698458224535,5254.55146418
2,160.3751654624939,0.0244473,0.0,4522.34,185519,-0.00671411,4566,-0.314897,573.51,0.0795053243637,5336.82471594
2,162.1251609325409,0.0347068,0.0,4896.35,187519,-0.00488519,4568,-0.301551,584.99,-0.0670597553253,5443.70443911
4,163.8679075241089,0.0191379,0.0,5268.51,190434,-0.00509528,4572,-0.30978,598.04,0.438932776451,5565.33691362
3,165.61780214309692,0.0220981,0.0,4898.56,192159,-0.00967654,4575,-0.303618,598.41,0.485914707184,5568.87555146
3,167.35964560508728,0.0214471,0.0,4915.19,194559,-0.00685861,4578,-0.30688,607.52,0.500151664019,5653.85231802
2,169.09473180770874,0.023482,0.0,4721.1,196559,-0.0046128,4580,-0.305387,615.7,-0.122243523598,5730.04757082
2,170.8401472568512,0.0195204,0.0,3475.87,198552,-0.00524802,4582,-0.305117,624.79,0.316301882267,5814.78105368
4,172.59387803077698,0.0152112,0.0,3678.83,200655,-0.00870045,4586,-0.320924,636.57,0.702310442924,5924.47050616
2,174.3366985321045,0.0148126,0.0,4720.17,202655,-0.00587078,4588,-0.330196,650.78,-0.168529868126,6056.87074292
5,176.09180402755737,0.0171794,0.0,3467.0,204461,-0.0125691,4593,-0.334508,647.24,0.660279542208,6023.89937491
3,177.83625078201294,0.0082051,0.0,3627.49,206443,-0.00878749,4596,-0.349512,644.98,0.730607271194,6002.85859362
2,179.5781798362732,0.0131795,0.0,3637.1,208443,-0.00713562,4598,-0.34539,651.02,0.126267135143,6059.20267273
2,181.32104229927063,0.00607738,0.0,3445.64,210386,-0.0086817,4600,-0.357837,657.21,0.516886740923,6116.82038242
3,183.06997799873352,0.0133301,0.0,3875.16,212313,-0.0133977,4603,-0.347177,663.7,0.447645068169,6177.30858286
3,184.79922080039978,0.0138665,0.0,5189.18,214426,-0.0103198,4606,-0.338883,664.64,0.313505291939,6186.18156167
3,186.6048059463501,0.0187692,0.0,5011.04,216593,-0.0106996,4609,-0.335392,669.43,0.190280199051,6230.893273
2,188.3753364086151,0.0181483,0.0,4031.87,218593,-0.00377167,4611,-0.318192,677.33,0.0102626681328,6304.5204585
4,190.13719248771667,0.00910721,0.0,7081.51,220976,-0.0104889,4615,-0.314494,671.21,0.227585732937,6247.63971729
4,191.9058701992035,0.0154745,0.0,4219.68,222892,-0.00859849,4619,-0.312254,669.46,0.65223634243,6231.42432795
3,193.65967750549316,0.015887,0.0,5701.9,225151,-0.00803597,4622,-0.305303,675.7,0.270430445671,6289.64160111
2,195.39825630187988,0.0118512,0.0,3645.32,227019,-0.00898494,4624,-0.313536,674.41,0.361872196198,6277.60910165
2,197.14870262145996,0.011741,0.0,4771.33,229019,-0.00791762,4626,-0.320815,686.39,-0.0624672174454,6389.20055225
2,198.8906331062317,0.0153158,0.0,3404.55,230735,-0.011297,4628,-0.316307,687.82,0.534377425909,6402.51093561
3,200.62943029403687,0.0144109,0.0,5995.05,233036,-0.00755923,4631,-0.319959,680.89,0.149007558823,6337.9344622
4,202.359459400177,0.0201094,0.0,6175.01,235263,-0.00498749,4635,-0.314851,678.72,0.43908560276,6317.84971242
2,204.10944890975952,0.0141693,0.0,4853.05,237263,-0.0116109,4637,-0.296663,686.12,-0.087700009346,6386.73125724
2,205.8438184261322,0.0137396,0.0,3002.93,238855,-0.0177097,4639,-0.308258,697.14,0.573194950819,6489.30685315
5,207.59381341934204,0.0123385,0.0,7439.01,240904,-0.0101167,4644,-0.317848,693.38,0.537508517504,6454.31410624
2,209.3281831741333,0.0147499,0.0,4887.77,242904,-0.00883851,4646,-0.3003,700.43,-0.0814051628113,6520.07138673
3,211.09380316734314,0.00976097,0.0,5182.72,245490,-0.00896781,4649,-0.294243,711.69,0.318930923939,6624.98399649
3,212.84478545188904,0.0214692,0.0,5042.28,247693,-0.00542054,4652,-0.316811,705.23,0.384901940823,6564.94721248
2,214.59413361549377,0.0194262,0.0,4954.92,249693,-0.0122741,4654,-0.318987,710.98,-0.0344234704971,6618.69220932
2,216.3285369873047,0.0200749,0.0,5036.2,251693,-0.00660364,4656,-0.321712,719.16,-0.0277014970779,6695.01921974
3,218.0762677192688,0.0961483,0.0,4340.75,253863,0.0085355,4659,-0.334326,720.1,0.554874897003,6703.81157116
3,219.8038456439972,0.0757574,0.0,3157.27,255274,0.0154249,4662,-0.359048,727.01,0.646702736616,6768.13349581
2,221.53971552848816,0.0178446,0.0,5392.96,257274,-0.0107501,4664,-0.358395,737.15,-0.127034306526,6862.70782307
2,223.29732394218445,0.017103,0.0,5159.48,259274,-0.00971344,4666,-0.351735,737.55,-0.000370025634766,6866.63303265
2,225.031653881073,0.0123915,0.0,3219.44,261274,-0.00750079,4668,-0.371654,737.55,0.468372583389,6866.85039614
2,226.76566576957703,0.018699,0.0,5292.83,263274,-0.00837916,4670,-0.373546,738.74,-0.0405255556107,6878.17883338
3,228.5000355243683,0.0144039,0.0,6537.98,265982,-0.00716701,4673,-0.374714,753.29,0.198935687542,7013.9585902
2,230.25003027915955,0.00954802,0.0,3963.52,267982,-0.00846927,4675,-0.369841,758.23,0.0201218724251,7060.17116085
2,231.98440027236938,0.0155085,0.0,5322.48,269982,-0.00537328,4677,-0.351315,764.23,-0.0148621797562,7116.22945075
2,233.73439502716064,0.0331998,0.0,5360.1,271982,-0.00325869,4679,-0.349545,764.23,-0.00404012203217,7116.31531164
2,235.46876430511475,0.0134645,0.0,5213.93,273982,-0.00939931,4681,-0.329844,764.3,5.77569007874e-05,7117.14849155
2,237.21935892105103,0.0202579,0.0,5426.05,275982,-0.00244614,4683,-0.333306,769.0,-0.0165446996689,7161.07560831
3,238.95348119735718,0.0100838,0.0,4323.51,278129,-0.00865793,4686,-0.358979,774.74,0.761164233088,7214.7544175
2,240.7053816318512,0.0184641,0.0,5456.56,280129,-0.00844827,4688,-0.356804,774.74,-0.0261089801788,7214.90225895
3,242.43775415420532,0.017356,0.0,4431.12,281740,-0.0132424,4691,-0.367234,782.17,0.547544598579,7284.23223829
2,244.18774795532227,0.0115973,0.0,5019.33,283740,-0.00535771,4693,-0.362025,792.79,0.0124865174294,7383.25183801
2,245.92211937904358,0.0223995,0.0,5662.04,285740,-0.009191,4695,-0.365376,801.95,-0.250173330307,7468.69068205
3,247.6721122264862,0.0145993,0.0,6357.62,288542,-0.0122574,4698,-0.368639,800.99,0.455466210842,7459.924582
2,249.40648221969604,0.0261759,0.0,5614.24,290542,-0.00948917,4700,-0.367914,801.56,-0.0133152008057,7465.5360044
2,251.1564769744873,0.0159586,0.0,5639.21,292542,-0.00806858,4702,-0.344136,812.29,-0.000673770904541,7565.79057707
2,252.89084696769714,0.0066196,0.0,5660.3,294542,-0.00671249,4704,-0.342405,812.29,-0.0139434337616,7566.05445851
2,254.64243412017822,0.0181563,0.0,5682.07,296542,-0.00646958,4706,-0.349469,821.16,-0.0386248826981,7648.85935021
2,256.39124941825867,0.0250685,0.0,3291.57,298242,-0.00474147,4708,-0.344155,826.49,0.559590250254,7698.63434918
3,258.14197993278503,0.0259992,0.0,6511.73,300723,0.00114763,4711,-0.346209,821.3,0.209386944771,7650.53393823
3,259.8753728866577,0.0218126,0.0,6847.4,302936,-0.00489028,4714,-0.357801,822.45,0.470772922039,7661.58068559
3,261.62652564048767,0.0167198,0.0,4372.29,304400,-0.0149968,4717,-0.378157,819.24,0.497993767262,7631.83679767
2,263.39557433128357,0.0255405,0.0,5735.48,306400,-0.00567454,4719,-0.372631,835.08,-0.00795292854309,7779.67295689
3,265.14066529273987,0.00658402,0.0,6681.36,308498,-0.00977167,4722,-0.371431,833.47,0.416539549828,7764.83351823
2,266.882440328598,0.00936143,0.0,5739.92,310498,-0.0110432,4724,-0.361434,834.79,-0.0146450996399,7777.38191672
3,268.6395335197449,0.0119446,0.0,5224.57,313291,-0.00842228,4727,-0.34415,835.56,0.507497012615,7784.87933415
2,270.3795819282532,0.0309263,0.0,5776.43,315291,-0.00435895,4729,-0.338763,835.56,-0.0290340185165,7785.17499459
2,272.14177656173706,0.0291087,0.0,5094.65,317291,-0.00691401,4731,-0.339492,842.55,-0.0433951616287,7850.47462286
2,273.8751780986786,0.0224159,0.0,5292.08,318875,-0.00747175,4733,-0.365732,838.39,0.227880656719,7811.87404443
4,275.62517261505127,0.0160934,0.0,6760.54,321389,-0.0045325,4737,-0.375115,841.26,0.407314300537,7838.94259818
3,277.3595416545868,0.0153107,0.0,4900.07,323531,-0.00973323,4740,-0.378964,836.76,0.589954018593,7797.28754337
2,279.10953640937805,0.0113005,0.0,6097.12,325531,-0.00812897,4742,-0.387136,849.13,-0.193163633347,7912.79986839
3,280.8439071178436,0.0128086,0.0,5451.56,326798,-0.01546,4745,-0.405837,848.94,0.401683390141,7911.22874876
2,282.593900680542,0.0212293,0.0,5815.31,328798,-0.00580211,4747,-0.399427,848.94,-0.0748881101608,7911.53491495
3,284.3282701969147,0.0220555,0.0,6662.76,331634,0.000352342,4750,-0.423387,857.12,0.325017035007,7988.03677699
2,286.0782661437988,0.0110327,0.0,5751.51,333634,-0.0076492,4752,-0.408889,859.41,-0.0670484304428,8009.55029473
2,287.82826113700867,0.00772696,0.0,5793.5,335634,-0.00778891,4754,-0.410482,859.41,-0.00151443481445,8009.68457393
5,289.59388303756714,0.010149,0.0,6018.94,337882,-0.0137266,4759,-0.429458,840.19,0.71338263154,7830.90132004
2,291.33567810058594,0.0125478,0.0,5799.5,339882,-0.00789914,4761,-0.433158,848.58,-0.0531486272812,7909.29344453
2,293.0788588523865,0.0141288,0.0,4762.32,341094,-0.0130265,4763,-0.433804,848.2,0.289060771465,7905.79692517
5,294.82859086990356,0.0144247,0.0,4732.09,343566,-0.0179636,4768,-0.455506,822.92,0.672922730446,7670.17681844
2,296.5629587173462,0.00939046,0.0,5812.29,345566,-0.0106873,4770,-0.44958,822.92,-0.0793826580048,7670.13011757
2,298.3138988018036,0.0066886,0.0,5909.72,347566,-0.00811702,4772,-0.432301,822.92,-0.0781265497208,7670.08089269
2,300.0633056163788,0.00878968,0.0,5604.7,349566,-0.0115021,4774,-0.41466,825.84,-0.0156064033508,7697.3410782
3,301.8143742084503,0.0202588,0.0,7954.68,352202,-0.0109208,4777,-0.405999,822.2,0.16320425272,7663.34601909
2,303.5477967262268,0.0337897,0.0,6017.9,354202,-0.00164393,4779,-0.432712,822.2,-0.0593425035477,7663.41053977
2,305.282026052475,0.0107999,0.0,4738.04,355466,-0.0122216,4781,-0.430044,814.84,0.299090147018,7594.83137023
2,307.03118920326233,0.0134336,0.0,3656.97,357466,-0.0103027,4783,-0.412363,814.84,0.279935181141,7594.85529681
2,308.78118324279785,0.0233822,0.0,5742.98,359466,-0.00860482,4785,-0.384715,820.03,0.00305551290512,7643.30770368
3,310.5624289512634,0.0334224,0.0,8507.02,362466,-0.000401515,4788,-0.385705,823.37,-0.023938536644,7674.48693265
2,312.29679894447327,0.0316928,0.0,3828.74,364178,-0.00566285,4790,-0.383399,828.26,0.733027368784,7720.12431973
7,314.04679250717163,0.0135047,0.0,4607.5,366590,-0.0126757,4797,-0.413294,790.48,0.829948842525,7367.98244369
3,315.81241250038147,0.00858929,0.0,3559.77,368040,-0.0143302,4800,-0.439713,774.98,0.760134771466,7223.31995677
6,317.56240701675415,0.0110785,0.0,3954.29,370614,-0.016764,4806,-0.452682,740.72,0.888523772359,6903.55292851
3,319.29677653312683,0.0139038,0.0,3383.6,372454,-0.0122078,4809,-0.464015,732.12,0.80939398706,6823.40148435
2,321.04677176475525,0.0100883,0.0,5886.91,374454,-0.0101263,4811,-0.490563,737.31,-0.0486850738525,6871.76918727
2,322.78114128112793,0.038865,0.0,5901.33,376454,-0.00316798,4813,-0.501261,737.31,-0.0317584276199,6871.69758389
3,324.53113746643066,0.0144456,0.0,5893.49,378787,-0.0150205,4816,-0.515639,745.13,0.453859865665,6944.51178537
2,326.2816250324249,0.0122511,0.0,5880.94,380787,-0.00842516,4818,-0.526838,753.87,-0.0303456783295,7025.94811498
2,328.0157163143158,0.0170368,0.0,4534.68,382548,-0.00617481,4820,-0.537756,751.48,0.412241101265,7003.48520204
2,329.7658381462097,0.0171141,0.0,5905.65,384548,-0.0110291,4822,-0.528928,760.5,-0.0134290456772,7087.6021224
2,331.51583313941956,0.0275095,0.0,5911.23,386548,-0.00160497,4824,-0.524267,760.5,-0.0274342298508,7087.66316709
2,333.2345778942108,0.0145965,0.0,5966.13,388548,-0.0103338,4826,-0.528038,760.5,-0.0443561077118,7087.67272393
2,334.9845736026764,0.0188677,0.0,5906.34,390548,-0.00884738,4828,-0.535265,762.57,-0.00307011604309,7106.9253584
2,336.7345681190491,0.0168255,0.0,5911.99,392548,-0.00810961,4830,-0.515101,762.57,-0.014778137207,7106.92476313
3,338.4845623970032,0.0107922,0.0,7028.42,394835,-0.00748975,4833,-0.518722,759.6,0.249299526215,7079.36374667
2,340.21948432922363,0.0201341,0.0,3449.69,396686,-0.00798113,4835,-0.528818,758.11,0.384465098381,7065.414142
3,341.9704647064209,0.0178886,0.0,7452.98,398945,-0.0114153,4838,-0.526911,770.89,0.156297445297,7184.47668872
3,343.70711493492126,0.0177755,0.0,3561.27,400873,-0.020919,4841,-0.527698,763.42,0.642006188631,7114.52959403
2,345.45484614372253,0.0166014,0.0,5905.58,402873,-0.0113268,4843,-0.521606,770.82,-0.00372326374054,7183.48648096
3,347.18789649009705,0.0207364,0.0,6367.29,405276,-0.0129493,4846,-0.531887,774.78,0.272728979588,7220.15812297
2,348.9424567222595,0.0260536,0.0,4005.14,406768,-0.00958095,4848,-0.557473,769.7,0.197501420975,7172.63119049
2,350.6718645095825,0.0187045,0.0,5916.54,408768,-0.0118099,4850,-0.567902,771.34,-0.00691854953766,7187.82735735
2,352.40623474121094,0.0188862,0.0,5908.87,410768,-0.014339,4852,-0.553217,771.34,-0.028620839119,7187.75726527
2,354.156227350235,0.0274127,0.0,5910.74,412768,-0.00775845,4854,-0.555552,771.34,-0.0369253158569,7187.6327276
3,355.90622305870056,0.0182877,0.0,7578.72,415022,-0.00921493,4857,-0.55318,774.3,0.152123987675,7215.16383499
3,357.656218290329,0.0133661,0.0,6285.74,417310,-0.0115338,4860,-0.528331,784.28,0.239164054394,7308.09826022
5,359.39206051826477,0.0132031,0.0,8863.85,419269,-0.0110571,4865,-0.516331,766.02,0.492392599583,7137.78322858
3,361.1339249610901,0.0231141,0.0,5776.4,421036,-0.0102032,4868,-0.534099,774.7,0.419222712517,7218.62206987
4,362.88119888305664,0.0101683,0.0,8967.92,423291,-0.0124586,4872,-0.529985,757.25,0.308500349522,7055.80671798
3,364.61685013771057,0.0123633,0.0,7955.9,425895,-0.00924779,4875,-0.532899,753.29,0.13338136673,7018.68973659
3,366.37562680244446,0.0156628,0.0,7037.37,427651,-0.0172615,4878,-0.553329,744.49,0.417060732841,6936.55791324
3,368.10983419418335,0.0377126,0.0,6968.03,429516,-0.00877141,4881,-0.535414,740.5,0.377382397652,6899.18791591
2,369.84418392181396,0.0151108,0.0,5763.93,431516,-0.00969089,4883,-0.51673,740.5,-0.0230686664581,6899.1281926
2,371.59396529197693,0.014271,0.0,5777.29,433516,-0.00964164,4885,-0.512916,740.5,-0.0077782869339,6899.01095836
2,373.32833766937256,0.0418675,0.0,3056.9,435516,0.00540553,4887,-0.519557,740.5,0.1216827631,6898.90859775
2,375.0818774700165,0.0201855,0.0,5706.63,437516,-0.0103624,4889,-0.517998,743.38,0.0120602250099,6925.72807531
2,376.8129549026489,0.0160786,0.0,5425.13,439516,-0.00957979,4891,-0.475299,749.55,0.00750821828842,6983.23062185
2,378.56393575668335,0.0119238,0.0,5861.09,441516,0.000715497,4893,-0.477534,766.98,-0.0407439470291,7145.78220545
2,380.2977216243744,0.031264,0.0,5859.65,443516,-0.00586374,4895,-0.480439,775.27,-0.00626051425934,7223.15667812
2,382.03123927116394,0.037355,0.0,5869.81,445516,-0.00490695,4897,-0.477376,789.26,-0.00115060806274,7353.60670704
5,383.7758033275604,0.0187843,0.0,7606.18,448343,-0.00723691,4902,-0.468873,792.62,0.429266214371,7384.8496664
2,385.51573610305786,0.018303,0.0,5823.95,450343,-0.010423,4904,-0.460267,808.06,-0.0442161560059,7528.89259423
2,387.2507481575012,0.0154577,0.0,5938.88,452343,-0.00921372,4906,-0.455424,817.29,-0.111394047737,7615.08915794
