TimestepsSoFar,ev_tdlam_before,loss_kl,EpRewMean,TimeElapsed,EpLenMean,EpisodesSoFar,loss_vf_loss,loss_pol_surr,loss_ent,loss_pol_entpen,EpThisIter
94182,0.735448420048,0.00617084,659.690106855,82.0152838230133,71.15,4459,4698.69,-0.0127148,0.0763196,0.0,27
96252,0.718345761299,0.0105914,660.832062167,83.78047323226929,71.27,4487,4955.93,-0.00918207,0.0689378,0.0,28
98272,0.71485543251,0.00951116,701.317014759,85.53148770332336,75.62,4512,4976.88,-0.00876533,0.0549706,0.0,25
100347,0.736678898335,0.00913389,690.87697206,87.2960410118103,74.49,4540,4754.14,-0.00937901,0.0317227,0.0,28
102388,0.744692802429,0.0123239,724.977135813,89.05315661430359,78.15,4563,5106.4,-0.0119712,0.00181913,0.0,23
104440,0.689773589373,0.00916535,783.344497852,90.8041410446167,84.43,4583,5047.31,-0.0126331,-0.00385499,0.0,20
106448,0.689352244139,0.007081,803.85733792,92.55370163917542,86.63,4606,5070.86,-0.0134525,-0.0100136,0.0,23
108470,0.734102398157,0.00913576,866.547869916,94.31134343147278,93.38,4623,5290.28,-0.016229,-0.0414637,0.0,17
110535,0.710264742374,0.0120642,926.552139456,96.05885410308838,99.83,4641,5546.57,-0.0111641,-0.0584112,0.0,18
112542,0.743547976017,0.0135247,986.665573504,97.81141376495361,106.29,4655,5859.45,-0.0150631,-0.0835871,0.0,14
114674,0.758538559079,0.00694847,1053.08604397,99.56178951263428,113.43,4670,5392.01,-0.0142893,-0.097611,0.0,15
116396,0.676166117191,0.0157128,1137.44660747,101.34293818473816,122.49,4680,6651.66,-0.0125175,-0.115055,0.0,10
118752,0.725564241409,0.00767322,1251.98376398,103.08443331718445,134.8,4691,6014.41,-0.0140199,-0.115327,0.0,11
120697,0.713128179312,0.0158461,1394.71946434,104.83598256111145,150.14,4698,6419.23,-0.00654904,-0.112719,0.0,7
121933,0.580745786428,0.00933521,1464.62741165,106.5848069190979,157.66,4704,6695.47,-0.0154715,-0.0950565,0.0,6
124798,0.440190196037,0.0134108,1671.5097834,108.32877469062805,179.91,4710,7667.18,-0.0112913,-0.0944706,0.0,6
126683,0.614611923695,0.0155645,1755.67671197,110.07665801048279,188.96,4717,6507.63,-0.0116497,-0.0902784,0.0,7
128945,0.682691067457,0.00851939,1902.62064995,111.82665300369263,204.75,4723,6312.18,-0.0116968,-0.102545,0.0,6
131001,0.601100832224,0.0134926,2023.12490179,113.56102418899536,217.7,4731,6726.54,-0.0106319,-0.111635,0.0,8
133119,0.513540416956,0.00619518,2151.47316657,115.31101822853088,231.49,4737,6632.73,-0.0127053,-0.118145,0.0,6
135038,0.620505213737,0.0131397,2185.11601776,117.06101322174072,235.11,4746,6352.06,-0.0062963,-0.133162,0.0,9
136548,0.715622544289,0.0164366,2273.95475025,118.81732368469238,244.66,4750,5610.52,-0.0129851,-0.134386,0.0,4
138801,0.493419587612,0.00855061,2457.99346848,120.54961514472961,264.43,4753,6146.86,-0.00974342,-0.143686,0.0,3
141016,0.361288189888,0.0224251,2622.16204252,122.3113443851471,282.07,4756,6082.64,-0.00799908,-0.147994,0.0,3
142582,0.346622407436,0.0170924,2746.87971819,124.05283570289612,295.47,4758,5791.12,-0.0118273,-0.141006,0.0,2
145279,0.537969559431,0.0140277,2927.12099587,125.81004405021667,314.83,4762,5681.93,-0.00673841,-0.142427,0.0,4
147329,0.537404984236,0.00968146,3082.25718613,127.562420129776,331.5,4767,5706.42,-0.0174778,-0.172134,0.0,5
149327,0.440322816372,0.0108761,3222.18586028,129.31253123283386,346.53,4770,5539.59,-0.0128699,-0.181562,0.0,3
151338,0.641594290733,0.00882709,3264.31150902,131.05463695526123,351.05,4778,5927.48,-0.0138486,-0.194148,0.0,8
153113,0.170593559742,0.0504102,3414.3823725,132.81109595298767,367.17,4780,5500.44,0.00404441,-0.203663,0.0,2
154999,0.687398523092,0.00820284,3487.17196151,134.54545783996582,374.99,4784,4590.99,-0.014932,-0.211186,0.0,4
157405,0.483580768108,0.0160719,3655.9901555,136.3110773563385,393.12,4788,5832.57,-0.00814644,-0.20962,0.0,4
159490,0.643743515015,0.0136204,3724.79463968,138.04544758796692,400.5,4792,4728.54,-0.0130139,-0.217293,0.0,4
161490,-0.0324256420135,0.00747879,3875.38333196,139.81106662750244,416.67,4794,5569.59,-0.00536667,-0.214938,0.0,2
163618,0.287653267384,0.0111048,4052.48304694,141.57800149917603,435.69,4797,5800.8,-0.00922375,-0.205121,0.0,3
164990,0.648974657059,0.0247296,4089.2231025,143.32370615005493,439.63,4800,3976.14,-0.00312511,-0.213985,0.0,3
167699,0.602369993925,0.0190229,4257.11568247,145.0679018497467,457.66,4804,5137.06,-0.0192505,-0.231702,0.0,4
169886,0.649208366871,0.0139567,4250.31225266,146.81943678855896,456.9,4809,4655.56,-0.000845453,-0.249931,0.0,5
171803,0.45750027895,0.0191836,4355.49521169,148.5703010559082,468.19,4811,4462.17,-0.00663244,-0.261954,0.0,2
173863,0.458739101887,0.0292736,4494.35764281,150.31205415725708,483.11,4814,4724.7,-0.00497399,-0.276029,0.0,3
175906,0.289137005806,0.0224654,4579.39870807,152.06984949111938,492.23,4817,5712.52,-0.00575205,-0.283138,0.0,3
177791,0.486071944237,0.0151126,4704.31728876,153.81089615821838,505.64,4819,4280.65,-0.0118104,-0.287332,0.0,2
180094,0.501507550478,0.0132333,4841.14183852,155.55750274658203,520.33,4822,4590.32,-0.0128719,-0.295627,0.0,3
181307,0.656617224216,0.0123603,4778.82001724,157.31167840957642,513.62,4824,3385.84,-0.014257,-0.314325,0.0,2
184307,0.00621151924133,0.00958694,5009.78570886,159.0687780380249,538.42,4827,6188.74,-0.00868008,-0.29405,0.0,3
185620,0.519198983908,0.0320752,5102.20012056,160.81968593597412,548.34,4830,4263.12,-0.00592624,-0.301444,0.0,3
187620,-0.0226917266846,0.0222465,5255.8581961,162.56634497642517,564.84,4832,4969.29,-0.000432087,-0.312657,0.0,2
190313,0.173190236092,0.0238597,5382.2359289,164.31102085113525,578.4,4835,5734.67,-0.0032543,-0.335088,0.0,3
192313,-0.00169742107391,0.0124556,5508.44877969,166.04538941383362,591.94,4837,4933.68,-0.00775354,-0.319377,0.0,2
194313,-0.000686287879944,0.0297197,5675.79708912,167.7953851222992,609.91,4839,4906.03,-0.00393943,-0.310656,0.0,2
196313,-0.00154864788055,0.0204639,5799.98502752,169.54537916183472,623.23,4841,4881.38,-0.00515782,-0.322498,0.0,2
198313,-0.00406694412231,0.0110871,5928.52788919,171.29537343978882,637.03,4843,4842.74,-0.00545541,-0.315948,0.0,2
200313,-0.00028657913208,0.0160471,6085.85704253,173.04536843299866,653.92,4845,4841.84,0.000207952,-0.321823,0.0,2
201829,0.205888092518,0.0163008,6163.04632544,174.79536294937134,662.21,4847,3457.24,-0.00877479,-0.318854,0.0,2
203953,0.361226499081,0.0151124,6273.36366491,176.54535841941833,674.05,4850,5212.35,-0.00737564,-0.320597,0.0,3
205862,0.507155537605,0.0272941,6308.98271183,178.27972722053528,677.88,4852,3676.66,-0.00869232,-0.31304,0.0,2
208257,0.167158603668,0.0104626,6301.23984709,180.0297224521637,677.04,4855,5559.49,-0.0115331,-0.318088,0.0,3
210811,0.447504818439,0.0195626,6275.24220352,181.77971744537354,674.24,4859,4505.15,-0.013763,-0.325462,0.0,4
212392,0.715636670589,0.0142415,6294.783143,183.5140986442566,676.34,4861,2653.0,-0.0136319,-0.309047,0.0,2
214294,0.501505106688,0.0129427,6408.49237735,185.2640814781189,688.56,4863,3676.71,-0.0119051,-0.328464,0.0,2
216727,0.221925020218,0.00926437,6485.6128217,187.01407670974731,696.84,4866,5115.64,-0.00957982,-0.314414,0.0,3
218964,0.420715272427,0.0504032,6574.31751599,188.75597190856934,706.37,4869,4813.55,0.00339608,-0.314775,0.0,3
220388,0.093861758709,0.0221095,6589.86079805,190.5060682296753,708.04,4871,3123.1,-0.0114973,-0.325379,0.0,2
223099,0.376243054867,0.0167564,6729.62738794,192.2498323917389,723.05,4875,6279.69,-0.0101074,-0.335626,0.0,4
225136,0.516968846321,0.0248934,6868.55714501,193.98575043678284,737.98,4878,4743.38,-0.00261734,-0.333301,0.0,3
227258,0.509181141853,0.0179116,6841.45553111,195.73315262794495,735.07,4881,4245.54,-0.0171233,-0.356739,0.0,3
228748,0.495579898357,0.0120144,6935.9979883,197.47467684745789,745.22,4883,3578.03,-0.0129635,-0.364748,0.0,2
230748,-0.0217797756195,0.0242277,6983.75323244,199.21867537498474,750.35,4885,4758.85,-0.00627193,-0.372058,0.0,2
232656,0.292867898941,0.0125235,7096.91829881,200.96883034706116,762.51,4887,4009.22,-0.00813493,-0.359146,0.0,2
235158,0.521947383881,0.0180027,7085.36112063,202.71724772453308,761.29,4890,4630.92,-0.00842575,-0.364788,0.0,3
237158,-0.0200881958008,0.0453724,7228.55918979,204.46755456924438,776.68,4892,4834.57,-0.00733792,-0.366948,0.0,2
239158,-0.00237107276917,0.0178707,7228.45890831,206.20903086662292,776.68,4894,4871.63,-0.00991396,-0.361427,0.0,2
241479,0.467999339104,0.0115164,7132.03773288,207.9716818332672,766.34,4899,5077.96,-0.0173511,-0.358669,0.0,5
243479,-0.00163519382477,0.0133059,7212.52244651,209.7060718536377,774.99,4901,4395.11,-0.0114887,-0.352285,0.0,2
245712,0.30051779747,0.0267443,7260.26631743,211.46708607673645,780.13,4904,4968.27,-0.010493,-0.365558,0.0,3
247169,0.214111089706,0.0120537,7305.6151783,213.21707916259766,785.01,4906,3334.75,-0.0146898,-0.379869,0.0,2
249202,0.542510569096,0.0139763,7381.38384209,214.9670741558075,793.16,4909,3798.22,-0.010051,-0.382682,0.0,3
251202,-0.215596437454,0.0284727,7389.09402518,216.72081422805786,793.99,4911,5093.69,-0.0115855,-0.391237,0.0,2
253202,0.00591158866882,0.0148187,7427.55890343,218.47109985351562,798.12,4913,4971.43,-0.00757823,-0.398624,0.0,2
255984,0.343377888203,0.0267727,7456.26259179,220.21256613731384,801.21,4916,5089.63,-0.00400419,-0.401266,0.0,3
257984,-0.0524183511734,0.0129272,7545.26148438,221.96718525886536,810.78,4918,5086.47,-0.00521275,-0.396514,0.0,2
259984,-0.056805729866,0.0316882,7600.56413565,223.70155262947083,816.73,4920,5153.52,0.0020901,-0.407062,0.0,2
261853,0.450382351875,0.0101531,7608.49704708,225.4515483379364,817.59,4922,3021.5,-0.00965324,-0.411369,0.0,2
263499,0.731926053762,0.0231632,7462.43686557,227.20154237747192,801.92,4926,3081.1,-0.00720174,-0.412803,0.0,4
265676,0.303644061089,0.0172617,7477.9929962,228.95153784751892,803.6,4929,6976.27,-0.0129964,-0.407627,0.0,3
268027,0.508156508207,0.0126373,7482.2387568,230.7015323638916,804.07,4932,5086.46,-0.0123144,-0.405082,0.0,3
269968,0.396417081356,0.0124829,7476.61456536,232.4603033065796,803.48,4934,3201.07,-0.0095279,-0.403334,0.0,2
272371,0.481268763542,0.015843,7356.40558826,234.2025694847107,790.58,4938,7677.57,-0.0120947,-0.397487,0.0,4
274371,-0.0168762207031,0.0267088,7356.3994875,235.9692349433899,790.58,4940,5359.82,-0.00428436,-0.388318,0.0,2
275939,0.559502124786,0.0242184,7316.04208499,237.7171082496643,786.26,4942,3423.67,-0.00514678,-0.386688,0.0,2
277623,0.401534438133,0.0150364,7286.44415143,239.46710467338562,783.1,4944,3359.53,-0.0150878,-0.39661,0.0,2
280319,0.408290445805,0.022761,7303.17473014,241.22391271591187,784.9,4947,5621.17,-0.0137706,-0.401006,0.0,3
282483,0.494813740253,0.0231298,7306.84038192,242.97425198554993,785.3,4950,6165.71,-0.00785768,-0.391123,0.0,3
284483,-0.0667388439178,0.0128253,7315.43675711,244.71483635902405,786.21,4952,5526.52,-0.00650233,-0.407205,0.0,2
286483,-0.0553648471832,0.0193286,7315.43571875,246.47370648384094,786.21,4954,5548.26,-0.00737939,-0.402719,0.0,2
288697,0.176539540291,0.0180393,7382.00094299,248.2276976108551,793.36,4957,7439.1,-0.0079317,-0.401284,0.0,3
290697,-0.0100973844528,0.0355961,7433.24410966,249.9793508052826,798.86,4959,5571.46,-0.00397129,-0.399679,0.0,2
292697,-2.99215316772e-05,0.0135074,7472.35353896,251.71305894851685,803.05,4961,5594.28,-0.00946693,-0.406122,0.0,2
294796,0.29522383213,0.0191182,7397.69052623,253.46761965751648,795.02,4964,7101.36,-0.0133994,-0.400969,0.0,3
296142,0.75924231112,0.0299573,7389.64765538,255.20910501480103,794.15,4966,1535.59,-0.0125467,-0.426108,0.0,2
298179,0.341747283936,0.00803362,7371.1223435,256.9678852558136,792.15,4969,6847.58,-0.0125733,-0.437765,0.0,3
300179,-0.0427489280701,0.00959628,7424.87920999,258.73367500305176,797.91,4971,5709.43,-0.00966375,-0.434353,0.0,2
302179,-0.00480604171753,0.0596506,7424.99446056,260.4840955734253,797.91,4973,5698.5,0.00700688,-0.440195,0.0,2
304973,0.375146448612,0.0130741,7457.04631515,262.225608587265,801.33,4977,7269.15,-0.0134207,-0.448605,0.0,4
306973,-0.0224007368088,0.0118347,7583.84412867,263.959121465683,814.93,4979,5703.3,-0.00871779,-0.426475,0.0,2
308758,0.557518959045,0.0185236,7584.65675423,265.71106934547424,815.0,4981,2743.13,-0.0151322,-0.408912,0.0,2
310758,-0.017223238945,0.0210208,7632.27265626,267.4613072872162,820.1,4983,5785.02,-0.00851848,-0.41298,0.0,2
313049,0.229432284832,0.0146831,7575.05621973,269.2032880783081,813.93,4986,6829.64,-0.00702663,-0.406311,0.0,3
314683,0.570754438639,0.0178059,7478.32996518,270.9496326446533,803.52,4989,4466.77,-0.0113988,-0.403262,0.0,3
316683,-0.107484459877,0.0370162,7494.6547992,272.693439245224,805.25,4991,5889.69,-0.000647095,-0.39715,0.0,2
319183,0.176633775234,0.01735,7448.30561587,274.4609181880951,800.25,4994,7945.06,-0.00690009,-0.388575,0.0,3
321472,0.22367221117,0.0224645,7534.81669622,276.20259618759155,809.52,4997,6681.46,-0.00797765,-0.385843,0.0,3
323202,0.365141510963,0.0180937,7513.5966919,277.95107889175415,807.23,5000,7120.82,-0.0104764,-0.399068,0.0,3
325610,0.248683810234,0.0107823,7530.06566882,279.70107197761536,808.98,5003,6391.87,-0.0100561,-0.408531,0.0,3
327610,-0.00556814670563,0.00884731,7530.26155431,281.4354431629181,808.98,5005,5736.14,-0.00914264,-0.393608,0.0,2
329329,0.304456412792,0.0187072,7554.79911848,283.18543791770935,811.6,5007,3167.02,-0.00894546,-0.383694,0.0,2
330783,0.261328160763,0.0158205,7594.0496577,284.93543243408203,815.81,5009,4872.63,-0.0121494,-0.378545,0.0,2
333783,-0.0224640369415,0.0124157,7594.17192601,286.68542766571045,815.81,5012,7464.63,-0.00898505,-0.385366,0.0,3
335783,-0.0184541940689,0.0305878,7594.21133723,288.4197962284088,815.81,5014,5799.24,-0.00864396,-0.383832,0.0,2
337783,-0.0521467924118,0.0170936,7614.61768887,290.16979241371155,817.99,5016,5832.19,-0.0122433,-0.389851,0.0,2
