TimeElapsed,EpLenMean,loss_kl,ev_tdlam_before,loss_vf_loss,loss_pol_surr,loss_ent,EpThisIter,EpisodesSoFar,EpRewMean,TimestepsSoFar,loss_pol_entpen
95.51519846916199,197.28,0.0128446,0.980332072824,18.0635,-0.0410144,7.25567,11,814,372.741513899,94205,0.0
97.570077419281,196.05,0.0143132,0.984068373218,16.334,-0.0450638,7.21167,11,825,373.069707209,96157,0.0
99.64639163017273,191.97,0.0152119,0.979844493791,13.4195,-0.0444168,7.19792,12,837,368.902065792,98258,0.0
101.725350856781,188.33,0.0141944,0.987963325344,11.0351,-0.0393139,7.14641,11,848,366.06705579,100321,0.0
103.79968476295471,186.07,0.0148443,0.982347244397,13.4761,-0.0424723,7.12044,11,859,365.50688652,102349,0.0
105.88303256034851,183.48,0.0117024,0.978801192716,12.5341,-0.0331966,7.14027,11,870,360.468399939,104416,0.0
107.95702910423279,184.69,0.0183812,0.979487273842,13.7026,-0.0362937,7.1395,11,881,363.881626681,106418,0.0
110.05457067489624,183.87,0.0126665,0.974472055212,42.0029,-0.0377708,7.10543,11,892,357.577794622,108510,0.0
112.12495732307434,184.02,0.0150484,0.977831747383,23.9209,-0.0399702,7.08748,11,903,356.877017062,110512,0.0
114.20321917533875,185.39,0.0158715,0.966661460698,35.66,-0.0335393,7.08092,10,913,357.48332664,112551,0.0
116.26847529411316,187.07,0.0152451,0.981797158718,13.4507,-0.0384903,7.02642,11,924,361.690303264,114654,0.0
118.36310338973999,189.1,0.0143146,0.976772507653,28.8683,-0.0361389,7.02957,10,934,363.649423707,116691,0.0
120.45968103408813,187.55,0.0139276,0.977998353541,18.1923,-0.0397426,6.99425,11,945,362.008173553,118648,0.0
122.53957891464233,188.97,0.0152747,0.98492959328,15.3801,-0.0424975,6.96963,11,956,365.705992496,120716,0.0
124.64038109779358,189.09,0.0146218,0.974252421409,25.3245,-0.0495867,6.96615,12,968,370.199503454,122874,0.0
126.70307779312134,188.56,0.0141204,0.986259671859,14.6733,-0.0481205,6.88802,11,979,374.921102169,124894,0.0
128.81263160705566,191.7,0.0172586,0.974946789443,14.731,-0.0369727,6.88623,9,988,383.687210149,126897,0.0
130.87549018859863,192.7,0.0149615,0.979617265984,19.7991,-0.0473933,6.87857,11,999,395.017416509,129023,0.0
132.9684088230133,191.36,0.0150237,0.984772806987,13.6763,-0.049583,6.80539,10,1009,396.95120918,130944,0.0
135.04680609703064,191.86,0.0135068,0.971114808694,24.7496,-0.0468912,6.81527,11,1020,401.763813335,133089,0.0
137.12437391281128,190.25,0.015745,0.982955720276,17.0229,-0.0508173,6.85542,10,1030,404.521669903,135059,0.0
139.20290231704712,192.44,0.0127707,0.97459349595,25.4049,-0.0431104,6.85614,11,1041,408.944671258,137124,0.0
141.28105688095093,193.84,0.0119147,0.98851081077,11.4518,-0.0451696,6.84295,10,1051,413.203819387,139150,0.0
143.39193081855774,196.98,0.0150078,0.981928473338,22.2541,-0.0450908,6.82639,10,1061,420.546644903,141274,0.0
145.4559543132782,199.44,0.0141362,0.9745862782,24.1588,-0.0397862,6.79709,9,1070,424.697207064,143197,0.0
147.53928065299988,197.04,0.0165833,0.988307894208,14.1445,-0.0503158,6.73447,12,1082,424.585301217,145389,0.0
149.61659264564514,196.73,0.0181117,0.98243495822,14.2566,-0.0422367,6.77429,10,1092,429.551790307,147398,0.0
151.695814371109,199.26,0.0137004,0.978211747482,20.7609,-0.047406,6.76816,10,1102,435.311108322,149488,0.0
153.78135681152344,195.53,0.0114926,0.982766008005,22.2012,-0.0456889,6.75558,11,1113,432.002412762,151351,0.0
155.859135389328,197.51,0.010091,0.970278175548,26.9958,-0.0407086,6.75103,10,1123,431.376931883,153531,0.0
157.96829438209534,199.71,0.0128381,0.978330185637,27.9988,-0.0474258,6.75815,10,1133,439.012687126,155630,0.0
160.0467095375061,198.92,0.0165758,0.982310891151,25.8226,-0.0466448,6.71774,11,1144,440.367526223,157670,0.0
162.14028310775757,196.42,0.0124146,0.984969605692,21.2202,-0.0507334,6.68628,11,1155,439.783884559,159603,0.0
164.22725987434387,195.06,0.0155025,0.978257890791,26.2364,-0.0471266,6.63921,11,1166,444.917670803,161767,0.0
166.32848048210144,194.28,0.0163879,0.983030410483,18.3884,-0.0563914,6.5932,10,1176,445.888485746,163709,0.0
168.44620060920715,190.62,0.0146661,0.964180864394,26.8983,-0.0449044,6.55644,12,1188,443.294588982,165761,0.0
170.5733904838562,192.15,0.0175423,0.982340825722,26.0597,-0.0430567,6.56395,10,1198,449.857976543,167779,0.0
172.7319598197937,193.23,0.0209247,0.981267211959,25.005,-0.0504563,6.52188,10,1208,456.649643255,169790,0.0
174.8363287448883,194.18,0.0161204,0.975727457553,30.5941,-0.0511534,6.46581,10,1218,467.742274328,171950,0.0
176.95359349250793,193.26,0.0161044,0.983708675951,26.8313,-0.0523157,6.47211,10,1228,470.169090161,173893,0.0
179.0774974822998,192.76,0.0172089,0.986857477576,21.013,-0.0497946,6.44956,11,1239,473.261461908,176000,0.0
181.14085388183594,194.91,0.0185751,0.98050551489,19.2604,-0.0492941,6.44006,10,1249,479.461171666,178017,0.0
183.22174668312073,195.89,0.0133255,0.977250883356,23.3462,-0.0468898,6.43415,10,1259,482.642669267,180069,0.0
185.2903823852539,196.04,0.0155916,0.988475653343,20.7635,-0.0512979,6.39796,11,1270,486.455524265,182231,0.0
187.35925912857056,198.0,0.0153631,0.979727886617,23.5492,-0.0508106,6.36131,10,1280,493.930261948,184185,0.0
189.4215099811554,199.26,0.018215,0.97817469202,36.0151,-0.0520268,6.30961,11,1291,498.316534554,186291,0.0
191.49941515922546,199.84,0.016474,0.988988568075,15.9745,-0.0552175,6.2813,10,1301,500.523221556,188367,0.0
193.58143877983093,199.67,0.0161406,0.987359096296,18.038,-0.0513228,6.25139,10,1311,499.301282561,190414,0.0
195.64904618263245,198.23,0.0143454,0.985263988376,15.3597,-0.0549235,6.23071,10,1321,499.723247253,192340,0.0
197.73375988006592,199.7,0.0180535,0.987525542267,17.529,-0.0509017,6.23032,10,1331,504.283262243,194423,0.0
199.78137922286987,200.63,0.0196022,0.987466607243,14.5838,-0.0513129,6.20537,11,1342,509.913247008,196607,0.0
201.86247205734253,200.94,0.0152509,0.983224514872,13.2088,-0.0433126,6.16042,9,1351,512.609915696,198515,0.0
203.9300558567047,202.9,0.0140901,0.980554686859,20.8842,-0.0460233,6.10356,9,1360,515.058464646,200573,0.0
205.99939250946045,205.16,0.0177847,0.98789694719,14.1197,-0.0519036,6.08967,10,1370,522.065767744,202747,0.0
