ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_ent,loss_vf_loss,EpThisIter,EpRewMean,EpisodesSoFar,TimestepsSoFar,loss_pol_entpen,loss_kl,EpLenMean
0.961572673172,-0.0384731,96.57028484344482,7.38358,20.9674,11,386.672085169,761,93970,0.0,0.0182815,217.92
0.975731803104,-0.0451939,98.65624690055847,7.34252,22.2276,13,383.80787549,774,96183,0.0,0.0146416,213.34
0.94533104822,-0.0391185,100.76577425003052,7.35091,37.8475,10,379.517640572,784,98087,0.0,0.0140599,210.49
0.961440742016,-0.0460952,102.84362196922302,7.29718,38.5106,11,373.212090695,795,100336,0.0,0.0113881,208.51
0.949423514307,-0.0446472,104.94157385826111,7.26947,40.4257,12,363.648967676,807,102311,0.0,0.0156129,200.03
0.975079162046,-0.0493654,107.02382922172546,7.22429,19.737,11,356.384431069,818,104429,0.0,0.0157384,195.04
0.97842894122,-0.0441605,109.13607811927795,7.21225,16.2571,10,360.979543826,828,106404,0.0,0.0142355,194.11
0.961981903762,-0.0470188,111.2248055934906,7.19503,23.2378,11,350.622405577,839,108449,0.0,0.0146385,189.2
0.971871443093,-0.0392617,113.30366826057434,7.21364,24.7312,12,342.970048617,851,110563,0.0,0.0128081,183.77
0.982292894274,-0.0415267,115.40579438209534,7.17851,16.3515,10,349.694967567,861,112597,0.0,0.0138954,186.27
0.98674516473,-0.0408574,117.48467493057251,7.11421,12.4437,11,350.854998252,872,114573,0.0,0.0102244,186.91
0.979031069204,-0.0431002,119.61275053024292,7.05246,16.6722,10,354.577816064,882,116714,0.0,0.0138318,189.67
0.983230348676,-0.0429096,121.69598746299744,7.04509,14.3508,10,360.149733802,892,118620,0.0,0.0143819,189.57
0.978822862729,-0.044238,123.8123071193695,7.00525,15.745,11,365.204702909,903,120728,0.0,0.0164174,190.0
0.981804301962,-0.0405926,125.90590405464172,6.97164,17.3168,11,371.554296024,914,122737,0.0,0.0128231,190.43
0.985329009593,-0.0420616,128.01529479026794,6.96461,15.5813,11,373.748866766,925,124794,0.0,0.0142237,190.97
0.984215902165,-0.0463484,130.09629654884338,6.98691,15.8606,12,371.974449719,937,126816,0.0,0.0142149,188.3
0.987280236557,-0.0441245,132.1951584815979,6.95818,13.2267,11,380.330259845,948,128862,0.0,0.0150812,188.14
0.986050157808,-0.0447823,134.30468916893005,6.94674,12.1681,12,379.105902359,960,131060,0.0,0.0110199,186.78
0.987744856626,-0.0491669,136.3909192085266,6.90882,12.7976,11,379.357137577,971,133020,0.0,0.0145076,186.17
0.991156592034,-0.0481724,138.50201678276062,6.89496,10.9102,12,380.016808415,983,135094,0.0,0.0155564,182.06
0.986066317186,-0.0473401,140.5938081741333,6.89748,11.857,11,377.983561382,994,137025,0.0,0.0150697,178.75
0.982807002962,-0.0420604,142.70328998565674,6.91017,15.1013,11,382.319247688,1005,139086,0.0,0.012854,180.57
0.984666146338,-0.0505574,144.7893853187561,6.88652,15.0597,12,383.774404651,1017,141196,0.0,0.015794,179.78
0.982047172263,-0.0471707,146.88309812545776,6.85918,22.0873,12,384.451345165,1029,143294,0.0,0.0143857,179.08
0.958710756153,-0.0460507,148.96113467216492,6.84845,22.1376,11,387.006896191,1040,145229,0.0,0.0152611,178.31
0.950541641563,-0.0427557,151.05526280403137,6.80322,23.9758,11,390.913860991,1051,147395,0.0,0.017448,180.06
0.975733958185,-0.0471511,153.17126083374023,6.73646,30.334,11,399.077519335,1062,149483,0.0,0.0173839,181.33
0.975883949548,-0.0453689,155.2495095729828,6.65747,27.7308,10,407.283801442,1072,151492,0.0,0.0144762,183.26
0.982585845515,-0.0488489,157.37466263771057,6.67566,19.0797,10,416.435469922,1082,153580,0.0,0.0147764,186.07
0.959423687309,-0.0425724,159.4600601196289,6.63933,37.8653,10,424.167755265,1092,155451,0.0,0.0133312,187.9
