EpThisIter,loss_pol_surr,EpisodesSoFar,TimeElapsed,ev_tdlam_before,TimestepsSoFar,EpLenMean,loss_kl,EpRewMean,loss_pol_entpen,loss_ent,loss_vf_loss
2,-0.00989142,4436,122.2110116481781,0.317659676075,140395,387.22,0.0142412,3603.35046975,0.0,-0.234418,5882.14
5,-0.0117671,4441,123.95347332954407,0.484427571297,142844,400.18,0.0134856,3724.09887986,0.0,-0.23376,5850.79
4,-0.0102265,4445,125.70372653007507,0.46041983366,145095,405.1,0.00950546,3769.98891679,0.0,-0.228287,6059.0
2,-0.00920571,4447,127.43836045265198,0.456089019775,147006,420.96,0.0118413,3917.65652561,0.0,-0.214685,5472.37
4,-0.0180901,4451,129.1784131526947,0.580596536398,149395,435.81,0.0128752,4055.98874745,0.0,-0.231894,5521.58
5,-0.0112658,4456,130.9127869606018,0.516143620014,151475,443.92,0.0185932,4131.5929262,0.0,-0.217695,5618.33
2,-0.00906016,4458,132.64715456962585,0.411295890808,152701,445.02,0.017086,4141.89356523,0.0,-0.218057,5102.93
3,-0.0102098,4461,134.39872550964355,0.478796422482,154722,455.58,0.0290914,4240.3006731,0.0,-0.217095,5381.16
4,-0.00554618,4465,136.14021348953247,0.280104577541,157283,451.64,0.00984751,4203.74017385,0.0,-0.220693,6211.56
4,-0.00529068,4469,137.87775230407715,0.614670693874,159366,462.48,0.0142212,4304.73099272,0.0,-0.223333,4341.43
2,-0.00663466,4471,139.6114947795868,0.497964322567,160954,458.58,0.00757024,4268.47066798,0.0,-0.231403,4829.84
5,-0.00726332,4476,141.3638563156128,0.64114266634,163715,472.44,0.0123293,4397.59938203,0.0,-0.231168,4461.67
3,-0.00830011,4479,143.10798168182373,0.433671355247,165449,476.46,0.0109712,4435.14850474,0.0,-0.232888,5231.65
4,-0.00238115,4483,144.8511643409729,0.584126442671,167594,492.43,0.0296031,4583.97500168,0.0,-0.230009,4578.8
3,-0.00881121,4486,146.64713859558105,0.578233212233,169885,508.85,0.0140309,4736.91629769,0.0,-0.232805,4884.31
2,-0.00233455,4488,148.3817412853241,0.499060690403,171801,515.67,0.0106533,4800.55027563,0.0,-0.223231,4545.88
3,-0.00294155,4491,150.15447974205017,0.406215786934,173825,522.35,0.0224448,4862.8636628,0.0,-0.231133,5385.66
2,-0.00689942,4493,151.87458968162537,-0.12034702301,175825,528.87,0.0103699,4923.65129993,0.0,-0.244602,5090.34
2,-0.00559945,4495,153.6312484741211,-0.0569312572479,177825,544.61,0.0130719,5070.31832309,0.0,-0.245653,5138.18
2,-0.00554707,4497,155.36562180519104,-9.78708267212e-05,179825,557.71,0.0102327,5192.4963396,0.0,-0.234958,5155.55
3,-0.00311814,4500,157.1156132221222,0.402133405209,181705,563.92,0.0269578,5250.42289239,0.0,-0.23861,3877.64
2,0.00069269,4502,158.84998297691345,0.249757289886,183705,579.43,0.0245357,5395.01431687,0.0,-0.232065,4784.67
2,-0.00542353,4504,160.61560082435608,-0.0577716827393,185705,596.71,0.0126581,5556.07505288,0.0,-0.232375,4901.27
5,-0.00565871,4509,162.35687351226807,0.490461707115,188226,602.26,0.0243512,5607.93260752,0.0,-0.264975,5161.29
4,-0.0045233,4513,164.13183045387268,0.621467769146,190232,610.48,0.0182222,5684.70251157,0.0,-0.275477,4476.68
2,-0.00389669,4515,165.86611199378967,-0.03817486763,192232,624.85,0.0206845,5818.7895919,0.0,-0.271677,4778.23
2,-0.00904663,4517,167.6024670600891,0.441309869289,194189,636.17,0.0120011,5924.40502595,0.0,-0.273929,3769.27
4,-0.0125518,4521,169.36589097976685,0.580799937248,196576,645.23,0.0100375,6008.97990934,0.0,-0.294827,4742.55
6,-0.0139552,4527,171.1315107345581,0.739152640104,198504,633.93,0.0101633,5903.91326029,0.0,-0.307497,4526.27
3,-0.0102948,4530,172.86588048934937,0.63260152936,200360,636.52,0.00973784,5928.18434447,0.0,-0.30183,3997.02
2,-0.00742367,4532,174.60854029655457,0.6063349545,202155,648.94,0.0108517,6044.04294007,0.0,-0.28711,3552.01
3,-0.00341594,4535,176.35480618476868,0.598517537117,204095,647.0,0.0245821,6026.21953506,0.0,-0.278175,4088.7
2,-0.00698973,4537,178.11192417144775,0.0669516921043,206095,647.0,0.00904685,6026.35686884,0.0,-0.271378,3967.84
3,-0.00270246,4540,179.8464856147766,0.165658771992,208880,662.9,0.0087515,6174.657598,0.0,-0.255224,5846.64
2,-0.00538953,4542,181.59306836128235,-0.0549540519714,210880,672.13,0.0127865,6260.8546981,0.0,-0.267551,4715.34
2,-0.0073259,4544,183.3276093006134,0.357982993126,212743,678.52,0.0101844,6320.47629787,0.0,-0.279922,4230.42
2,-0.00804119,4546,185.0852062702179,-0.0933043956757,214743,686.48,0.0167322,6394.79365476,0.0,-0.276393,4711.23
4,-0.00983101,4550,186.80740523338318,0.61195603013,216779,680.3,0.0158485,6337.52154862,0.0,-0.284701,4216.52
2,-0.0110791,4552,188.55350399017334,0.127897024155,218542,690.35,0.00846973,6431.28690735,0.0,-0.296751,4220.08
2,-0.00504998,4554,190.28787422180176,0.0680688619614,220542,699.74,0.0198682,6518.90008541,0.0,-0.293102,3584.61
2,-0.00672565,4556,192.03786849975586,-0.0215728282928,222542,710.67,0.00975214,6620.86639283,0.0,-0.277489,4744.16
3,-0.0114484,4559,193.78786396980286,0.38303655386,225075,714.51,0.0178502,6656.82837233,0.0,-0.288205,3424.32
3,-0.00421807,4562,195.53810811042786,0.5966180861,226822,711.0,0.00718569,6624.158157,0.0,-0.287534,3924.59
2,-0.00686956,4564,197.27422046661377,0.600149691105,228686,720.81,0.0157025,6715.68185706,0.0,-0.290563,3254.08
4,-0.00440591,4568,199.01571226119995,0.431012570858,231100,722.2,0.0159439,6728.72559153,0.0,-0.279219,6356.86
2,-0.00551198,4570,200.74960112571716,0.172329366207,233047,726.81,0.0207711,6771.78218976,0.0,-0.285378,4123.15
5,-0.00587257,4575,202.50052285194397,0.647564768791,235277,719.15,0.00996226,6700.53723549,0.0,-0.290549,5046.8
4,-0.0136489,4579,204.2432153224945,0.579248934984,237228,717.79,0.0166392,6687.92891475,0.0,-0.305279,5402.96
3,-0.00515423,4582,205.99574494361877,0.385271966457,239440,724.89,0.00632259,6754.14024934,0.0,-0.308869,5545.4
3,-0.0078262,4585,207.75287127494812,0.462344527245,240957,716.11,0.0184765,6672.44554853,0.0,-0.331973,2618.26
2,-0.0071757,4587,209.50632905960083,0.220706224442,242957,721.56,0.0112493,6723.35461512,0.0,-0.345251,3829.37
2,-0.00200727,4589,211.25632524490356,0.375095784664,244957,721.56,0.0168357,6723.46055731,0.0,-0.344374,3388.12
2,-0.00329765,4591,213.0063192844391,-0.088783621788,246957,731.32,0.0324839,6814.48047694,0.0,-0.340779,4973.92
2,-0.00537663,4593,214.74069023132324,-0.0157455205917,248957,731.32,0.00850682,6814.53346891,0.0,-0.34298,5004.08
4,-0.00955157,4597,216.50630855560303,0.337647140026,251691,718.66,0.0128113,6696.63597809,0.0,-0.341431,6123.19
2,-0.00653524,4599,218.22505378723145,-0.00631773471832,253691,729.86,0.00829447,6801.10785383,0.0,-0.325856,5046.19
2,-0.00674816,4601,219.9857518672943,-0.00897061824799,255691,729.86,0.0221979,6801.16937336,0.0,-0.314803,5102.24
2,-0.00837316,4603,221.72038078308105,-0.000398755073547,257691,729.86,0.00971444,6801.28927002,0.0,-0.311032,3683.84
2,-0.0101004,4605,223.49179601669312,-0.0187987089157,259691,729.86,0.0109991,6801.37033389,0.0,-0.324792,5165.25
2,-0.0103748,4607,225.22637557983398,-0.000903606414795,261691,738.03,0.00950415,6877.61282947,0.0,-0.320971,5215.16
2,-0.00374167,4609,226.9710292816162,-0.00359928607941,263691,754.65,0.0101329,7032.61969601,0.0,-0.323856,5246.67
3,-0.00308476,4612,228.72055888175964,0.430504202843,265493,755.8,0.0151786,7043.4078703,0.0,-0.338463,4749.77
2,-0.0118947,4614,230.45481872558594,0.000578641891479,267493,762.61,0.00768399,7106.95538108,0.0,-0.344453,4755.2
2,-0.00377186,4616,232.19498014450073,-0.035169005394,269493,763.04,0.0159339,7111.00640215,0.0,-0.34574,5336.09
2,-0.00563698,4618,233.9396140575409,-0.00265157222748,271493,763.67,0.0223403,7117.00001869,0.0,-0.339527,5388.89
2,-0.00797858,4620,235.6742103099823,-8.96453857422e-05,273493,777.77,0.0159203,7248.54179842,0.0,-0.335531,5423.28
2,-0.00571986,4622,237.44010663032532,-0.061555147171,275493,783.48,0.0101345,7301.89916964,0.0,-0.333641,5431.95
3,-0.00522881,4625,239.1831681728363,0.268755972385,277924,799.28,0.0124542,7449.29112129,0.0,-0.32486,5173.07
3,-0.0107573,4628,240.93341326713562,0.213409662247,280166,810.85,0.00431689,7557.21715947,0.0,-0.336255,7492.87
3,-0.00400091,4631,242.6715805530548,0.394010663033,282592,814.37,0.0157984,7590.11513123,0.0,-0.328107,5559.06
4,-0.00984804,4635,244.43662309646606,0.344522297382,284646,805.51,0.0118668,7507.53062916,0.0,-0.328521,7821.83
2,-0.0100496,4637,246.17946815490723,0.543023973703,285774,796.79,0.0130039,7426.29404259,0.0,-0.32716,3121.78
2,-0.00807643,4639,247.91364407539368,-0.0200670957565,287774,798.94,0.00998536,7446.45672347,0.0,-0.308056,5593.19
3,-0.00350988,4642,249.67911171913147,0.535285532475,290223,793.43,0.0276706,7395.08466225,0.0,-0.317837,2443.77
4,-0.0118227,4646,251.42994737625122,0.732344359159,292685,779.42,0.0177885,7264.6010437,0.0,-0.338596,3595.1
3,-0.00569439,4649,253.1790807247162,0.524371236563,294877,785.36,0.0212409,7320.1206092,0.0,-0.352612,5673.07
2,-0.0146835,4651,254.92156076431274,0.550512731075,296139,783.6,0.0122019,7303.7529809,0.0,-0.366818,3287.11
2,-0.00748051,4653,256.65574955940247,-0.0864493846893,298139,785.97,0.0226845,7325.94056184,0.0,-0.368444,5794.25
2,-0.00638497,4655,258.4172763824463,-0.00964415073395,300139,785.97,0.00995209,7326.05434244,0.0,-0.359189,5767.53
3,-0.00311986,4658,260.1483561992645,0.417665958405,302867,786.4,0.0137736,7330.26354175,0.0,-0.358336,6380.64
2,-0.00630123,4660,261.8974723815918,-0.0907381772995,304867,791.49,0.0136382,7377.86930167,0.0,-0.363911,5894.4
2,-0.00984609,4662,263.64727878570557,0.00839239358902,306867,800.45,0.0182588,7461.56116758,0.0,-0.372736,5040.02
2,-0.00585421,4664,265.3972725868225,-0.00749099254608,308867,801.81,0.00605662,7474.41400724,0.0,-0.37259,5805.44
3,-0.0103872,4667,267.1472680568695,0.618475317955,310754,801.26,0.0146637,7469.46170858,0.0,-0.371923,3548.06
2,-0.00773555,4669,268.89726185798645,-0.016307592392,312754,806.54,0.0132547,7518.87171955,0.0,-0.374329,5605.16
2,-0.00578049,4671,270.6160089969635,0.0653447508812,314754,807.98,0.0173525,7532.50418277,0.0,-0.379297,4699.69
2,-0.00510859,4673,272.3660018444061,-0.0406806468964,316754,825.45,0.0131261,7695.54792255,0.0,-0.376796,5834.69
4,-0.00589323,4677,274.13162112236023,0.627319842577,318603,825.49,0.0248552,7696.09600736,0.0,-0.40274,5598.87
2,-0.00739144,4679,275.88161635398865,-0.0175305604935,320603,833.75,0.00684299,7773.28998611,0.0,-0.398962,5882.28
3,-0.00642099,4682,277.6159870624542,0.410579741001,323075,836.35,0.0221479,7797.7356186,0.0,-0.392435,5978.71
2,0.00193588,4684,279.365980386734,0.00448203086853,325075,842.31,0.0226182,7853.44669544,0.0,-0.396659,5810.32
2,-0.00748876,4686,281.11597633361816,2.68816947937e-05,327075,851.18,0.00907208,7936.21638193,0.0,-0.387735,5865.53
2,0.00149379,4688,282.86597061157227,-0.073227763176,329075,851.18,0.0477263,7936.35353361,0.0,-0.389433,5926.9
2,-0.00500102,4690,284.61641216278076,-0.00185477733612,331075,851.18,0.0220435,7936.46142958,0.0,-0.385149,5892.36
2,-0.00550484,4692,286.3821120262146,-0.0601869821548,333075,851.18,0.0301306,7936.65935675,0.0,-0.386864,5945.84
2,-0.0126145,4694,288.10896706581116,0.536564618349,334989,850.32,0.0152159,7928.72228174,0.0,-0.395548,3954.92
2,-0.00708624,4696,289.8599762916565,-0.00240969657898,336989,862.98,0.010209,8046.89406029,0.0,-0.395755,5909.6
3,-0.00831428,4699,291.63138914108276,0.18751591444,339529,858.38,0.00993171,8004.21064315,0.0,-0.40187,7741.81
3,-0.00845849,4702,293.3813831806183,0.475816309452,341841,851.5,0.0138971,7940.22791544,0.0,-0.411175,3314.37
2,-0.00655907,4704,295.11932492256165,-0.0746446847916,343841,851.5,0.00522997,7940.29800743,0.0,-0.414163,5953.99
2,-0.00632611,4706,296.86606907844543,-0.019461274147,345841,851.5,0.015398,7940.35647814,0.0,-0.410872,5911.61
2,0.0055568,4708,298.6162257194519,-0.00144708156586,347841,851.5,0.0202351,7940.41498398,0.0,-0.410092,5913.32
2,-0.00646086,4710,300.36640334129333,0.00681203603745,349841,854.42,0.0249006,7967.72081582,0.0,-0.422007,5559.42
3,-0.0088842,4713,302.12350058555603,0.582714289427,351665,851.72,0.00862041,7942.60436324,0.0,-0.405771,3190.64
2,-0.00704986,4715,303.8746671676636,0.556417196989,353563,850.7,0.0125665,7933.16069883,0.0,-0.404227,4048.01
2,-0.00778433,4717,305.6099441051483,-0.182085990906,355563,850.7,0.0203216,7933.1596074,0.0,-0.411004,6284.15
4,-0.00565985,4721,307.35045766830444,0.522670537233,358129,836.36,0.0179663,7799.4268483,0.0,-0.418377,6796.5
2,-0.00530189,4723,309.1178238391876,-0.00591003894806,360129,836.36,0.0211261,7799.50878811,0.0,-0.41635,5925.97
4,-0.0107489,4727,310.85026001930237,0.689319908619,362254,823.3,0.0102658,7677.75700085,0.0,-0.423452,5403.9
2,-0.00790939,4729,312.60025548934937,-0.0217088460922,364254,836.62,0.00587084,7802.08909539,0.0,-0.402194,5940.94
2,-0.0109563,4731,314.33462500572205,0.536204814911,365686,830.94,0.0108197,7749.16340358,0.0,-0.401199,3650.38
2,-0.00649816,4733,316.0866184234619,-0.0478676557541,367686,840.82,0.0168991,7841.35137035,0.0,-0.390922,5964.91
3,-0.00546001,4736,317.8359959125519,0.466877937317,370588,858.14,0.0115665,8002.93610594,0.0,-0.384302,6544.16
2,-0.00556795,4738,319.5866255760193,-0.0440624952316,372588,858.14,0.0219829,8002.91063071,0.0,-0.386384,5931.73
2,-0.00585707,4740,321.3189067840576,-0.0108634233475,374588,858.14,0.00971659,8002.89943227,0.0,-0.40609,5539.4
3,-0.00925751,4743,323.0532739162445,0.668567895889,376243,850.2,0.0189859,7928.93205792,0.0,-0.405071,5062.96
3,-0.00841273,4746,324.7876441478729,0.167085886002,378517,858.32,0.0139961,8004.69514338,0.0,-0.388625,8049.43
3,-0.00876875,4749,326.52201318740845,0.189417243004,380804,859.27,0.0195207,8013.47474279,0.0,-0.401135,7819.17
2,-0.000573537,4751,328.2720093727112,0.0130700469017,382804,866.65,0.0189818,8082.36447294,0.0,-0.390805,5652.62
2,-0.0062986,4753,330.0063774585724,0.65957403183,384404,862.65,0.0191012,8045.10458822,0.0,-0.405734,3539.97
2,-0.00460038,4755,331.7563736438751,-0.017854809761,386404,862.65,0.0173136,8045.12955782,0.0,-0.394484,5907.77
2,-0.00525416,4757,333.4877767562866,-0.00496637821198,388404,862.65,0.00399505,8045.08852121,0.0,-0.383083,5907.28
3,-0.0128323,4760,335.2254886627197,0.654517024755,390907,860.4,0.0180689,8024.12214337,0.0,-0.395165,4288.17
3,-0.00569811,4763,336.9679756164551,0.388015270233,393181,853.14,0.0069249,7956.41140504,0.0,-0.410796,5934.46
2,-0.00749678,4765,338.7190012931824,-0.0105344057083,395181,858.5,0.0121215,8006.4505473,0.0,-0.403549,5925.2
2,-0.00691259,4767,340.45571780204773,-0.0416884422302,397181,864.27,0.0175168,8060.26667612,0.0,-0.403286,5957.66
2,-0.0103957,4769,342.19866609573364,-0.00371074676514,399181,864.27,0.0151174,8060.32153736,0.0,-0.389316,5931.02
2,-0.00434086,4771,343.941157579422,-0.0129643678665,401181,864.27,0.00783095,8060.35679164,0.0,-0.392368,5928.51
2,-0.00706943,4773,345.69394040107727,0.298477232456,403035,862.81,0.0172057,8046.73113086,0.0,-0.392061,4863.34
3,-0.00572731,4776,347.42831015586853,0.32775592804,405201,866.24,0.0217674,8078.81478598,0.0,-0.39864,5807.87
2,-0.00419982,4778,349.1939299106598,0.257319271564,407024,874.21,0.0329341,8153.18786411,0.0,-0.41225,3269.99
2,-0.00936674,4780,350.94392347335815,0.359945833683,408635,870.32,0.00849748,8116.91815144,0.0,-0.421858,3614.42
3,-0.00568667,4783,352.67829394340515,-0.00818598270416,411635,875.6,0.00524011,8166.314134,0.0,-0.423193,7743.0
2,-0.00795368,4785,354.4282886981964,-0.0501161813736,413635,875.6,0.00753178,8166.43372812,0.0,-0.415049,6027.47
2,-0.0083171,4787,356.16265869140625,-0.0350738763809,415635,875.6,0.014938,8166.58902591,0.0,-0.416676,5930.92
2,-0.00414129,4789,357.8970284461975,-0.0071462392807,417635,875.6,0.014037,8166.74444968,0.0,-0.414502,5943.94
2,-0.000138145,4791,359.6470217704773,-0.00590443611145,419635,875.6,0.0123729,8166.80626076,0.0,-0.400811,5952.64
2,-0.00318043,4793,361.3970170021057,-0.00248301029205,421635,875.6,0.00787463,8166.91198332,0.0,-0.401729,5954.38
2,-0.0110763,4795,363.14701199531555,0.225514292717,423242,872.53,0.0110407,8138.36308961,0.0,-0.412682,5047.59
2,-0.00543629,4797,364.89700651168823,0.293769776821,425042,870.53,0.016782,8119.74473708,0.0,-0.439814,4899.29
2,-0.00819551,4799,366.63137698173523,0.0613448619843,427042,875.13,0.021509,8162.76296173,0.0,-0.444858,4316.34
3,-0.00140151,4802,368.3657474517822,0.295494794846,429822,879.81,0.0336421,8206.5147286,0.0,-0.439075,5352.37
2,-0.00484233,4804,370.0957295894623,-0.0295135974884,431822,879.81,0.00387563,8206.60859025,0.0,-0.436736,6177.99
3,-0.00764178,4807,371.8503715991974,0.263394355774,434135,872.94,0.0132621,8142.63366302,0.0,-0.426672,4891.78
2,-0.00861041,4809,373.5847415924072,-0.120932459831,436135,872.94,0.0134508,8142.74453949,0.0,-0.448158,6229.24
2,-0.00791089,4811,375.3347373008728,-0.159073114395,438135,875.59,0.00894525,8167.58429104,0.0,-0.456735,5976.23
2,-0.00180784,4813,377.06910705566406,-0.00128567218781,440135,884.7,0.0193344,8252.63823686,0.0,-0.433132,5949.06
2,0.0044568,4815,378.81961607933044,-0.0321074724197,442135,885.72,0.0260699,8262.1985522,0.0,-0.439583,5964.77
2,-0.0113806,4817,380.55706095695496,0.014056801796,444135,885.72,0.0151254,8262.27984825,0.0,-0.420213,5634.88
2,-0.0102744,4819,382.31892585754395,-0.00311923027039,446135,885.72,0.00551664,8262.36723016,0.0,-0.411995,5952.08
3,-0.00896332,4822,384.08454394340515,0.276325404644,448385,892.56,0.0112762,8326.13138671,0.0,-0.407794,7303.01
2,-0.00947117,4824,385.8501646518707,0.0190723538399,450385,895.35,0.0138061,8352.16567838,0.0,-0.408219,4897.55
3,-0.00361062,4827,387.58453488349915,0.296823441982,452395,901.41,0.0230564,8408.69521602,0.0,-0.417826,5759.94
2,-0.0141447,4829,389.3189043998718,0.519624054432,454343,900.89,0.0205624,8403.81461277,0.0,-0.438969,4089.66
