loss_pol_surr,loss_kl,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,EpThisIter,loss_ent,TimestepsSoFar,loss_pol_entpen,ev_tdlam_before,TimeElapsed
-0.00210395,0.00272797,830.0,830.0,70.1637,764,2,0.87582,95747,0.0,-0.0172815322876,75.77769112586975
-0.00619309,0.00654898,838.38,838.38,35.386,766,2,0.877123,97520,0.0,0.561947733164,77.37155103683472
-0.00885445,0.00969075,854.1,854.1,66.8434,768,2,0.900141,99520,0.0,0.0721364617348,78.9896924495697
-0.00449612,0.00795862,868.35,868.35,69.6682,770,2,0.898569,101520,0.0,-0.0302195549011,80.58253169059753
-0.00605263,0.00567017,871.48,871.48,69.3073,772,2,0.886515,103520,0.0,-0.000788807868958,82.18438410758972
-0.00683366,0.00733864,880.79,880.79,69.441,774,2,0.889666,105520,0.0,-0.00959634780884,83.7774658203125
-0.0035031,0.00804979,894.19,894.19,100.604,777,3,0.902426,108520,0.0,-0.00340151786804,85.37793707847595
-0.00486714,0.00341189,895.26,895.26,68.2014,779,2,0.916199,110520,0.0,-8.39233398438e-05,86.98730611801147
-0.00363098,0.00434192,895.26,895.26,68.2886,781,2,0.929157,112520,0.0,-0.00243306159973,88.58105063438416
-0.00784144,0.00527981,898.08,898.08,68.3039,783,2,0.939268,114520,0.0,-0.00179207324982,90.19042134284973
-0.00622271,0.00919904,898.08,898.08,68.3235,785,2,0.947569,116520,0.0,-0.00129497051239,91.78416776657104
-0.00926734,0.00569204,890.82,890.82,36.7211,787,2,0.943453,117794,0.0,0.185865461826,93.39353775978088
-0.00612383,0.0041352,892.16,892.16,65.6897,790,3,0.934099,119924,0.0,0.456403672695,94.9950020313263
-0.00864255,0.00804417,894.32,894.32,51.4145,792,2,0.921007,121924,0.0,0.127808094025,96.58889651298523
-0.0044517,0.00439922,900.46,900.46,103.053,795,3,0.919174,124924,0.0,-0.0190305709839,98.19120264053345
-0.00315145,0.00940547,909.53,909.53,68.4715,797,2,0.913641,126924,0.0,0.00297248363495,99.78498387336731
-0.00526088,0.00455768,924.25,924.25,68.6725,799,2,0.915678,128924,0.0,-0.00070583820343,101.39534711837769
-0.00277024,0.00320521,940.75,940.75,68.6232,801,2,0.907461,130924,0.0,0.000437617301941,102.98060393333435
-0.00693835,0.0104959,942.29,942.29,68.6737,803,2,0.898004,132924,0.0,-0.000675439834595,104.5894067287445
-0.0046781,0.00311974,942.29,942.29,68.6145,805,2,0.886062,134924,0.0,0.0004723072052,106.19160985946655
-0.00599997,0.00690644,942.74,942.74,68.324,807,2,0.867437,136924,0.0,0.00149303674698,107.78644585609436
-0.007172,0.00647747,938.32,938.32,36.3342,809,2,0.86404,138482,0.0,0.586580365896,109.38226437568665
-0.00383852,0.00468527,938.32,938.32,69.427,811,2,0.867649,140482,0.0,-0.00183033943176,111.00273823738098
-0.0100139,0.00957709,938.32,938.32,67.4479,813,2,0.874628,142482,0.0,-0.00992894172668,112.59648394584656
-0.00460218,0.00966917,939.73,939.73,68.6384,815,2,0.880016,144482,0.0,0.00171405076981,114.20585370063782
-0.00648485,0.00377523,940.57,940.57,43.055,818,3,0.875235,146809,0.0,0.704720437527,115.79959893226624
-0.00709488,0.00595601,940.57,940.57,67.5859,820,2,0.874222,148809,0.0,0.0028874874115,117.39334416389465
-0.00422961,0.00563205,940.57,940.57,68.9761,822,2,0.86944,150809,0.0,-0.0062221288681,119.00271463394165
-0.0064348,0.0040454,940.57,940.57,67.2284,824,2,0.882975,152809,0.0,0.0254716873169,120.60185837745667
-0.00648591,0.00292791,927.05,927.05,17.3331,828,4,0.906207,155457,0.0,0.686567097902,122.20756959915161
-0.010162,0.0095238,906.2,906.2,49.0019,832,4,0.879757,157372,0.0,0.769939720631,123.81154370307922
-0.0100572,0.00521984,906.2,906.2,71.2226,834,2,0.880336,159372,0.0,0.0297963023186,125.40710997581482
-0.00587247,0.0118717,906.2,906.2,68.2683,836,2,0.875332,161372,0.0,0.00551563501358,127.00957798957825
-0.00344236,0.00349515,913.1,913.1,68.105,838,2,0.903606,163372,0.0,-0.017630815506,128.6208794116974
-0.00553333,0.00763579,913.86,913.86,67.8866,840,2,0.904467,165372,0.0,0.0163171887398,130.22187638282776
-0.00806675,0.00713201,913.86,913.86,61.718,842,2,0.913191,167372,0.0,0.0403065681458,131.81638479232788
-0.00655445,0.00713143,913.86,913.86,66.4249,844,2,0.889941,169372,0.0,0.0037134885788,133.42467379570007
-0.00800652,0.0114255,922.07,922.07,42.0945,846,2,0.889274,171182,0.0,0.498277485371,135.01841759681702
-0.0052536,0.0073388,926.45,926.45,65.875,848,2,0.89262,173182,0.0,0.0829173922539,136.62778759002686
-0.00474609,0.00738627,930.01,930.01,65.3544,850,2,0.893638,175182,0.0,0.0751065015793,138.2215337753296
-0.00722591,0.0113607,930.01,930.01,66.5014,852,2,0.888699,177182,0.0,0.0586696863174,139.8184962272644
-0.00400075,0.00776424,932.67,932.67,75.3859,855,3,0.89328,180182,0.0,0.112541675568,141.41322541236877
-0.00446388,0.00196266,919.91,919.91,48.926,858,3,0.906338,181906,0.0,0.775465145707,143.03074169158936
-0.00479508,0.0164905,912.51,912.51,38.9245,861,3,0.879253,183998,0.0,0.80208735168,144.63242506980896
-0.00278214,0.0214621,912.51,912.51,69.2945,863,2,0.86571,185998,0.0,0.0499225854874,146.2379686832428
-0.00463134,0.0101195,914.78,914.78,54.5658,865,2,0.848888,187998,0.0,0.211641132832,147.83167815208435
-0.00375867,0.00964358,911.97,911.97,37.7685,867,2,0.838792,189717,0.0,0.733731418848,149.44104409217834
-0.00364955,0.00786633,909.72,909.72,66.9877,870,3,0.851507,192492,0.0,0.549404203892,151.04287719726562
-0.00804804,0.0114676,909.72,909.72,57.9803,872,2,0.867492,194492,0.0,0.268753409386,152.6355197429657
-0.00625404,0.00613032,909.72,909.72,69.1274,874,2,0.859842,196492,0.0,0.111730515957,154.23845672607422
-0.00411261,0.0165351,909.72,909.72,67.3391,876,2,0.857658,198492,0.0,0.143023729324,155.84073734283447
-0.00317478,0.00960853,909.72,909.72,66.7018,878,2,0.88067,200492,0.0,0.108744800091,157.43770503997803
-0.00646139,0.00881637,909.72,909.72,67.6484,880,2,0.887634,202492,0.0,0.0870005488396,159.03576254844666
-0.0035759,0.00742943,909.72,909.72,70.1716,882,2,0.903189,204492,0.0,0.058293402195,160.64327192306519
-0.00397302,0.0100435,909.72,909.72,69.7145,884,2,0.911352,206492,0.0,0.0610169768333,162.25264263153076
-0.00448416,0.0114034,909.72,909.72,68.6029,886,2,0.928538,208492,0.0,0.101312160492,163.86201310157776
-0.00549024,0.00777798,916.98,916.98,68.3574,888,2,0.947422,210492,0.0,0.0811037421227,165.4557569026947
-0.00417322,0.00580094,925.68,925.68,69.7807,890,2,0.953129,212492,0.0,0.0546064376831,167.06512904167175
