ev_tdlam_before,EpisodesSoFar,loss_pol_entpen,loss_ent,loss_pol_surr,loss_vf_loss,loss_kl,TimestepsSoFar,EpRewMean,TimeElapsed,EpThisIter,EpLenMean
-0.0135141611099,40,0.0,2.74035,-0.0198221,554.657,0.00858859,2000,-108.026508011,2.030377149581909,40,50.0
0.139141499996,81,0.0,2.64334,-0.0191004,151.724,0.0095409,4050,-103.525076063,3.7733683586120605,41,50.0
0.0969266295433,122,0.0,2.59124,-0.0132376,174.441,0.0064242,6100,-98.6659689907,5.5266501903533936,41,50.0
0.0756874680519,163,0.0,2.52243,-0.0155309,191.798,0.00719434,8150,-92.9535506436,7.28116774559021,41,50.0
0.071678519249,204,0.0,2.46835,-0.0146261,173.895,0.00640347,10200,-87.5974340239,9.03006362915039,41,50.0
0.107737958431,245,0.0,2.39271,-0.0156857,182.189,0.0078762,12250,-83.2880203037,10.804396629333496,41,50.0
0.188529372215,286,0.0,2.32779,-0.01832,145.684,0.00825659,14300,-79.0588876797,12.554973125457764,41,50.0
0.342629492283,327,0.0,2.25608,-0.0178851,114.009,0.00799277,16350,-74.0843806779,14.323379039764404,41,50.0
0.39100331068,368,0.0,2.17531,-0.019399,90.5994,0.00920454,18400,-70.5240164415,16.077542066574097,41,50.0
0.519946604967,409,0.0,2.11368,-0.020207,70.3514,0.00941502,20450,-67.0055707172,17.835207223892212,41,50.0
0.565101623535,450,0.0,2.01949,-0.0219906,55.7276,0.00921895,22500,-62.7184163734,19.56991720199585,41,50.0
0.62201628089,491,0.0,1.94528,-0.021788,43.1758,0.00928155,24550,-59.9333078535,21.320107221603394,41,50.0
0.520260959864,532,0.0,1.88433,-0.0188928,50.6369,0.00787778,26600,-57.1776944955,23.07022190093994,41,50.0
0.578553110361,573,0.0,1.78905,-0.0240421,40.6638,0.0103879,28650,-54.8100942617,24.835261821746826,41,50.0
0.597489029169,614,0.0,1.72991,-0.0181778,32.4913,0.00656154,30700,-51.1977049572,26.57774519920349,41,50.0
0.657655209303,655,0.0,1.65869,-0.0235231,24.9382,0.00930289,32750,-49.0348614619,28.32786273956299,41,50.0
0.564454764128,696,0.0,1.6154,-0.0185457,28.5329,0.00827638,34800,-46.3563302514,30.09266424179077,41,50.0
0.580207139254,737,0.0,1.55469,-0.0185676,30.0192,0.0079134,36850,-44.8912029107,31.835387706756592,41,50.0
0.590331196785,778,0.0,1.48144,-0.0215876,25.3263,0.00870187,38900,-43.0092745484,33.585485219955444,41,50.0
0.623696118593,819,0.0,1.41863,-0.019303,19.0968,0.0069192,40950,-41.1453731165,35.39833211898804,41,50.0
0.601728707552,860,0.0,1.34655,-0.0223332,21.5048,0.00864291,43000,-38.9268801587,37.1484112739563,41,50.0
0.648545771837,901,0.0,1.27888,-0.0231982,18.111,0.00894078,45050,-37.0879435702,38.900736808776855,41,50.0
0.693729192019,942,0.0,1.20679,-0.0198919,13.3408,0.00870243,47100,-35.4158575706,40.638882875442505,41,50.0
0.644781261683,983,0.0,1.15801,-0.0233657,12.8684,0.00884982,49150,-33.4937041835,42.40562057495117,41,50.0
0.676971703768,1024,0.0,1.10981,-0.0210987,10.263,0.00800672,51200,-32.5395203061,44.156442642211914,41,50.0
0.674943774939,1064,0.0,1.05029,-0.0221198,10.7421,0.00719789,53200,-32.2163696139,45.909751415252686,40,50.0
0.651760071516,1105,0.0,1.0083,-0.0209396,11.0405,0.00784341,55250,-31.2084645766,47.66754460334778,41,50.0
0.636144399643,1146,0.0,0.954804,-0.0252497,9.37911,0.00877797,57300,-30.1082580046,49.422385454177856,41,50.0
0.590356528759,1187,0.0,0.914852,-0.0203704,9.52693,0.00723382,59350,-28.0548687128,51.182281732559204,41,50.0
0.633723586798,1228,0.0,0.846633,-0.0262219,8.398,0.00858155,61400,-26.9191091856,52.921669244766235,41,50.0
0.693802863359,1269,0.0,0.799367,-0.0225059,6.70279,0.00713292,63450,-25.9153152493,54.67910861968994,41,50.0
0.682324290276,1310,0.0,0.74309,-0.0247174,6.81054,0.0109357,65500,-25.8395449007,56.46044588088989,41,50.0
0.737926393747,1351,0.0,0.70104,-0.0238091,5.09573,0.0069869,67550,-24.9598994069,58.21170353889465,41,50.0
0.737351298332,1392,0.0,0.645372,-0.0256819,4.01752,0.00929798,69600,-23.911694922,59.96286344528198,41,50.0
0.687412828207,1433,0.0,0.546455,-0.0322253,4.51124,0.0121739,71650,-23.5734354891,61.71091604232788,41,50.0
0.610923171043,1474,0.0,0.491035,-0.0259892,5.49088,0.0109691,73700,-22.7164749367,63.46426033973694,41,50.0
0.72047033906,1515,0.0,0.429777,-0.0229801,3.60845,0.0117553,75750,-22.3386626317,65.23283576965332,41,50.0
0.734277784824,1556,0.0,0.373566,-0.0278733,3.26314,0.0105499,77800,-21.7950554154,67.00022888183594,41,50.0
0.694859325886,1597,0.0,0.332465,-0.0242023,3.16477,0.0083121,79850,-21.3314303959,68.74562430381775,41,50.0
0.7684584409,1638,0.0,0.271421,-0.0227307,3.11106,0.00852759,81900,-21.2443772083,70.51542949676514,41,50.0
0.720910787582,1679,0.0,0.225474,-0.0259891,3.12598,0.0111698,83950,-20.6931675801,72.24993586540222,41,50.0
0.737170666456,1720,0.0,0.172353,-0.0286734,2.59617,0.011335,86000,-20.7217706126,74.01569771766663,41,50.0
0.769280046225,1761,0.0,0.124324,-0.0314035,2.29938,0.0114198,88050,-20.0891009143,75.77449679374695,41,50.0
0.754973530769,1802,0.0,0.0935495,-0.0236033,2.17555,0.00887117,90100,-19.0462654547,77.52578330039978,41,50.0
