EpLenMean,loss_kl,loss_vf_loss,loss_pol_entpen,EpThisIter,EpRewMean,TimestepsSoFar,loss_pol_surr,loss_ent,ev_tdlam_before,TimeElapsed,EpisodesSoFar
817.32,0.00645109,68.0163,0.0,2,817.32,95786,-0.00563669,1.02193,0.0106549263,75.67809557914734,853
835.1,0.0161192,67.9456,0.0,2,835.1,97786,-0.00649651,1.04638,0.0122027993202,77.28151106834412,855
852.91,0.00853239,66.9308,0.0,2,852.91,99786,-0.00375059,1.05926,0.0190306305885,78.87512516975403,857
869.63,0.0058996,67.5771,0.0,2,869.63,101786,-0.00402588,1.07644,0.0270802378654,80.4844958782196,859
885.05,0.00934448,67.5478,0.0,2,885.05,103786,-0.00889465,1.05165,0.0327010154724,82.07899618148804,861
897.14,0.00791917,69.2575,0.0,2,897.14,105786,-0.00509327,1.05503,-0.00819003582001,83.68713545799255,863
915.02,0.0186548,68.7372,0.0,2,915.02,107786,-0.00924119,1.07694,0.0135024785995,85.28077459335327,865
926.24,0.0069739,69.9705,0.0,3,926.24,109897,-0.00854345,1.07623,0.23469299078,86.89082908630371,868
936.53,0.00478092,39.4323,0.0,2,936.53,111842,-0.00879634,1.07048,0.378554344177,88.48692035675049,870
939.76,0.00517535,66.5206,0.0,2,939.76,113842,-0.00456095,1.06016,0.0636854767799,90.07939624786377,872
943.41,0.00561851,66.3279,0.0,2,943.41,115842,-0.00494556,1.05567,0.0684762597084,91.6876585483551,874
943.41,0.00860844,64.56,0.0,2,943.41,117842,-0.00515071,1.06272,0.102809548378,93.28204441070557,876
945.75,0.00376227,93.3126,0.0,3,945.75,120660,-0.00806305,1.04866,0.0322449803352,94.89099287986755,879
945.75,0.00626864,68.0039,0.0,2,945.75,122660,-0.0069798,1.04836,0.0162516832352,96.48473024368286,881
931.17,0.00448467,64.2854,0.0,4,931.17,124767,-0.00885669,1.0403,0.43924176693,98.10462379455566,885
931.17,0.00567312,69.1623,0.0,2,931.17,126767,-0.00377728,1.04993,-0.0276960134506,99.68831539154053,887
931.17,0.00603578,64.0019,0.0,2,931.17,128767,-0.00579947,1.05162,0.0431368947029,101.29661917686462,889
931.17,0.00556091,65.9907,0.0,2,931.17,130767,-0.00819842,1.04168,0.0577484369278,102.89071273803711,891
931.17,0.0049105,69.8689,0.0,2,931.17,132767,-0.00724568,1.04077,-0.0238395929337,104.4844331741333,893
931.17,0.00688443,64.8961,0.0,2,931.17,134767,-0.0074946,1.06616,0.0728276371956,106.0936188697815,895
931.6,0.00781582,60.9524,0.0,2,931.6,136767,-0.00774801,1.04765,0.0613822340965,107.6872935295105,897
931.6,0.00620547,69.3887,0.0,2,931.6,138767,-0.00522671,1.05866,-0.00910699367523,109.2964448928833,899
929.48,0.00503311,35.9012,0.0,2,929.48,140555,-0.0087519,1.06436,0.0574736595154,110.8914475440979,901
929.48,0.00575417,69.308,0.0,2,929.48,142555,-0.0060521,1.05136,0.00471425056458,112.50018429756165,903
929.48,0.00622841,67.2048,0.0,2,929.48,144555,-0.00686148,1.05621,0.0406410694122,114.10890293121338,905
927.32,0.00592816,99.6269,0.0,3,927.32,146970,-0.00690266,1.05557,3.15308570862e-05,115.70375967025757,908
927.32,0.00945251,68.3105,0.0,2,927.32,148970,-0.0067436,1.06028,-0.0260130167007,117.31283116340637,910
929.9,0.00655998,96.1742,0.0,3,929.9,151438,-0.00918257,1.06446,0.00380909442902,118.90593814849854,913
925.91,0.00650799,59.6685,0.0,2,925.91,153039,-0.00625073,1.05337,0.00671601295471,120.51588463783264,915
925.91,0.00322656,67.0204,0.0,2,925.91,155039,-0.00585851,1.0475,-0.0138360261917,122.11727142333984,917
918.98,0.00600091,90.6772,0.0,3,918.98,157346,-0.00853264,1.02891,0.00707119703293,123.71869039535522,920
