EpThisIter,loss_ent,TimeElapsed,EpRewMean,TimestepsSoFar,loss_kl,ev_tdlam_before,EpLenMean,loss_vf_loss,EpisodesSoFar,loss_pol_entpen,loss_pol_surr
93,24.0909,3.533980131149292,10.3302677295,2037,0.0288344,-0.0217185020447,21.9032258065,0.925344,93,0.0,-0.103171
90,24.1147,6.908647775650024,10.5629198881,4081,0.0290074,0.659383773804,22.47,0.667419,183,0.0,-0.114768
90,24.0933,10.236763954162598,10.8536224127,6133,0.0271392,0.581708997488,22.95,0.771092,273,0.0,-0.0915153
79,24.1011,13.518569231033325,11.6971700021,8169,0.0349701,0.720536231995,24.87,1.07251,352,0.0,-0.122355
68,24.0881,16.823105812072754,13.6433259437,10222,0.0399875,0.767045333982,29.13,1.02068,420,0.0,-0.126838
61,23.9991,20.142861366271973,15.0284247332,12276,0.0354738,0.780178040266,31.95,0.728689,481,0.0,-0.124043
60,23.9425,23.47097611427307,16.2853728021,14326,0.036124,0.821467041969,34.45,0.895005,541,0.0,-0.130767
54,23.9467,26.830343008041382,17.1090057767,16374,0.0363077,0.825853317976,35.79,0.936959,595,0.0,-0.135862
54,23.8779,30.191338300704956,18.0752584153,18432,0.0365463,0.812814682722,37.76,1.01212,649,0.0,-0.130324
48,23.806,33.580883741378784,19.0237459432,20428,0.037583,0.813348382711,39.77,0.826475,697,0.0,-0.137185
45,23.7442,36.95764780044556,21.0703963896,22505,0.03901,0.767593592405,43.6,0.854005,742,0.0,-0.135527
39,23.6883,40.36168074607849,23.3017308953,24537,0.0394951,0.851861059666,47.88,0.605178,781,0.0,-0.136993
38,23.6178,43.75229549407959,25.0035209683,26600,0.040572,0.858752474189,51.39,0.744045,819,0.0,-0.141398
38,23.582,47.15630078315735,26.3194970282,28669,0.0393589,0.869194597006,53.77,0.864681,857,0.0,-0.136213
35,23.5353,50.581239223480225,27.3858281467,30682,0.0413616,0.870091438293,55.91,0.74224,892,0.0,-0.140455
33,23.4791,53.97086000442505,28.600573872,32701,0.0446719,0.890407189727,58.27,0.577965,925,0.0,-0.140861
32,23.3977,57.39272665977478,30.0049899774,34799,0.0425938,0.906875327229,61.3,0.562353,957,0.0,-0.138688
33,23.3685,60.798964977264404,30.825708466,36864,0.0444232,0.900877736509,62.87,0.429413,990,0.0,-0.136664
30,23.3106,64.2052047252655,31.6688588811,38851,0.0494327,0.920670956373,64.36,0.605685,1020,0.0,-0.142548
34,23.2476,67.61156225204468,31.3064422859,40924,0.0479183,0.909005649388,63.33,0.460992,1054,0.0,-0.141578
29,23.2252,71.04905343055725,32.2415279097,42928,0.0452625,0.922664828598,65.05,0.399842,1083,0.0,-0.13958
30,23.2034,74.48774313926697,33.2966023707,45014,0.0456982,0.922917537391,66.97,0.324051,1113,0.0,-0.139006
31,23.1332,77.9242422580719,33.5903468557,47080,0.0441242,0.920135132968,67.75,0.51827,1144,0.0,-0.139484
31,23.0635,81.34610891342163,33.179001022,49131,0.0448831,0.9201843068,67.17,0.599958,1175,0.0,-0.132892
30,22.985,84.78366613388062,32.901932121,51147,0.0535375,0.928533993661,66.56,0.619969,1205,0.0,-0.139783
