loss_kl,EpThisIter,EpLenMean,loss_pol_surr,loss_ent,loss_vf_loss,loss_pol_entpen,ev_tdlam_before,EpRewMean,TimestepsSoFar,TimeElapsed,EpisodesSoFar
0.01221,2,1000.0,-0.0227869,2.81318,6.37361,0.0,0.0213527679443,-2.96605504922,2000,1.965503215789795,2
0.0137613,2,1000.0,-0.0257835,2.79097,11.0162,0.0,0.181619405746,1.46909161819,4000,3.669276714324951,4
0.0176125,2,1000.0,-0.0254652,2.73829,6.02601,0.0,0.302058875561,5.2661236724,6000,5.34181022644043,6
0.0097705,2,1000.0,-0.0149106,2.70665,1.22828,0.0,0.533765912056,10.5169194033,8000,7.043445110321045,8
0.00883039,2,1000.0,-0.0152324,2.67126,0.850188,0.0,0.532829731703,12.4335987315,10000,8.746765375137329,10
0.00922068,2,1000.0,-0.0145386,2.64929,0.491786,0.0,0.740708559752,13.3087484153,12000,10.49635362625122,12
0.00459693,2,1000.0,-0.0124081,2.62259,0.36222,0.0,0.848237171769,14.4384548635,14000,12.23074221611023,14
0.0109823,2,1000.0,-0.015068,2.60396,0.537737,0.0,0.794370383024,15.7326345304,16000,13.949835777282715,16
0.00373392,2,1000.0,-0.0133954,2.57963,0.486915,0.0,0.842149779201,17.2029658194,18000,15.652758121490479,18
0.0067751,2,1000.0,-0.0172773,2.54031,0.263581,0.0,0.89180033654,18.5444039978,20000,17.356140851974487,20
0.0099629,2,1000.0,-0.0121332,2.51949,0.175903,0.0,0.863839536905,19.4464284742,22000,19.097917795181274,22
0.00928641,2,1000.0,-0.021265,2.4908,0.268589,0.0,0.94363662228,19.9831718558,24000,20.82519769668579,24
0.00698586,2,1000.0,-0.016135,2.47215,0.125171,0.0,0.965400777757,20.6770343349,26000,22.54360270500183,26
0.00805393,2,1000.0,-0.0165189,2.43826,0.124222,0.0,0.963256534189,21.3591736751,28000,24.262063026428223,28
0.0111613,2,1000.0,-0.0157462,2.40186,0.083978,0.0,0.982383621857,22.2087303221,30000,25.996419429779053,30
0.00634022,2,1000.0,-0.0130961,2.36118,0.0642942,0.0,0.959015872329,22.8826344961,32000,27.714937686920166,32
0.00723262,2,1000.0,-0.0148618,2.32333,0.0799185,0.0,0.978788940236,23.4649644607,34000,29.434396505355835,34
0.00558727,2,1000.0,-0.0162221,2.28935,0.0403305,0.0,0.983981383964,23.8573885143,36000,31.13678550720215,36
0.0160153,2,1000.0,-0.0208117,2.2594,0.0943832,0.0,0.981960946694,24.4082926362,38000,32.87298512458801,38
0.00869419,2,1000.0,-0.016009,2.2425,0.0430779,0.0,0.98872459773,24.9000639623,40000,34.59041380882263,40
0.00673641,3,1000.0,-0.0127586,2.20037,0.0692095,0.0,0.986750859767,25.6084918113,43000,36.309144258499146,43
0.00556185,2,1000.0,-0.0142169,2.21452,0.0240847,0.0,0.992376684677,25.9480450497,45000,38.01283931732178,45
0.0125261,2,1000.0,-0.0150615,2.18001,0.0282442,0.0,0.993820620701,26.2553292004,47000,39.730785846710205,47
0.0037214,2,1000.0,-0.01695,2.18066,0.0472045,0.0,0.992088177241,26.5433570146,49000,41.449469327926636,49
0.0044496,2,1000.0,-0.0151012,2.16086,0.0506631,0.0,0.98935094662,26.8740376341,51000,43.16810393333435,51
0.00757779,2,1000.0,-0.0170619,2.15051,0.0675106,0.0,0.978029811755,27.1232892087,53000,44.871806383132935,53
0.00776162,2,1000.0,-0.0176202,2.12092,0.0257394,0.0,0.991272381507,27.2111244898,55000,46.6063277721405,55
0.00858099,2,1000.0,-0.0174883,2.08401,0.0238048,0.0,0.99110834673,27.4663806839,57000,48.32493305206299,57
0.0086767,2,1000.0,-0.015262,2.05914,0.0351514,0.0,0.993042740505,27.6560920595,59000,50.044289350509644,59
0.010418,2,1000.0,-0.0188802,2.05219,0.0301621,0.0,0.994120624848,27.8434947785,61000,51.762455463409424,61
0.00495008,2,1000.0,-0.0125757,2.01936,0.0230904,0.0,0.996271796059,28.1045735739,63000,53.481902837753296,63
0.00701186,2,1000.0,-0.0150314,1.98812,0.0163387,0.0,0.995240496006,28.2751944141,65000,55.21501159667969,65
0.0106462,2,1000.0,-0.0180058,1.95379,0.0463774,0.0,0.989931705408,28.5604499331,67000,56.95017719268799,67
0.0128328,2,1000.0,-0.0116727,1.93313,0.0262457,0.0,0.986595058814,28.8081481956,69000,58.68366003036499,69
0.00643447,2,1000.0,-0.0149452,1.9044,0.045515,0.0,0.992774225306,28.961858825,71000,60.402710914611816,71
0.00888345,2,1000.0,-0.0158016,1.84671,0.0235307,0.0,0.995240377262,29.2231511351,73000,62.13709473609924,73
0.00411826,2,1000.0,-0.0126168,1.83092,0.123494,0.0,0.935713306069,29.0033189979,75000,63.855570554733276,75
0.00492281,2,1000.0,-0.0123352,1.80971,0.0259156,0.0,0.97737563774,29.0935102764,77000,65.60579228401184,77
0.00490284,2,1000.0,-0.0113311,1.79533,0.0189332,0.0,0.995373394806,29.3245953121,79000,67.32500863075256,79
0.0102389,2,1000.0,-0.0153255,1.78754,0.0174444,0.0,0.995368164498,29.4250658897,81000,69.05909299850464,81
0.0103742,2,1000.0,-0.0182168,1.74779,0.0223091,0.0,0.995034951251,29.621645616,83000,70.76711940765381,83
0.0162018,3,1000.0,-0.0182705,1.72651,0.0212151,0.0,0.996962044388,29.9418383572,86000,72.4972608089447,86
0.00531921,2,1000.0,-0.011313,1.71189,0.018382,0.0,0.99755059462,30.175921927,88000,74.27753400802612,88
0.00659588,2,1000.0,-0.0142686,1.70132,0.0164249,0.0,0.997358715627,30.4013507605,90000,76.01098418235779,90
0.00901686,2,1000.0,-0.0185993,1.70744,0.0199607,0.0,0.996539608808,30.5903070642,92000,77.73079538345337,92
0.00551591,2,1000.0,-0.0122276,1.71207,0.0162411,0.0,0.995479561854,30.7458376896,94000,79.45497560501099,94
0.0061188,2,1000.0,-0.0173537,1.74381,0.0192573,0.0,0.995588801336,30.9522638044,96000,81.19971799850464,96
0.00957039,2,1000.0,-0.0163388,1.7712,0.0154914,0.0,0.995086467825,31.1443922731,98000,82.91827154159546,98
0.00847923,2,1000.0,-0.0220318,1.76415,0.0316207,0.0,0.980563528836,31.1171544832,100000,84.6369059085846,100
0.0106126,2,1000.0,-0.00910364,1.75747,0.0202373,0.0,0.987312534824,31.7719142382,102000,86.37205576896667,102
0.00700316,2,1000.0,-0.0158922,1.75,0.024862,0.0,0.991257200018,32.4373944771,104000,88.10563516616821,104
0.00399231,2,1000.0,-0.0130525,1.74169,0.0217898,0.0,0.996091846377,32.9629591594,106000,89.84056401252747,106
0.008777,2,1000.0,-0.0229804,1.71978,0.0179672,0.0,0.996152195148,33.2517936474,108000,91.57421922683716,108
