ev_tdlam_before,EpisodesSoFar,loss_vf_loss,EpLenMean,loss_pol_surr,EpRewMean,loss_ent,EpThisIter,loss_pol_entpen,TimestepsSoFar,TimeElapsed,loss_kl
0.0121046900749,811,61.6235,829.25,-0.00894797,829.25,0.919571,2,0.0,95771,75.64628386497498,0.00867534
-0.0179038047791,813,68.4492,841.9,-0.00555093,841.9,0.931614,2,0.0,97771,77.24098420143127,0.00783871
0.00160801410675,816,94.778,859.02,-0.0078688,859.02,0.9301,3,0.0,99913,78.84656882286072,0.00754445
0.0867359638214,818,60.7559,875.34,-0.00896826,875.34,0.926823,2,0.0,101913,80.44429087638855,0.0057517
0.0528558492661,820,68.3664,884.05,-0.00642633,884.05,0.916811,2,0.0,103913,82.04957938194275,0.00635587
-9.31024551392e-05,822,67.7316,901.76,-0.00501951,901.76,0.939989,2,0.0,105913,83.6433835029602,0.0042476
-0.0007643699646,825,96.1757,902.5,-0.00691207,902.5,0.94202,3,0.0,108443,85.24671173095703,0.00674822
-0.0234785079956,827,67.0276,909.95,-0.00361653,909.95,0.932064,2,0.0,110443,86.83215498924255,0.00312489
0.00440239906311,829,64.9421,905.71,-0.0075311,905.71,0.933834,2,0.0,112019,88.43301153182983,0.00604982
-0.0190479755402,831,67.5944,911.38,-0.00531494,911.38,0.921281,2,0.0,114019,90.04257655143738,0.00758598
0.00571125745773,833,59.7683,911.38,-0.0056622,911.38,0.910229,2,0.0,116019,91.62934827804565,0.00434237
-0.0471765995026,835,68.1976,913.38,-0.00758303,913.38,0.919161,2,0.0,118019,93.23899435997009,0.0146712
0.109376132488,838,71.1687,906.91,-0.00632042,906.91,0.929985,3,0.0,120372,94.83603239059448,0.00433771
0.0273004174232,840,61.939,906.91,-0.00420304,906.91,0.918747,2,0.0,122372,96.44110655784607,0.00471865
0.664347976446,847,19.9128,864.8,-0.011171,864.8,0.931377,7,0.0,124674,98.03566145896912,0.00786548
0.671334952116,850,51.0438,857.08,-0.0154453,857.08,0.937888,3,0.0,126553,99.64371705055237,0.00968801
-0.00730729103088,852,70.2203,857.08,-0.00371526,857.08,0.928892,2,0.0,128553,101.23903918266296,0.00812336
-0.000410914421082,854,69.5428,857.25,-0.00513548,857.25,0.933443,2,0.0,130553,102.84664034843445,0.00745977
-0.0154830217361,856,69.4512,861.47,-0.00362752,861.47,0.936512,2,0.0,132553,104.44038510322571,0.00508368
0.00452035665512,859,97.8948,856.84,-0.00503356,856.84,0.931405,3,0.0,135090,106.03413152694702,0.00413584
0.00552755594254,861,63.8729,856.84,-0.00775581,856.84,0.910173,2,0.0,137090,107.64350152015686,0.00602481
0.0373240709305,863,60.1885,861.85,-0.0109028,861.85,0.905968,2,0.0,138608,109.23724675178528,0.00738788
0.00184577703476,865,66.8474,861.85,-0.006992,861.85,0.927922,2,0.0,140608,110.84759855270386,0.00547691
0.0847898721695,867,43.2871,871.48,-0.006326,871.48,0.950348,2,0.0,142608,112.56189060211182,0.00532682
0.0962298512459,870,94.4079,873.52,-0.00357282,873.52,0.93932,3,0.0,144853,114.17055606842041,0.00794766
0.241595983505,873,70.0478,865.9,-0.00678966,865.9,0.92869,3,0.0,147091,115.76975584030151,0.0044874
0.0691258311272,875,65.2054,865.9,-0.00700978,865.9,0.932455,2,0.0,149091,117.37061715126038,0.00747043
-0.0257489681244,878,96.7243,857.14,-0.0101636,857.14,0.930681,3,0.0,151215,118.96538615226746,0.00894061
-0.0437961816788,880,68.0411,857.14,-0.0052177,857.14,0.904861,2,0.0,153215,120.5662100315094,0.0052156
0.00800603628159,882,63.338,856.12,-0.00602226,856.12,0.91122,2,0.0,155113,122.1753396987915,0.00522729
0.00758725404739,884,65.7568,864.35,-0.00710341,864.35,0.936728,2,0.0,157113,123.76911926269531,0.01171
