loss_vf_loss,EpRewMean,ev_tdlam_before,loss_pol_entpen,loss_pol_surr,TimeElapsed,loss_ent,loss_kl,EpThisIter,EpisodesSoFar,TimestepsSoFar,EpLenMean
74.2575,515.639209443,0.970881402493,0.0,-0.0226247,77.8517804145813,3.81254,0.00818342,11,791,69561,172.3
73.1648,529.073623148,0.968464899808,0.0,-0.0244264,80.27489733695984,3.7775,0.00903743,11,802,71607,174.87
66.221,533.850550269,0.961264282465,0.0,-0.0215684,82.61715030670166,3.78693,0.010129,12,814,73689,175.13
60.0661,543.698829691,0.974466986954,0.0,-0.0247148,84.89910221099854,3.72518,0.011506,11,825,75690,176.82
53.2318,556.364974417,0.972285518423,0.0,-0.0241243,87.27374410629272,3.70644,0.00992663,11,836,77797,179.89
41.3377,566.169516431,0.984011938795,0.0,-0.024564,89.71268391609192,3.72461,0.00747138,10,846,79707,181.94
35.0526,577.144560672,0.983551042154,0.0,-0.0260647,92.15148973464966,3.76642,0.0121968,11,857,81767,184.29
34.9969,583.071460536,0.984864502214,0.0,-0.0236761,94.63424921035767,3.72634,0.010796,11,868,83787,185.11
31.4472,577.163878014,0.982633758336,0.0,-0.0260153,97.0397596359253,3.70003,0.0104065,12,880,85866,183.13
44.8173,577.296297469,0.979681523517,0.0,-0.0269589,99.46994876861572,3.67142,0.0111259,12,892,88064,182.96
18.9024,579.086632987,0.989894600585,0.0,-0.029617,101.98827362060547,3.65911,0.0108512,10,902,89931,183.24
15.2765,586.245973441,0.992746887263,0.0,-0.024107,104.52442860603333,3.63559,0.00893328,12,914,92157,184.68
16.004,585.860883725,0.988368015736,0.0,-0.0251866,107.10172438621521,3.60574,0.0110917,11,925,94141,184.51
19.7386,580.048836139,0.987290803343,0.0,-0.0286667,109.58586049079895,3.56836,0.0129898,12,937,96229,182.32
9.69573,581.586185553,0.995779332239,0.0,-0.0258151,111.85145831108093,3.55323,0.0106576,10,947,98129,182.16
19.7161,584.342783494,0.987135832198,0.0,-0.0313431,113.9932508468628,3.55294,0.0126867,11,958,100216,182.5
13.3337,587.820837232,0.99436988309,0.0,-0.0238408,116.14980220794678,3.53782,0.0106756,11,969,102276,182.93
57.0628,594.418599616,0.967238098383,0.0,-0.0235528,118.28905367851257,3.55766,0.0118165,11,980,104278,184.12
16.1117,594.693847352,0.992055444978,0.0,-0.025336,120.38263487815857,3.55347,0.0125336,12,992,106420,183.56
17.2331,595.699793853,0.993178285658,0.0,-0.0211208,122.49208045005798,3.56167,0.00915064,11,1003,108453,183.34
14.0399,597.403858721,0.995065568015,0.0,-0.0304121,124.62604904174805,3.53986,0.0110541,11,1014,110503,183.46
273.771,594.836259695,0.9269214347,0.0,-0.0185781,126.77358412742615,3.56093,0.0131963,12,1026,112540,182.34
28.2145,595.283446447,0.985350375995,0.0,-0.0280034,128.9332573413849,3.57569,0.0111602,12,1038,114656,182.28
16.7958,593.638183282,0.991895801388,0.0,-0.0243543,131.04674243927002,3.55599,0.00964146,11,1049,116675,181.69
28.7446,588.630399497,0.990281496197,0.0,-0.0227623,133.13440108299255,3.53879,0.0100715,11,1060,118634,180.28
30.3832,589.869249887,0.98853793554,0.0,-0.0275688,135.28973364830017,3.52573,0.0121598,12,1072,120814,180.58
34.3371,593.171642618,0.986779706553,0.0,-0.0280807,137.422283411026,3.52622,0.012271,10,1082,122801,181.68
29.933,595.823034326,0.983782889321,0.0,-0.0262272,139.58045482635498,3.50848,0.00968102,11,1093,124874,182.63
23.0545,597.99398746,0.98797259666,0.0,-0.0268497,141.66390013694763,3.48823,0.00966604,10,1103,126792,183.39
18.8078,608.756559302,0.989462350495,0.0,-0.025951,143.78934502601624,3.49304,0.0100371,10,1113,128981,186.63
15.1234,616.203544893,0.993755946867,0.0,-0.0314373,145.9771637916565,3.5112,0.0113887,10,1123,130995,188.9
19.3638,624.60473627,0.9915237315,0.0,-0.0264851,148.13680505752563,3.53591,0.00953406,11,1134,133070,191.25
23.4016,627.101176872,0.990976007655,0.0,-0.0292239,150.33883333206177,3.50962,0.0100589,10,1144,135008,192.36
20.7062,632.893187563,0.991348345764,0.0,-0.0272619,152.4694344997406,3.45733,0.011783,11,1155,137163,194.57
35.9973,638.810820161,0.986867987551,0.0,-0.0253151,154.68834161758423,3.43993,0.0110749,10,1165,139177,196.68
16.9797,646.632561782,0.991108081304,0.0,-0.0252451,156.92996954917908,3.42977,0.00880012,10,1175,141253,198.61
19.1992,649.444878769,0.991657512262,0.0,-0.0331584,159.25823283195496,3.39772,0.0138611,10,1185,143308,199.77
24.2735,652.230144659,0.989564104006,0.0,-0.0303346,161.57756876945496,3.37503,0.0122417,9,1194,145198,201.21
17.9945,659.588185773,0.992818185594,0.0,-0.0276384,163.86091876029968,3.32111,0.0108245,10,1204,147408,203.75
18.8204,654.989440993,0.991704199463,0.0,-0.0265513,166.1798963546753,3.31269,0.00962352,9,1213,149271,202.9
12.9797,667.510862116,0.992181128822,0.0,-0.0314288,168.51630234718323,3.28547,0.0128523,9,1222,151442,206.37
22.7492,679.362026977,0.991090683267,0.0,-0.0317226,170.98431611061096,3.25118,0.00928366,9,1231,153518,210.12
17.6486,693.782391383,0.992238681298,0.0,-0.0296021,173.51023173332214,3.2172,0.0122014,8,1239,155437,214.14
19.8136,707.53473509,0.990789123811,0.0,-0.0265969,176.03096771240234,3.20955,0.0139391,9,1248,157572,217.82
22.2743,719.344793227,0.990873512812,0.0,-0.0282227,178.5710997581482,3.17599,0.0126307,8,1256,159480,221.04
15.9853,736.18567062,0.990760768764,0.0,-0.0344006,181.16392254829407,3.1311,0.010117,8,1264,161551,225.74
14.0003,746.930119415,0.994308701251,0.0,-0.0301213,183.60982966423035,3.15658,0.0099796,9,1273,163742,228.87
10.0592,766.890365574,0.994120102841,0.0,-0.0258653,186.1417100429535,3.14086,0.0108471,7,1280,165718,234.46
18.5536,783.221251258,0.992663499434,0.0,-0.0346204,188.61746191978455,3.08807,0.0131535,8,1288,167892,239.23
10.6342,798.530001597,0.995047734585,0.0,-0.0277271,191.08620500564575,3.05785,0.0151599,8,1296,169949,243.1
9.76586,811.564452656,0.9935404188,0.0,-0.0274025,193.6203110218048,3.06113,0.0124873,7,1303,171920,247.0
9.08718,829.190199701,0.996472993866,0.0,-0.0290019,196.17100358009338,3.05568,0.0111973,8,1311,174076,251.59
8.00935,842.047037843,0.996207444463,0.0,-0.032297,198.41388726234436,3.04311,0.0145965,7,1318,175952,255.24
32.6588,847.25370604,0.986055220477,0.0,-0.0304876,200.50768661499023,3.03093,0.0122765,8,1326,178046,256.86
14.0514,863.861758284,0.992229561787,0.0,-0.0211671,202.63324761390686,2.97938,0.0172483,7,1333,180093,261.11
9.16217,881.229301402,0.996958281146,0.0,-0.0308909,204.7740662097931,2.96077,0.0129928,7,1340,182231,265.7
8.2335,888.525012743,0.996367037529,0.0,-0.0326894,206.94834518432617,2.93437,0.0171809,8,1348,184285,267.13
10.6479,898.182641835,0.996583370026,0.0,-0.0293894,209.08641076087952,2.91898,0.00920206,7,1355,186191,269.39
7.16181,907.852737223,0.996670696652,0.0,-0.0324236,211.2042419910431,2.88475,0.01553,7,1362,188212,271.64
12.5199,913.784785306,0.995727025904,0.0,-0.0345119,213.3443684577942,2.88164,0.0104435,8,1370,190301,272.75
6.65086,922.690943455,0.996382976416,0.0,-0.0277064,215.4846248626709,2.88744,0.0141617,7,1377,192349,274.82
8.95379,933.414722525,0.996335634962,0.0,-0.0287348,217.6728937625885,2.8528,0.015473,7,1384,194498,277.57
6.56014,943.593598888,0.996760521783,0.0,-0.0332227,219.82050824165344,2.82963,0.0116321,5,1389,196158,280.14
17.0824,954.716674848,0.986622401513,0.0,-0.0250735,221.96331238746643,2.80489,0.0113066,8,1397,198485,282.76
8.81837,971.275986418,0.996100632241,0.0,-0.0297993,224.0694134235382,2.81302,0.0124685,6,1403,200629,287.09
7.51091,987.680017253,0.997214188334,0.0,-0.0314285,226.22789192199707,2.79044,0.011733,6,1409,202708,291.55
7.67313,1006.41416521,0.996944599086,0.0,-0.035182,228.36821103096008,2.78249,0.0145998,5,1414,204602,296.77
10.1312,1031.75601448,0.996784044662,0.0,-0.0336164,230.4789445400238,2.76587,0.0134242,5,1419,206577,303.89
13.6689,1041.15203582,0.991407125257,0.0,-0.0304114,232.59363293647766,2.7616,0.015921,7,1426,208639,305.93
9.04705,1052.3511333,0.996879906859,0.0,-0.0318904,234.76092982292175,2.74004,0.0185492,6,1432,210788,309.37
76.3015,1085.94673965,0.967220120132,0.0,-0.0237474,236.9546821117401,2.73475,0.0123151,3,1435,212609,319.15
8.81691,1110.06872681,0.99618406361,0.0,-0.0218479,239.16428136825562,2.71136,0.0168006,5,1440,214847,326.16
8.52636,1140.86931743,0.996136761969,0.0,-0.0335579,241.3757073879242,2.71095,0.0142668,4,1444,216803,335.41
8.73601,1158.60947499,0.99612997775,0.0,-0.0308203,243.58722043037415,2.69437,0.0135234,5,1449,218618,340.53
19.9924,1194.85736889,0.984795245342,0.0,-0.0295675,245.90037393569946,2.72343,0.0156577,5,1454,221094,351.75
9.20699,1206.66317169,0.996700196993,0.0,-0.0309444,248.19782400131226,2.7098,0.0155162,5,1459,222931,355.06
142.258,1244.44736867,0.936220437288,0.0,-0.0230767,250.55521273612976,2.71206,0.0135721,4,1463,225139,366.43
13.4818,1262.61557573,0.986827254295,0.0,-0.011965,252.8700442314148,2.68272,0.0215596,6,1469,227216,371.56
10.5198,1284.93619326,0.993594356347,0.0,-0.033586,255.0931921005249,2.65849,0.0149265,4,1473,229033,378.28
7.89322,1300.72285963,0.99619684089,0.0,-0.0293304,257.5237729549408,2.62738,0.0157462,6,1479,231298,382.51
10.0468,1300.15511904,0.993762922939,0.0,-0.0312773,259.95201802253723,2.59932,0.0147871,5,1484,232702,382.04
9.99964,1336.24171291,0.99702969566,0.0,-0.0338702,262.4700937271118,2.55729,0.015611,5,1489,235425,392.67
7.45971,1355.57438665,0.99588303268,0.0,-0.0361902,264.8768391609192,2.52883,0.0161649,4,1493,237191,398.28
5.18769,1393.54947322,0.997862053337,0.0,-0.0290438,267.2891812324524,2.51012,0.015419,4,1497,239400,409.15
6.05879,1406.12731094,0.997814251808,0.0,-0.0307912,269.6796340942383,2.50909,0.0137894,5,1502,241527,412.69
5.36768,1428.66815398,0.970487464219,0.0,-0.0242756,272.22336435317993,2.51432,0.0110199,3,1505,243332,419.63
7.15174,1454.42985958,0.975820627064,0.0,-0.0265011,274.7736396789551,2.4836,0.0194917,4,1509,245416,427.08
14.0445,1459.13156828,0.991956515238,0.0,-0.0331458,277.29005312919617,2.45359,0.0218095,4,1513,247091,428.4
401.424,1508.71889851,0.845748975873,0.0,-0.0168983,279.7817614078522,2.44498,0.0183249,3,1516,249759,443.74
49.4061,1521.23435235,0.9731397219,0.0,-0.0275539,282.25842785835266,2.443,0.014448,4,1520,251699,447.87
5.22332,1559.77256225,0.995171714108,0.0,-0.0272928,284.439608335495,2.42342,0.0135747,4,1524,253871,458.87
398.837,1590.64488485,0.855855628848,0.0,-0.0184937,286.58614444732666,2.41444,0.0224163,3,1527,255776,468.43
411.836,1609.57783968,0.751278832555,0.0,-0.0142822,288.7268726825714,2.38461,0.0307886,2,1529,257081,474.23
328.181,1632.82522586,0.894275166094,0.0,-0.0178494,290.82053112983704,2.38585,0.0148413,4,1533,259870,480.82
10.9498,1640.96388217,0.992056773044,0.0,-0.0256565,293.1022107601166,2.36131,0.0254694,3,1536,261326,483.24
7.58749,1671.44200595,0.996416302398,0.0,-0.0312367,295.49275851249695,2.33884,0.0148226,4,1540,264060,492.13
12.9027,1667.01127565,0.992718442809,0.0,-0.0330545,297.8710300922394,2.34396,0.017648,4,1544,265884,490.81
4.52069,1692.8053706,0.997120213928,0.0,-0.0245061,300.27352952957153,2.31105,0.022534,2,1546,267477,498.37
5.91669,1749.39642539,0.99378365092,0.0,-0.0281729,302.6414031982422,2.30457,0.0170896,3,1549,270114,514.96
16.0645,1754.18283044,0.993009358179,0.0,-0.0281152,305.0480077266693,2.31394,0.0158557,4,1553,272058,515.9
8.39198,1758.53923119,0.996786448872,0.0,-0.0321374,307.1952793598175,2.31149,0.0142176,5,1558,274381,516.83
6.94183,1779.16373686,0.994552311022,0.0,-0.0306204,309.32841396331787,2.31533,0.017754,4,1562,276405,522.66
7.99645,1781.31002336,0.996636687079,0.0,-0.0347897,311.4392685890198,2.30906,0.0239508,3,1565,278177,522.67
3.60915,1802.53307589,0.998094821582,0.0,-0.032386,313.5862717628479,2.28452,0.0222442,3,1568,279804,528.98
434.974,1816.82852813,0.904690034688,0.0,-0.0177466,315.7113983631134,2.29738,0.0150115,5,1573,282371,533.38
5.44026,1830.66593351,0.992126198485,0.0,-0.0316563,317.8229911327362,2.28672,0.0135395,3,1576,284064,537.45
425.778,1875.80666295,0.846531718969,0.0,-0.0108532,319.94826078414917,2.28708,0.0176328,3,1579,286409,551.11
6.25196,1912.77345548,0.993366695475,0.0,-0.0319013,322.09456872940063,2.2597,0.0190672,3,1582,288437,561.92
3.87423,1895.3018109,0.998020847561,0.0,-0.0296618,324.2883710861206,2.27617,0.0186509,5,1587,290615,556.56
169.874,1934.07384479,0.904695734382,0.0,-0.0171975,326.4697389602661,2.27034,0.0153357,3,1590,292513,568.38
432.768,1956.33833039,0.858663082123,0.0,-0.00846973,328.66570377349854,2.28139,0.0455761,3,1593,294724,575.33
32.308,1930.33860818,0.979588804767,0.0,-0.0261367,330.8868808746338,2.26349,0.0136352,4,1597,296224,568.24
12.9676,1936.73470531,0.994402326178,0.0,-0.0381723,333.1989760398865,2.25342,0.0175964,5,1602,298538,570.11
421.747,1931.08698905,0.881087593734,0.0,-0.020496,335.4999966621399,2.24315,0.0171924,4,1606,300833,568.16
5.82833,1940.92623506,0.996240132721,0.0,-0.0349667,337.8587372303009,2.24199,0.0222695,4,1610,302861,570.98
6.12877,1928.8907316,0.996250189375,0.0,-0.0304246,340.0945167541504,2.2682,0.0209518,4,1614,304768,566.77
133.884,1925.81574728,0.940556749701,0.0,-0.0197736,342.3758409023285,2.28518,0.016902,4,1618,307095,565.6
15.9537,1892.86384343,0.989088813774,0.0,-0.0329029,344.7230386734009,2.27743,0.016245,4,1622,308682,555.7
9.49277,1898.55067874,0.992095589638,0.0,-0.023927,347.18051528930664,2.26289,0.0213592,4,1626,311146,556.62
338.654,1881.45491391,0.887542113662,0.0,-0.0159744,349.68204283714294,2.28285,0.015205,4,1630,313206,551.25
5.43078,1882.31848851,0.994702981319,0.0,-0.0343911,352.0620632171631,2.2708,0.0179599,3,1633,315048,551.78
9.06109,1868.0278556,0.994759209454,0.0,-0.036941,354.5274922847748,2.27048,0.017535,4,1637,317034,547.7
268.049,1860.41029944,0.899116009474,0.0,-0.0267979,356.9536716938019,2.27025,0.0137474,4,1641,319183,545.87
11.2904,1861.14745228,0.98891603481,0.0,-0.0313923,359.4771919250488,2.23417,0.015712,4,1645,321248,546.09
157.101,1809.59669082,0.941235367209,0.0,-0.0223212,362.04209327697754,2.23763,0.0161674,4,1649,323230,531.16
17.2881,1809.14568058,0.983903532848,0.0,-0.0279696,364.53187227249146,2.22271,0.0168222,3,1652,324668,531.05
13.0601,1829.83835505,0.99501899071,0.0,-0.0314727,367.00221061706543,2.23651,0.0117915,5,1657,327598,537.37
6.86666,1822.29795114,0.993391296361,0.0,-0.0376469,369.5315616130829,2.22496,0.0155876,4,1661,329418,535.57
4.86024,1821.79918386,0.996346829692,0.0,-0.0316876,371.9143934249878,2.22605,0.0208247,3,1664,330972,535.32
6.7655,1799.64134353,0.997125393944,0.0,-0.0362057,374.07959365844727,2.23703,0.0154414,5,1669,333676,528.72
7.84785,1814.12589533,0.99616664811,0.0,-0.0312689,376.21137142181396,2.22026,0.0172096,4,1673,335692,533.21
13.2676,1831.32240265,0.992473552469,0.0,-0.0316507,378.31442761421204,2.23627,0.018087,2,1675,337219,538.69
373.291,1803.57934009,0.886150732636,0.0,-0.0168768,380.46938920021057,2.23782,0.0235341,4,1679,339480,530.71
5.02234,1795.87835439,0.993722138461,0.0,-0.0337783,382.6174328327179,2.2523,0.018902,3,1682,341290,528.53
332.875,1822.9074824,0.895353496075,0.0,-0.0102686,384.7581684589386,2.26811,0.0219981,4,1686,343918,536.93
7.70562,1838.53390942,0.991761952639,0.0,-0.0329288,386.8359308242798,2.24708,0.0155692,3,1689,346093,541.11
8.42876,1834.44764548,0.992963353172,0.0,-0.0316438,388.96082615852356,2.19085,0.0199211,3,1692,347699,539.75
