loss_pol_entpen,EpRewMean,loss_ent,TimeElapsed,TimestepsSoFar,EpisodesSoFar,loss_kl,EpThisIter,loss_pol_surr,loss_vf_loss,ev_tdlam_before,EpLenMean
0.0,811.36,0.756029,77.39127111434937,96137,845,0.00421453,3,-0.00551499,73.3083,0.454392850399,811.36
0.0,826.96,0.766346,79.03178310394287,98137,847,0.00495961,2,-0.00334529,68.1784,-0.00524473190308,826.96
0.0,838.45,0.765231,80.6561906337738,99482,849,0.00516933,2,-0.00726032,34.425,0.362800657749,838.45
0.0,851.49,0.767717,82.3070604801178,101482,851,0.00423025,2,-0.00231437,61.5651,0.134611368179,851.49
0.0,866.27,0.767914,83.93422961235046,103482,853,0.0108505,2,-0.00391036,69.1405,-0.00725924968719,866.27
0.0,888.09,0.767609,85.57485008239746,106482,856,0.0078438,3,-0.00622908,96.9255,0.00209647417068,888.09
0.0,905.63,0.764233,87.22068929672241,108482,858,0.00345855,2,-0.00390174,70.2632,-0.0499286651611,905.63
0.0,911.03,0.768912,88.84910345077515,110482,860,0.00844797,2,-0.00416863,70.1902,0.00413084030151,911.03
0.0,899.67,0.79594,90.50138831138611,112174,863,0.00753846,3,-0.0176732,9.99685,0.886121742427,899.67
0.0,907.0,0.808617,92.12606596946716,114174,865,0.00454476,2,-0.00887595,67.4153,-0.0123702287674,907.0
0.0,907.0,0.816767,93.76697659492493,116174,867,0.00568334,2,-0.00475943,70.2559,-0.0409188270569,907.0
0.0,907.0,0.824591,95.38346576690674,118174,869,0.00673353,2,-0.00412284,70.1118,-0.00539636611938,907.0
0.0,914.53,0.836262,97.03982925415039,120174,871,0.00885934,2,-0.00567617,69.7571,-0.00460910797119,914.53
0.0,923.53,0.823298,98.67249417304993,122174,873,0.00949351,2,-0.00906333,69.5293,-0.00168812274933,923.53
0.0,932.67,0.812643,100.31232738494873,124174,875,0.00540241,2,-0.00577053,61.9302,0.00353914499283,932.67
0.0,938.51,0.821686,101.95294451713562,126174,877,0.00589842,2,-0.00703669,69.3079,-0.0184414386749,938.51
0.0,938.75,0.822845,103.5935640335083,128174,879,0.00899879,2,-0.00614044,67.2714,0.00280874967575,938.75
0.0,938.75,0.844316,105.21855998039246,130174,881,0.00744096,2,-0.00783848,69.2261,-0.00796544551849,938.75
0.0,948.44,0.852009,106.85935544967651,132174,883,0.00736127,2,-0.00710984,66.945,0.00464648008347,948.44
0.0,948.44,0.837517,108.51122832298279,134174,885,0.00613603,2,-0.00608704,69.1994,-0.00475573539734,948.44
0.0,948.44,0.867464,110.11956143379211,137174,888,0.00463058,3,-0.00646834,79.2871,-0.00145304203033,948.44
0.0,948.44,0.85944,111.77613615989685,139174,890,0.00746745,2,-0.0063383,68.9369,-0.0111194849014,948.44
0.0,948.44,0.839812,113.39941143989563,141174,892,0.00451922,2,-0.00641526,68.6993,-0.0033153295517,948.44
0.0,948.44,0.809833,115.04669857025146,143174,894,0.00586136,2,-0.00545456,67.7459,0.00568860769272,948.44
0.0,953.49,0.805997,116.6716935634613,145174,896,0.00852108,2,-0.00470398,68.8558,-0.00676763057709,953.49
0.0,953.49,0.800533,118.3279378414154,147174,898,0.00481656,2,-0.00387015,68.709,-0.00175034999847,953.49
0.0,953.49,0.814686,119.95389533042908,149174,900,0.00973156,2,-0.00391786,68.749,-0.00145995616913,953.49
0.0,953.49,0.790581,121.59758925437927,151174,902,0.00643209,2,-0.00616334,68.0193,0.00264114141464,953.49
0.0,953.49,0.793154,123.22297811508179,153174,904,0.00348113,2,-0.00379673,68.2242,-0.0188812017441,953.49
0.0,953.49,0.801611,124.86399364471436,155174,906,0.00707894,2,-0.0042371,68.5458,-0.000842332839966,953.49
0.0,953.49,0.815933,126.51172137260437,157174,908,0.0110284,2,-0.00502772,68.59,-0.000875234603882,953.49
0.0,953.49,0.819544,128.14856362342834,159174,910,0.00448985,2,-0.00580855,68.0261,0.00125169754028,953.49
0.0,953.49,0.823238,129.78930354118347,161174,912,0.0083759,2,-0.00400447,68.4829,-0.00358235836029,953.49
0.0,953.49,0.8164,131.40737438201904,163174,914,0.00567271,2,-0.00598122,68.2817,0.00111746788025,953.49
0.0,953.49,0.79811,133.06296181678772,165174,916,0.0118335,2,-0.00940058,68.3869,0.00151973962784,953.49
0.0,953.49,0.776466,134.68768286705017,167174,918,0.0050324,2,-0.00574175,67.9328,0.000236988067627,953.49
0.0,953.49,0.762074,136.3281033039093,169174,920,0.0094268,2,-0.00378549,67.6871,0.00726479291916,953.49
0.0,961.52,0.761449,137.95309829711914,171174,922,0.00642829,2,-0.00730701,68.5949,-0.00238442420959,961.52
0.0,966.61,0.757804,139.60934281349182,173174,924,0.00296243,2,-0.00274955,68.6908,-0.00463795661926,966.61
0.0,973.71,0.749766,141.22721362113953,175174,926,0.00702487,2,-0.00516421,68.5214,0.0015110373497,973.71
