loss_kl,TimeElapsed,loss_ent,EpLenMean,loss_pol_surr,EpisodesSoFar,loss_pol_entpen,EpThisIter,loss_vf_loss,EpRewMean,ev_tdlam_before,TimestepsSoFar
0.01333,80.85976791381836,6.1325,1000.0,-0.0574307,92,0.0,2,33.6696,-313.530096517,0.626967400312,92000
0.0160159,82.65588855743408,6.10249,1000.0,-0.0536735,94,0.0,2,30.2091,-304.81802312,0.43249809742,94000
0.0157161,84.42910933494568,6.08243,1000.0,-0.0547781,96,0.0,2,29.7841,-295.559855342,0.496839642525,96000
0.0145127,86.22609663009644,6.03574,1000.0,-0.0566718,98,0.0,2,43.0113,-287.63183108,0.41263884306,98000
0.0136465,87.9919970035553,5.95773,1000.0,-0.0586114,100,0.0,2,40.0139,-281.006192759,0.653684556484,100000
0.0151436,89.7743411064148,5.91183,1000.0,-0.0588448,102,0.0,2,28.2342,-264.730069575,0.789303645492,102000
0.0148789,91.55582928657532,5.884,1000.0,-0.0593394,104,0.0,2,31.3427,-248.72907526,0.685381740332,104000
0.0177685,93.34620666503906,5.87573,1000.0,-0.0642316,106,0.0,2,38.013,-237.776288654,0.809683799744,106000
0.0147416,95.0960099697113,5.83293,1000.0,-0.0614057,108,0.0,2,34.5486,-228.930484319,0.856231033802,108000
0.0157618,96.89416360855103,5.81303,1000.0,-0.0593602,110,0.0,2,30.2769,-215.990470172,0.789920911193,110000
0.0144405,98.64440321922302,5.79092,1000.0,-0.0585688,112,0.0,2,31.0716,-199.990132607,0.508267849684,112000
0.0144465,100.43340110778809,5.73532,1000.0,-0.0651962,114,0.0,2,22.9414,-189.008970806,0.928658261895,114000
0.0159776,102.19953441619873,5.67907,1000.0,-0.0623202,116,0.0,2,32.6434,-173.432088114,0.399133324623,116000
0.0164068,103.99583268165588,5.65882,1000.0,-0.0613992,118,0.0,2,28.3212,-156.188448287,0.924807786942,118000
0.0149487,105.77735686302185,5.60652,1000.0,-0.0606634,120,0.0,2,35.486,-145.523478776,0.839530959725,120000
0.0163733,107.55959129333496,5.54239,1000.0,-0.0648581,122,0.0,2,21.7234,-133.805827944,0.946881417185,122000
0.0149729,109.33561682701111,5.5149,1000.0,-0.0619638,124,0.0,2,30.0512,-123.241106024,0.941854875535,124000
0.0163724,111.11665463447571,5.46522,1000.0,-0.0652403,126,0.0,2,36.4545,-107.68733529,0.935359597206,126000
0.015373,112.88216781616211,5.40555,1000.0,-0.0660061,129,0.0,3,27.4906,-91.4928507961,0.954053107649,129000
0.018198,114.66212701797485,5.35501,1000.0,-0.059905,131,0.0,2,52.1,-76.0882182183,0.867483317852,131000
0.0174204,116.4511501789093,5.31018,1000.0,-0.0616554,133,0.0,2,66.8992,-56.066362528,0.448839187622,133000
0.016093,118.23491835594177,5.2855,1000.0,-0.0646432,135,0.0,2,33.2928,-46.6369714376,0.956584367901,135000
0.0167755,120.00044274330139,5.24687,1000.0,-0.061868,137,0.0,2,41.2612,-37.4910020932,0.952841252089,137000
0.0156087,121.79836988449097,5.20397,1000.0,-0.0582148,139,0.0,2,46.4546,-18.4188315008,0.305866837502,139000
0.0165714,123.56270742416382,5.15787,1000.0,-0.0630651,141,0.0,2,54.8578,1.05325901362,0.332894444466,141000
0.0178244,125.35138058662415,5.11562,1000.0,-0.0618404,143,0.0,2,53.6661,14.1256480711,0.920626863837,143000
0.0176968,127.12646412849426,5.02161,1000.0,-0.0617873,145,0.0,2,30.7231,19.4793760876,0.909656211734,145000
0.0165271,128.92460417747498,4.98443,1000.0,-0.0615684,147,0.0,2,60.4027,38.0349846746,0.326186358929,147000
0.015186,130.69164371490479,4.96588,1000.0,-0.0642525,149,0.0,2,24.1614,45.9072437188,0.977585250512,149000
0.015245,132.49208903312683,4.90596,1000.0,-0.0597566,151,0.0,2,52.5995,65.406434895,0.23328435421,151000
0.0173761,134.2658338546753,4.81632,1000.0,-0.0624169,153,0.0,2,45.3893,78.567048552,0.969359122217,153000
0.0145239,136.04616379737854,4.78885,1000.0,-0.0601779,155,0.0,2,54.852,93.2718357084,0.961554598063,155000
0.017286,137.81242275238037,4.77785,1000.0,-0.0661119,157,0.0,2,42.4682,105.906038615,0.962307699025,157000
0.0161016,139.6095724105835,4.75458,1000.0,-0.0628488,159,0.0,2,69.785,124.280636254,0.923867873847,159000
0.019889,141.38242888450623,4.68965,1000.0,-0.0616392,161,0.0,2,33.9255,130.892513105,0.979674657807,161000
0.019102,143.1725480556488,4.64112,1000.0,-0.0567656,163,0.0,2,62.3302,154.345578323,0.121399998665,163000
0.0170944,144.93948554992676,4.63563,1000.0,-0.0547683,165,0.0,2,28.9113,167.532184619,0.964429035783,165000
0.02368,146.73669695854187,4.59595,1000.0,-0.0577157,167,0.0,2,42.2038,180.354760697,0.974983852357,167000
0.020655,148.52314639091492,4.50827,1000.0,-0.0603054,169,0.0,2,46.5463,191.715770022,0.809368520975,169000
0.0186423,150.32074880599976,4.48714,1000.0,-0.0542917,172,0.0,3,65.3428,214.270606801,0.961124323308,172000
0.0169437,152.08551716804504,4.45132,1000.0,-0.0503379,174,0.0,2,16.8702,219.314812548,0.971270101145,174000
0.0227553,153.88381361961365,4.41675,1000.0,-0.0563173,176,0.0,2,62.2054,239.581626211,0.85035559535,176000
0.0182524,155.6632194519043,4.38889,1000.0,-0.0509962,178,0.0,2,68.4555,263.115932565,0.114480495453,178000
0.0205352,157.46008849143982,4.35732,1000.0,-0.061393,180,0.0,2,39.7888,274.559162082,0.971976941451,180000
0.0193349,159.2302360534668,4.31526,1000.0,-0.0547412,182,0.0,2,78.0511,297.170103126,0.0260158777237,182000
0.0222258,161.02258372306824,4.26535,1000.0,-0.0575813,184,0.0,2,90.5732,318.263953582,0.277881145477,184000
0.0221854,162.80382823944092,4.24752,1000.0,-0.0543428,186,0.0,2,83.289,337.678088366,0.123056530952,186000
0.0201022,164.60069942474365,4.19473,1000.0,-0.063388,188,0.0,2,40.1365,355.278129548,0.952944267541,188000
0.0175543,166.40962624549866,4.18395,1000.0,-0.0572137,190,0.0,2,89.0765,379.29547606,0.26044511795,190000
0.0234016,168.20724177360535,4.1459,1000.0,-0.0628421,192,0.0,2,101.409,398.855302177,0.886239983141,192000
0.022534,169.99497842788696,4.159,1000.0,-0.0570484,194,0.0,2,100.612,415.142510928,0.326138138771,194000
0.022659,171.79575157165527,4.1246,1000.0,-0.0574272,196,0.0,2,59.79,424.863425059,0.974183140323,196000
0.0204745,173.56325387954712,4.08416,1000.0,-0.0535351,198,0.0,2,102.298,445.565498962,0.196109473705,198000
0.0196719,175.3587212562561,4.04216,1000.0,-0.0572438,200,0.0,2,95.6344,465.98820716,0.945029146969,200000
0.0205146,177.14115071296692,4.01437,1000.0,-0.0531087,202,0.0,2,58.4947,478.691050288,0.952756728977,202000
0.0185688,178.93731307983398,4.00186,1000.0,-0.052077,204,0.0,2,103.975,497.941989365,0.138165235519,204000
0.0178814,180.7186725139618,3.97691,1000.0,-0.0573981,206,0.0,2,67.0865,519.213324176,0.959951937199,206000
0.0240052,182.5197355747223,3.98894,1000.0,-0.0599293,208,0.0,2,69.6508,532.142817867,0.968541603535,208000
0.0220558,184.3108673095703,3.92778,1000.0,-0.0641407,210,0.0,2,72.3549,547.482480499,0.954812351614,210000
0.0211269,186.09250235557556,3.9129,1000.0,-0.049611,212,0.0,2,123.729,566.510954458,0.155430078506,212000
0.0229854,187.87461161613464,3.90368,1000.0,-0.051538,215,0.0,3,141.061,599.369727143,0.18682038784,215000
0.0200067,189.6554355621338,3.85333,1000.0,-0.0594242,217,0.0,2,90.9607,611.27223495,0.961051777005,217000
0.0217039,191.440767288208,3.84991,1000.0,-0.0637882,219,0.0,2,120.873,631.6666177,0.529537290335,219000
0.0236295,193.23796391487122,3.84,1000.0,-0.0526301,221,0.0,2,125.547,650.32350766,0.184138357639,221000
0.0202007,195.0195255279541,3.78987,1000.0,-0.0564415,223,0.0,2,144.939,675.367834694,0.335404574871,223000
0.0172282,196.80401802062988,3.74347,1000.0,-0.0571582,225,0.0,2,140.699,695.871755596,0.193559408188,225000
0.0244509,198.58515763282776,3.67338,1000.0,-0.0566336,227,0.0,2,102.176,710.612187464,0.956255689263,227000
0.0209962,200.37354063987732,3.64291,1000.0,-0.0507803,229,0.0,2,101.079,724.886640707,0.970996299759,229000
0.0241606,202.14855122566223,3.62237,1000.0,-0.0499052,231,0.0,2,135.438,747.982766107,0.0855742692947,231000
0.0204046,203.94642066955566,3.59872,1000.0,-0.0552808,233,0.0,2,109.394,760.203700388,0.937740601599,233000
0.023976,205.7294659614563,3.59554,1000.0,-0.0521113,235,0.0,2,142.461,785.617654575,0.339077115059,235000
0.0203548,207.52400135993958,3.5949,1000.0,-0.0480835,237,0.0,2,111.809,804.7417789,0.942730102688,237000
0.0230653,209.30088448524475,3.59007,1000.0,-0.0517883,239,0.0,2,170.38,821.723818052,0.171683132648,239000
0.0202012,211.08689403533936,3.54987,1000.0,-0.0546527,241,0.0,2,87.5313,826.172442835,0.97386209853,241000
0.0235886,212.86756491661072,3.4961,1000.0,-0.0586068,243,0.0,2,176.395,849.615936248,0.922068729997,243000
0.0227859,214.63243079185486,3.47891,1000.0,-0.0493261,245,0.0,2,93.0081,872.114833235,0.953902456909,245000
0.0209282,216.42180252075195,3.46426,1000.0,-0.0534597,247,0.0,2,192.815,888.869085619,0.87068554759,247000
0.0280731,218.18675637245178,3.46996,1000.0,-0.0515562,249,0.0,2,98.3473,909.681906245,0.928363360465,249000
0.0218496,219.96886658668518,3.42185,1000.0,-0.0503819,251,0.0,2,167.665,924.159861194,0.0862244367599,251000
0.0198485,221.748521566391,3.37872,1000.0,-0.051382,253,0.0,2,144.459,946.699359409,0.956157103181,253000
