ev_tdlam_before,EpThisIter,loss_pol_surr,EpLenMean,loss_ent,loss_pol_entpen,EpisodesSoFar,TimestepsSoFar,EpRewMean,loss_kl,TimeElapsed,loss_vf_loss
-0.00510120391846,40,-0.0274918,50.0,2.72878,0.0,40,2000,-107.054480817,0.0113846,2.0477147102355957,527.963
0.258927941322,41,-0.0224469,50.0,2.64918,0.0,81,4050,-104.54246107,0.00983334,4.343148946762085,146.262
0.163658738136,41,-0.0209881,50.0,2.55806,0.0,122,6100,-100.254467481,0.00939621,6.10876989364624,170.999
0.142619490623,41,-0.0154651,50.0,2.49846,0.0,163,8150,-93.4453831517,0.00630314,7.901158809661865,168.19
0.201739609241,41,-0.0186321,50.0,2.42468,0.0,204,10200,-87.9038057723,0.00814344,9.66706132888794,165.466
0.373488724232,41,-0.020266,50.0,2.34056,0.0,245,12250,-82.2828449697,0.0097185,11.457130908966064,131.245
0.415976285934,41,-0.020716,50.0,2.25646,0.0,286,14300,-76.060860034,0.00927752,13.222981929779053,101.788
0.501446992159,41,-0.02721,50.0,2.16302,0.0,327,16350,-71.0908477827,0.0108973,15.003706932067871,86.3144
0.534055054188,41,-0.0227349,50.0,2.0877,0.0,368,18400,-67.1952252358,0.0103591,16.7622287273407,68.9606
0.624418079853,41,-0.0255958,50.0,1.99623,0.0,409,20450,-63.2684202321,0.0107353,18.54732632637024,51.6616
0.653232902288,41,-0.0226769,50.0,1.92004,0.0,450,22500,-60.3871100149,0.0116628,20.37497878074646,42.9889
0.618107527494,41,-0.025786,50.0,1.83509,0.0,491,24550,-58.0792768464,0.0119611,22.17172598838806,38.323
0.55965796113,41,-0.0258361,50.0,1.74977,0.0,532,26600,-54.3450657901,0.00994601,23.93713665008545,46.7823
0.677216082811,41,-0.019535,50.0,1.67508,0.0,573,28650,-52.5965791667,0.00948788,25.71828842163086,25.2705
0.690081447363,41,-0.0215416,50.0,1.61805,0.0,614,30700,-50.7785196069,0.00669563,27.47967004776001,29.0208
0.679169327021,41,-0.0219218,50.0,1.54151,0.0,655,32750,-48.370223847,0.00969533,29.276808261871338,26.8828
0.736793667078,41,-0.0222156,50.0,1.47873,0.0,696,34800,-46.4453393399,0.00688032,31.047157049179077,20.6137
0.729804605246,41,-0.022652,50.0,1.41906,0.0,737,36850,-45.1358021162,0.00825064,32.82763409614563,20.426
0.743540197611,41,-0.0189169,50.0,1.35841,0.0,778,38900,-43.3341093003,0.00785865,34.62856984138489,18.5551
0.782111570239,41,-0.0207545,50.0,1.30716,0.0,819,40950,-41.9479925716,0.00840693,36.41694617271423,12.1348
0.811075955629,41,-0.0205221,50.0,1.26167,0.0,860,43000,-41.0582516719,0.0071572,38.18205642700195,10.7696
0.847816720605,41,-0.0211401,50.0,1.20474,0.0,901,45050,-39.6189402596,0.008447,39.97990560531616,10.0091
0.801616773009,41,-0.022294,50.0,1.13775,0.0,942,47100,-38.1657556034,0.00909259,41.74576473236084,11.1084
0.853043466806,41,-0.0248167,50.0,1.07096,0.0,983,49150,-36.8279806101,0.0100592,43.54701113700867,8.71869
