loss_pol_surr,loss_pol_entpen,loss_kl,EpLenMean,loss_vf_loss,EpRewMean,TimestepsSoFar,EpisodesSoFar,loss_ent,ev_tdlam_before,TimeElapsed,EpThisIter
-0.0569886,0.0,0.0204209,1000.0,11.3193,-227.732097218,102000,102,5.05878,0.229402780533,90.10991287231445,2
-0.0585049,0.0,0.0192734,1000.0,10.6021,-213.80015445,104000,104,4.99088,0.246563494205,91.90077877044678,2
-0.0610702,0.0,0.0162438,1000.0,11.3196,-198.623384276,106000,106,4.93038,0.246666252613,93.67248153686523,2
-0.0685505,0.0,0.0179055,1000.0,12.7149,-183.135233064,108000,108,4.8194,0.253516614437,95.48662447929382,2
-0.0637701,0.0,0.0175168,1000.0,11.0732,-167.011664041,110000,110,4.75198,0.19232738018,97.26607918739319,2
-0.0673619,0.0,0.0169811,1000.0,13.1383,-152.352137845,112000,112,4.68824,0.31510579586,99.04740309715271,2
-0.0641128,0.0,0.0199909,1000.0,13.8292,-135.208510022,114000,114,4.60439,0.235407829285,100.84428763389587,2
-0.061073,0.0,0.0181593,1000.0,14.1297,-118.373162988,116000,116,4.53607,0.253579437733,102.62466025352478,2
-0.0645389,0.0,0.0162646,1000.0,16.4565,-99.1061381295,118000,118,4.47464,0.23547154665,104.4072618484497,2
-0.0586947,0.0,0.0187367,1000.0,18.7079,-81.9960168764,120000,120,4.3887,0.260026454926,106.18738532066345,2
-0.059318,0.0,0.0199617,1000.0,16.1319,-64.4191534073,122000,122,4.31416,0.275603890419,107.98597121238708,2
-0.0562011,0.0,0.0181766,1000.0,14.3049,-45.651016189,124000,124,4.2609,0.259074270725,109.78092503547668,2
-0.059461,0.0,0.0195317,1000.0,19.7599,-29.3231935614,126000,126,4.21403,0.409954249859,111.57840657234192,2
-0.0583939,0.0,0.0153358,1000.0,23.6812,-3.14940351882,129000,129,4.17879,0.454697549343,113.35965847969055,3
-0.0607945,0.0,0.0190751,1000.0,21.639,13.9396986049,131000,131,4.12804,0.325622558594,115.14155650138855,2
-0.0536772,0.0,0.0213205,1000.0,19.8763,31.6691116685,133000,133,4.07909,0.090161383152,116.93720030784607,2
-0.0548944,0.0,0.0221991,1000.0,24.8304,50.2799712744,135000,135,4.04344,0.423533022404,118.73530769348145,2
-0.0614074,0.0,0.019057,1000.0,23.6087,65.6496859236,137000,137,3.97321,0.326840877533,120.50105667114258,2
-0.0595857,0.0,0.0214436,1000.0,24.2821,81.4779703001,139000,139,3.92507,0.280330002308,122.29263615608215,2
-0.0575464,0.0,0.0223041,1000.0,20.0352,98.2466065315,141000,141,3.84247,0.0615601539612,124.07857823371887,2
-0.0504484,0.0,0.0254308,1000.0,26.8326,116.218855335,143000,143,3.78927,0.178018450737,125.87594699859619,2
-0.0544346,0.0,0.0217394,1000.0,25.7092,134.240668899,145000,145,3.72594,0.266525447369,127.65682625770569,2
-0.0495576,0.0,0.0186433,1000.0,27.3421,152.371068375,147000,147,3.693,0.153815507889,129.43831300735474,2
-0.0491816,0.0,0.023521,1000.0,30.4383,170.718927978,149000,149,3.62416,0.125404059887,131.23526000976562,2
-0.0523976,0.0,0.0194795,1000.0,31.7174,188.039787164,151000,151,3.57232,0.17223495245,133.01539421081543,2
-0.0581713,0.0,0.0233056,1000.0,34.2775,205.411700968,153000,153,3.48669,0.140585958958,134.81275129318237,2
-0.0589869,0.0,0.023211,1000.0,35.0497,220.831938328,155000,155,3.46658,0.334452569485,136.59338402748108,2
-0.0583558,0.0,0.0218996,1000.0,38.8341,238.939812545,157000,157,3.43233,0.344151258469,138.39055061340332,2
-0.0594642,0.0,0.0215837,1000.0,32.5271,256.517380547,159000,159,3.38543,0.40687340498,140.17169427871704,2
-0.0479215,0.0,0.0193321,1000.0,36.8922,272.374784419,161000,161,3.33593,0.340715408325,141.9687728881836,2
-0.0508573,0.0,0.0183975,1000.0,36.5039,287.817852569,163000,163,3.32742,0.292307913303,143.7500820159912,2
-0.0502201,0.0,0.0219401,1000.0,36.4597,304.515330312,165000,165,3.29353,0.13175880909,145.53165364265442,2
-0.0484074,0.0,0.0237849,1000.0,38.5323,321.734962358,167000,167,3.27535,0.211367368698,147.31237506866455,2
-0.0541249,0.0,0.0209798,1000.0,42.3995,336.679937095,169000,169,3.20551,0.215142667294,149.11015343666077,2
-0.0498199,0.0,0.0230794,1000.0,53.0304,357.982338073,172000,172,3.1791,0.318385899067,150.87659239768982,3
-0.0463794,0.0,0.0241319,1000.0,43.396,373.19391888,174000,174,3.13238,0.25276529789,152.6718327999115,2
-0.0439877,0.0,0.0247934,1000.0,44.179,387.36197246,176000,176,3.09728,0.196329295635,154.45355010032654,2
-0.0549627,0.0,0.023476,1000.0,44.7255,403.297497605,178000,178,3.06328,0.363254725933,156.2346374988556,2
-0.0428664,0.0,0.0269083,1000.0,41.522,418.961379523,180000,180,3.04314,0.111619770527,158.01562690734863,2
-0.0517269,0.0,0.022137,1000.0,50.4911,438.366083958,182000,182,2.97876,0.155695915222,159.79687237739563,2
-0.041398,0.0,0.0244211,1000.0,44.9358,452.948597845,184000,184,2.9712,0.115721821785,161.5935230255127,2
-0.0462704,0.0,0.0240673,1000.0,49.2943,467.66268582,186000,186,2.93188,0.228725910187,163.37548208236694,2
-0.0491255,0.0,0.0277371,1000.0,50.6308,481.7758134,188000,188,2.86718,0.15387660265,165.15633869171143,2
-0.0467383,0.0,0.0208638,1000.0,51.9973,496.306371575,190000,190,2.83348,0.107124745846,166.93728303909302,2
-0.0487026,0.0,0.0192202,1000.0,53.7457,511.023022784,192000,192,2.79239,0.164709627628,168.7192018032074,2
-0.0453714,0.0,0.0242407,1000.0,49.0811,524.4167168,194000,194,2.76033,0.159683585167,170.49986052513123,2
-0.0510036,0.0,0.0293064,1000.0,54.9546,537.978206701,196000,196,2.71984,0.346584439278,172.2818570137024,2
-0.0430038,0.0,0.0263315,1000.0,55.5458,549.613354218,198000,198,2.68839,0.226438879967,174.08215427398682,2
-0.053356,0.0,0.0220175,1000.0,59.8379,562.407591973,200000,200,2.65677,0.197252452374,175.85946488380432,2
-0.0458495,0.0,0.0230283,1000.0,57.4969,575.340782431,202000,202,2.64195,0.151153981686,177.6413288116455,2
-0.047749,0.0,0.0254331,1000.0,56.905,589.153025673,204000,204,2.59433,0.274278461933,179.42237329483032,2
-0.0491654,0.0,0.0238704,1000.0,57.4592,602.18467258,206000,206,2.55401,0.22456741333,181.2189564704895,2
-0.0447211,0.0,0.0229526,1000.0,56.2406,614.579469876,208000,208,2.5283,0.0828926563263,182.99982047080994,2
-0.0431555,0.0,0.0199577,1000.0,57.3462,626.944630529,210000,210,2.50323,0.0517023205757,184.7968409061432,2
-0.0465355,0.0,0.0269063,1000.0,66.1431,640.311100657,212000,212,2.44315,0.101611495018,186.56224989891052,2
-0.0421556,0.0,0.0273505,1000.0,80.0712,658.661006203,215000,215,2.42459,0.0748914480209,188.37470722198486,3
-0.043264,0.0,0.0219464,1000.0,62.1028,668.880875389,217000,217,2.41063,0.099366247654,190.1723997592926,2
-0.047807,0.0,0.0230501,1000.0,64.4478,679.459440455,219000,219,2.37837,0.119172155857,191.98439502716064,2
-0.0464489,0.0,0.0258872,1000.0,65.1661,690.25196745,221000,221,2.34512,0.179968476295,193.76022720336914,2
-0.035859,0.0,0.0330863,1000.0,66.4515,700.96805065,223000,223,2.30921,0.107612550259,195.57864570617676,2
-0.0506656,0.0,0.022042,1000.0,67.0018,709.733681609,225000,225,2.26603,0.180880904198,197.34434127807617,2
-0.0450236,0.0,0.0247748,1000.0,69.2099,719.398848463,227000,227,2.25985,0.206811010838,199.1405746936798,2
-0.0471814,0.0,0.0273593,1000.0,72.7152,729.434816085,229000,229,2.23547,0.326277971268,200.92206859588623,2
-0.0402637,0.0,0.029521,1000.0,67.8958,739.046521855,231000,231,2.22762,0.235090017319,202.70841932296753,2
-0.0431771,0.0,0.0268251,1000.0,73.5952,748.264876269,233000,233,2.20306,0.362783253193,204.46893334388733,2
-0.0478593,0.0,0.0222268,1000.0,74.4823,758.869570262,235000,235,2.17239,0.131745159626,206.26652312278748,2
-0.0437243,0.0,0.0259462,1000.0,70.0682,769.125829832,237000,237,2.11793,0.192741572857,208.04812669754028,2
-0.051403,0.0,0.0267375,1000.0,78.7188,778.999780275,239000,239,2.0474,0.314749240875,209.82966828346252,2
-0.0549181,0.0,0.0266881,1000.0,84.3803,788.070021038,241000,241,1.97236,0.356794118881,211.60954809188843,2
-0.0401776,0.0,0.0339772,1000.0,77.2963,794.953316799,243000,243,1.96623,0.305895626545,213.4219675064087,2
-0.0425063,0.0,0.0235826,1000.0,75.4929,803.627671295,245000,245,1.9206,0.0975138545036,215.20356369018555,2
-0.0391977,0.0,0.0241592,1000.0,78.8731,814.09131754,247000,247,1.88984,0.13671952486,217.00012373924255,2
-0.0394047,0.0,0.0318451,1000.0,76.4261,822.135256976,249000,249,1.83906,0.0628324151039,218.78166341781616,2
-0.0417212,0.0,0.0285993,1000.0,81.0877,831.740511671,251000,251,1.82712,0.178849756718,220.56255650520325,2
-0.0396732,0.0,0.0262494,1000.0,87.6031,840.022956699,253000,253,1.79916,0.123634874821,222.32918429374695,2
-0.0421044,0.0,0.0280468,1000.0,113.335,854.364375571,256000,256,1.80274,0.068071782589,224.12506794929504,3
-0.0349134,0.0,0.0306524,1000.0,80.9094,865.081518624,258000,258,1.78163,0.0866596102715,225.89810395240784,2
-0.0398164,0.0,0.0270919,1000.0,86.6023,875.450862683,260000,260,1.73088,0.0742552876472,227.6874349117279,2
-0.0363383,0.0,0.0308231,1000.0,84.5944,884.609612649,262000,262,1.738,0.0226305127144,229.45288348197937,2
-0.0425633,0.0,0.0367395,1000.0,89.9754,892.354398366,264000,264,1.70052,0.129500985146,231.24966740608215,2
-0.0411024,0.0,0.0241224,1000.0,80.5584,900.188844983,266000,266,1.67317,0.0832009315491,233.015282869339,2
-0.0446868,0.0,0.0386318,1000.0,95.2167,907.28763381,268000,268,1.64838,0.18084526062,234.81247687339783,2
-0.0475825,0.0,0.0339689,1000.0,98.9972,915.716055752,270000,270,1.60891,0.11280310154,236.57890009880066,2
-0.0407291,0.0,0.027713,1000.0,93.7306,923.945572496,272000,272,1.5884,0.072625041008,238.35922932624817,2
-0.0461283,0.0,0.0245173,1000.0,93.8516,931.38194267,274000,274,1.54967,0.16011184454,240.15630626678467,2
-0.0349478,0.0,0.0310658,1000.0,96.9389,940.861520523,276000,276,1.53971,0.0686150789261,241.9534831047058,2
-0.0428519,0.0,0.0258803,1000.0,92.8291,948.181180869,278000,278,1.48674,0.100895643234,243.71910905838013,2
-0.0361561,0.0,0.0284812,1000.0,91.4987,955.383434626,280000,280,1.4795,0.064956843853,245.53134107589722,2
-0.035129,0.0,0.0437913,1000.0,95.5239,961.743015728,282000,282,1.43223,0.132262945175,247.31336045265198,2
-0.0374609,0.0,0.0325125,1000.0,91.6394,968.846152227,284000,284,1.39769,0.0775527954102,249.07790780067444,2
-0.038427,0.0,0.0301515,1000.0,94.4215,975.950148563,286000,286,1.36924,0.08234333992,250.86045670509338,2
-0.0356568,0.0,0.0284956,1000.0,98.6287,983.093987513,288000,288,1.34358,0.04250395298,252.65604376792908,2
-0.0381043,0.0,0.031514,1000.0,99.9836,989.618972344,290000,290,1.33603,0.0998731255531,254.42259168624878,2
-0.0363704,0.0,0.0317214,1000.0,101.417,997.34662401,292000,292,1.31444,0.0735141634941,256.2185788154602,2
-0.0371746,0.0,0.0239337,1000.0,99.4455,1005.08040487,294000,294,1.28952,0.0342796444893,257.98454189300537,2
-0.0368232,0.0,0.0339247,1000.0,95.7779,1012.33596645,296000,296,1.29482,0.00530064105988,259.75450801849365,2
-0.039411,0.0,0.0286569,1000.0,147.48,1023.3101139,299000,299,1.25516,0.0602661371231,261.53158140182495,3
-0.0390406,0.0,0.0339544,1000.0,96.0235,1029.21885379,301000,301,1.24615,-0.00380265712738,263.31277203559875,2
-0.040239,0.0,0.0265225,1000.0,100.885,1035.31452315,303000,303,1.25081,0.0620874762535,265.09376764297485,2
-0.0385023,0.0,0.027292,1000.0,100.488,1042.08836704,305000,305,1.23131,0.0677323937416,266.8723530769348,2
-0.0391077,0.0,0.0365451,1000.0,101.838,1048.1282887,307000,307,1.20046,0.0625728964806,268.65741205215454,2
-0.0418636,0.0,0.0273404,1000.0,98.7214,1054.33270182,309000,309,1.15986,0.068463742733,270.4381031990051,2
-0.0369536,0.0,0.0309171,1000.0,111.294,1060.05665233,311000,311,1.14995,0.0832172632217,272.2040913105011,2
-0.0345303,0.0,0.0345378,1000.0,103.511,1065.47193054,313000,313,1.12396,0.0301873087883,273.98544120788574,2
-0.0389722,0.0,0.0294487,1000.0,105.438,1071.6211456,315000,315,1.08995,0.0338043570518,275.75570702552795,2
-0.0384703,0.0,0.0271337,1000.0,104.121,1078.07528853,317000,317,1.07026,0.0382241606712,277.55252599716187,2
-0.0385896,0.0,0.026754,1000.0,107.131,1084.44649925,319000,319,1.06075,0.0423239469528,279.32812452316284,2
-0.0367935,0.0,0.0364971,1000.0,109.543,1090.73784857,321000,321,1.03972,0.04159283638,281.12532472610474,2
-0.0414955,0.0,0.0341511,1000.0,110.0,1096.65037196,323000,323,0.99881,0.0579803586006,282.9002528190613,2
-0.037043,0.0,0.0249681,1000.0,104.547,1102.75790192,325000,325,0.96048,0.0436356663704,284.67169857025146,2
-0.034234,0.0,0.0397218,1000.0,106.182,1108.76268731,327000,327,0.950142,0.0877155065536,286.4543631076813,2
-0.0408514,0.0,0.0359844,1000.0,111.213,1114.02974585,329000,329,0.929974,0.0541563034058,288.2187898159027,2
-0.0400728,0.0,0.0370063,1000.0,111.913,1120.35122616,331000,331,0.887076,0.0491530299187,290.000746011734,2
-0.0382632,0.0,0.0272737,1000.0,119.953,1126.82170313,333000,333,0.900266,0.0965178608894,291.781081199646,2
-0.0443358,0.0,0.0330646,1000.0,121.36,1131.48370043,335000,335,0.896261,0.0835729241371,293.5469059944153,2
-0.0402421,0.0,0.0236369,1000.0,116.76,1138.14683342,337000,337,0.869343,0.0544146299362,295.32896661758423,2
-0.0378209,0.0,0.0347047,1000.0,119.424,1142.67446031,339000,339,0.817846,0.062950193882,297.11032605171204,2
-0.039581,0.0,0.0398702,1000.0,172.107,1153.32638954,342000,342,0.837898,0.0994142889977,298.8969552516937,3
-0.0259358,0.0,0.0454876,1000.0,126.18,1160.0830378,344000,344,0.818904,0.0798770189285,300.6719892024994,2
-0.0378535,0.0,0.0256286,1000.0,114.35,1162.92685601,346000,346,0.788877,0.0319724678993,302.4527699947357,2
-0.0369176,0.0,0.0321793,1000.0,117.172,1167.28120101,348000,348,0.803633,0.0832834839821,304.23487663269043,2
-0.0374382,0.0,0.035358,1000.0,115.897,1171.50291485,350000,350,0.791303,0.0765378475189,306.01598954200745,2
-0.0374757,0.0,0.0383581,1000.0,123.945,1175.90803738,352000,352,0.766152,0.108248651028,307.7982656955719,2
-0.0374918,0.0,0.0277422,1000.0,116.204,1180.67832952,354000,354,0.751526,0.077399969101,309.57044887542725,2
-0.0387074,0.0,0.027746,1000.0,113.726,1184.40519337,356000,356,0.702723,0.0625574588776,311.35932874679565,2
-0.0351728,0.0,0.0290945,1000.0,117.3,1187.8364998,358000,358,0.673417,0.0599570274353,313.14095997810364,2
-0.0406726,0.0,0.0324115,1000.0,123.199,1190.0114701,360000,360,0.679869,0.0962344408035,314.9215626716614,2
-0.0380589,0.0,0.0361885,1000.0,125.271,1193.98487994,362000,362,0.64287,0.053349852562,316.70281767845154,2
-0.0393956,0.0,0.0334535,1000.0,117.144,1198.15885648,364000,364,0.628602,0.0428264141083,318.48568844795227,2
-0.0381148,0.0,0.028644,1000.0,125.734,1202.04785492,366000,366,0.639216,0.0356189608574,320.26650381088257,2
-0.0341877,0.0,0.0308459,1000.0,115.715,1207.06772007,368000,368,0.613023,0.0276722311974,322.04719948768616,2
-0.0337254,0.0,0.037422,1000.0,124.191,1210.12668776,370000,370,0.640127,0.0366588830948,323.82966923713684,2
-0.0390455,0.0,0.0319934,1000.0,118.91,1214.10967535,372000,372,0.612953,0.0178674459457,325.6109023094177,2
-0.0370988,0.0,0.0327566,1000.0,128.576,1217.81665817,374000,374,0.608755,0.0707690119743,327.38215470314026,2
-0.0422687,0.0,0.0254731,1000.0,122.426,1221.08187916,376000,376,0.592075,0.0457525253296,329.1722056865692,2
-0.0379406,0.0,0.0264118,1000.0,119.588,1224.72944168,378000,378,0.548953,0.0170087814331,330.9531002044678,2
-0.0385299,0.0,0.0271712,1000.0,126.392,1227.55825313,380000,380,0.522862,0.0616930127144,332.7500865459442,2
-0.0397339,0.0,0.0279768,1000.0,123.653,1230.74671031,382000,382,0.535988,0.101194083691,334.5323441028595,2
-0.0391434,0.0,0.0370783,1000.0,177.326,1235.89297348,385000,385,0.54614,0.0175893902779,336.3292694091797,3
-0.0354667,0.0,0.0424063,1000.0,123.602,1238.69597594,387000,387,0.514034,0.068433701992,338.1092195510864,2
-0.035545,0.0,0.041813,1000.0,123.465,1241.48131581,389000,389,0.476153,0.0686525702477,339.8916070461273,2
-0.0371711,0.0,0.0322849,1000.0,122.179,1244.3819334,391000,391,0.468389,0.0394796133041,341.65637373924255,2
-0.0410165,0.0,0.0291701,1000.0,122.121,1246.34965383,393000,393,0.448746,0.091578066349,343.4432895183563,2
-0.0355156,0.0,0.0306038,1000.0,126.967,1247.7081426,395000,395,0.450371,0.0212287902832,345.23416090011597,2
-0.0401832,0.0,0.0336836,1000.0,126.835,1250.80446363,397000,397,0.392304,0.110612273216,347.01535272598267,2
-0.0415594,0.0,0.0319807,1000.0,126.221,1253.96163346,399000,399,0.385063,0.030092895031,348.79666805267334,2
-0.0410075,0.0,0.032468,1000.0,128.964,1257.82086811,401000,401,0.386561,0.0739997029305,350.58808970451355,2
-0.0440543,0.0,0.0305731,1000.0,126.947,1260.86144844,403000,403,0.368649,0.0268353223801,352.3607635498047,2
-0.038238,0.0,0.0379673,1000.0,125.041,1262.77039017,405000,405,0.37311,0.0673566460609,354.1564610004425,2
-0.0407031,0.0,0.0399284,1000.0,131.284,1265.49912261,407000,407,0.357698,0.0745196342468,355.93771171569824,2
-0.0334507,0.0,0.0498678,1000.0,125.171,1269.06043183,409000,409,0.330977,0.0415571928024,357.7278687953949,2
-0.036733,0.0,0.034818,1000.0,127.545,1271.99993614,411000,411,0.297937,0.132558822632,359.5153052806854,2
-0.0364517,0.0,0.0443557,1000.0,131.825,1275.55144624,413000,413,0.282622,0.0612897872925,361.31248211860657,2
-0.0370787,0.0,0.0313084,1000.0,126.615,1278.02190056,415000,415,0.257441,0.0100880861282,363.15654587745667,2
-0.0426433,0.0,0.0312443,1000.0,129.847,1281.27366248,417000,417,0.23386,0.0812249183655,364.93853998184204,2
-0.0332575,0.0,0.0390993,1000.0,135.984,1284.20425256,419000,419,0.25099,0.0742329955101,366.7191798686981,2
-0.0302738,0.0,0.0455004,1000.0,132.251,1286.30923436,421000,421,0.258059,0.0353605151176,368.51663756370544,2
-0.0368963,0.0,0.0410949,1000.0,135.303,1289.32547438,423000,423,0.253287,0.0589781999588,370.3134329319,2
-0.0407797,0.0,0.0314246,1000.0,134.52,1292.86229636,425000,425,0.234199,0.0760384202003,372.0935740470886,2
-0.0360318,0.0,0.0305781,1000.0,186.328,1297.06202736,428000,428,0.243033,0.0571537613869,373.87483620643616,3
-0.0373674,0.0,0.0455521,1000.0,134.752,1299.84911376,430000,430,0.252548,0.11190700531,375.6730206012726,2
-0.0345172,0.0,0.037698,1000.0,130.672,1301.87033141,432000,432,0.252284,0.073703110218,377.4523754119873,2
-0.0385519,0.0,0.0304266,1000.0,128.793,1303.01377057,434000,434,0.205349,0.0176836252213,379.2510621547699,2
-0.0348732,0.0,0.0388011,1000.0,125.224,1304.94228462,436000,436,0.180156,0.0577996969223,381.03222823143005,2
-0.0337812,0.0,0.0386309,1000.0,124.305,1306.77518166,438000,438,0.148486,0.103907108307,382.8121819496155,2
-0.0344513,0.0,0.0350671,1000.0,124.316,1308.71164827,440000,440,0.120523,0.0708208084106,384.59377694129944,2
-0.0385642,0.0,0.0362967,1000.0,139.505,1310.51293044,442000,442,0.0897154,0.135089099407,386.3748688697815,2
-0.0393429,0.0,0.0320675,1000.0,132.422,1310.832441,444000,444,0.104277,0.0767890810966,388.15680265426636,2
-0.0345736,0.0,0.0427587,1000.0,129.645,1314.09938755,446000,446,0.0971317,0.0461623668671,389.9534876346588,2
-0.0383949,0.0,0.0342908,1000.0,131.161,1315.98275003,448000,448,0.0791276,0.129548668861,391.7347195148468,2
-0.0435583,0.0,0.0306893,1000.0,134.082,1318.4698445,450000,450,0.0558045,0.209551692009,393.5158052444458,2
-0.041075,0.0,0.0301768,1000.0,130.512,1320.61390397,452000,452,0.0266125,0.00957059860229,395.29661226272583,2
-0.0330962,0.0,0.0356609,1000.0,137.065,1321.81852375,454000,454,0.00944757,0.0452800989151,397.07845735549927,2
-0.0339013,0.0,0.0391329,1000.0,134.664,1324.87145607,456000,456,-0.021619,0.0203701257706,398.85900831222534,2
-0.0371687,0.0,0.03408,1000.0,133.233,1326.05393453,458000,458,-0.0461336,0.058865249157,400.6410837173462,2
-0.0333187,0.0,0.04459,1000.0,138.847,1329.63309739,460000,460,-0.0471253,0.0892366170883,402.4219992160797,2
-0.0411115,0.0,0.0378731,1000.0,146.896,1332.7628435,462000,462,-0.0591991,0.205068528652,404.2034912109375,2
-0.0416962,0.0,0.0347075,1000.0,145.1,1336.20993983,464000,464,-0.128381,0.248657464981,405.98457622528076,2
-0.0431965,0.0,0.0363998,1000.0,143.523,1337.64600692,466000,466,-0.150297,0.286724150181,407.7658689022064,2
