TimestepsSoFar,EpRewMean,EpisodesSoFar,loss_pol_entpen,loss_kl,loss_vf_loss,loss_pol_surr,EpThisIter,ev_tdlam_before,EpLenMean,loss_ent,TimeElapsed
2000,-109.512520529,40,0.0,0.00936791,551.913,-0.0230384,40,0.00190412998199,50.0,2.72451,1.9797916412353516
4050,-106.041159014,81,0.0,0.00834234,160.544,-0.0199637,41,0.19803494215,50.0,2.6272,3.716794490814209
6100,-100.635826583,122,0.0,0.00865181,177.118,-0.019322,41,0.111144125462,50.0,2.53511,5.437370777130127
8150,-92.3580948604,163,0.0,0.00929885,176.109,-0.019178,41,0.0856494307518,50.0,2.46289,7.166477918624878
10200,-85.3297876346,204,0.0,0.0105181,175.658,-0.0212601,41,0.0685035586357,50.0,2.38263,8.890323638916016
12250,-79.7936688486,245,0.0,0.00884345,158.095,-0.0198017,41,0.169828176498,50.0,2.29398,10.624876976013184
14300,-74.5778911977,286,0.0,0.0102261,129.019,-0.0224379,41,0.202963650227,50.0,2.21356,12.33552598953247
16350,-71.2200696201,327,0.0,0.00754816,109.807,-0.0175976,41,0.247053086758,50.0,2.14167,14.072654247283936
18400,-65.1474392131,368,0.0,0.0105391,70.6426,-0.0210531,41,0.367314219475,50.0,2.08245,15.776244401931763
20450,-61.6025266054,409,0.0,0.00809729,69.7119,-0.0188622,41,0.388801813126,50.0,2.0161,17.515413999557495
22500,-58.5888820239,450,0.0,0.00761657,54.7095,-0.0186477,41,0.511503189802,50.0,1.95714,19.21235179901123
24550,-56.3883782802,491,0.0,0.0070662,54.8887,-0.0173545,41,0.479337453842,50.0,1.90313,20.97779393196106
26600,-54.6141184018,532,0.0,0.00945596,55.2636,-0.0231497,41,0.490960419178,50.0,1.82475,22.70295524597168
28650,-51.2256820959,573,0.0,0.00723337,35.1095,-0.0182607,41,0.626393973827,50.0,1.7826,24.429579734802246
30700,-49.2146501151,614,0.0,0.00715593,33.4489,-0.0204956,41,0.523473024368,50.0,1.737,26.155477046966553
32750,-46.5911843748,655,0.0,0.00921642,26.0086,-0.0206274,41,0.636993944645,50.0,1.65616,27.8743257522583
34800,-45.1351107313,696,0.0,0.00705568,27.487,-0.0201941,41,0.60253071785,50.0,1.58704,29.60889172554016
36850,-44.0176834008,737,0.0,0.0100345,22.3461,-0.0224337,41,0.656197935343,50.0,1.51792,31.335472583770752
38900,-42.4909493036,778,0.0,0.00808822,19.7246,-0.0228889,41,0.630437880754,50.0,1.44566,33.04668354988098
40950,-39.7700145386,819,0.0,0.0101391,19.5354,-0.0244155,41,0.632411658764,50.0,1.36967,34.78784132003784
43000,-37.2544970152,860,0.0,0.00836377,16.4034,-0.021283,41,0.641282349825,50.0,1.31773,36.50665330886841
45050,-36.0059957295,901,0.0,0.0114238,14.999,-0.0248671,41,0.647401839495,50.0,1.25195,38.24231433868408
47100,-34.974994707,942,0.0,0.00697531,11.9623,-0.023229,41,0.675493299961,50.0,1.20627,39.95353031158447
