TimestepsSoFar,EpisodesSoFar,loss_pol_surr,EpRewMean,TimeElapsed,EpThisIter,loss_ent,loss_kl,EpLenMean,loss_pol_entpen,ev_tdlam_before,loss_vf_loss
59350,1187,-0.0176287,-27.032101011,50.47145628929138,41,0.762008,0.0112513,50.0,0.0,0.686254560947,6.89355
61400,1228,-0.0232428,-25.854519474,52.19915318489075,41,0.693906,0.00904902,50.0,0.0,0.773424565792,5.10409
63450,1269,-0.0266906,-24.7547053894,53.93297338485718,41,0.620108,0.0124776,50.0,0.0,0.753972366452,5.01167
65500,1310,-0.0192245,-23.8779209424,55.65365529060364,41,0.561978,0.00929194,50.0,0.0,0.752378419042,4.78229
67550,1351,-0.0234503,-23.6990816172,57.384339332580566,41,0.482731,0.00951509,50.0,0.0,0.764316529036,3.88823
69600,1392,-0.0264303,-23.1061462736,59.1134192943573,41,0.401158,0.0109052,50.0,0.0,0.782691657543,3.90655
71650,1433,-0.0198383,-22.2525612041,60.83169460296631,41,0.326508,0.00833827,50.0,0.0,0.769510760903,3.62742
73700,1474,-0.0232427,-21.2352068084,62.55766773223877,41,0.265183,0.0118134,50.0,0.0,0.774572402239,3.28901
75750,1515,-0.0200276,-20.4352915222,64.28454065322876,41,0.214185,0.0116402,50.0,0.0,0.785910576582,2.93379
77800,1556,-0.0260301,-19.8715509068,66.01903867721558,41,0.14306,0.0123923,50.0,0.0,0.744227945805,3.15024
79850,1597,-0.0230659,-18.8184611808,67.75316667556763,41,0.138106,0.00968873,50.0,0.0,0.802087262273,2.24457
81900,1638,-0.020501,-18.6068554299,69.47138714790344,41,0.10246,0.00812714,50.0,0.0,0.766606882215,2.09333
83950,1679,-0.0227147,-18.0419262536,71.1987566947937,41,0.0462837,0.0094604,50.0,0.0,0.825323611498,1.91535
86000,1720,-0.0191918,-17.6144453432,72.92845344543457,41,-0.0119504,0.00764839,50.0,0.0,0.823458269238,1.5912
88050,1761,-0.0277208,-17.5712966863,74.65894031524658,41,-0.0764652,0.00937986,50.0,0.0,0.805922046304,2.09958
90100,1802,-0.0213256,-17.3450363419,76.38667488098145,41,-0.136507,0.0112539,50.0,0.0,0.797884568572,1.86994
92150,1843,-0.0230891,-16.7917413755,78.12054419517517,41,-0.216354,0.00863198,50.0,0.0,0.838316172361,1.64026
94200,1884,-0.0205952,-16.3648877454,79.8398597240448,41,-0.245073,0.0107328,50.0,0.0,0.851744249463,1.29138
96250,1925,-0.0226325,-15.6243357687,81.57465624809265,41,-0.293806,0.0139483,50.0,0.0,0.852869063616,1.27071
98300,1966,-0.0153759,-15.4747653499,83.30151581764221,41,-0.333012,0.0136704,50.0,0.0,0.838206574321,1.25759
100350,2007,-0.0202631,-15.8334465819,85.035409450531,41,-0.3798,0.0107769,50.0,0.0,0.831306815147,1.27797
102400,2048,-0.0169456,-15.7350497264,86.75360465049744,41,-0.440083,0.0129894,50.0,0.0,0.842145115137,1.28741
104400,2088,-0.0143001,-14.9685681401,88.50454187393188,40,-0.486819,0.0143815,50.0,0.0,0.874721676111,0.782167
106450,2129,-0.0250284,-13.7266690215,90.26661086082458,41,-0.549125,0.0102386,50.0,0.0,0.807263612747,0.783563
108500,2170,-0.0181659,-13.3204634067,92.0012035369873,41,-0.596616,0.0107997,50.0,0.0,0.877517744899,0.754877
110550,2211,-0.0239505,-13.0485043099,93.71536707878113,41,-0.659187,0.0136528,50.0,0.0,0.872931227088,0.808418
112600,2252,-0.0241546,-13.2610843016,95.44922471046448,41,-0.72863,0.0147059,50.0,0.0,0.905309990048,0.633103
114650,2293,-0.0169491,-13.2828969508,97.1751127243042,41,-0.779758,0.0129105,50.0,0.0,0.875488311052,0.715678
116700,2334,-0.0174785,-13.4171912401,98.90345644950867,41,-0.833199,0.0166041,50.0,0.0,0.882146470249,0.685172
118750,2375,-0.013401,-12.747777116,100.61367273330688,41,-0.84927,0.011489,50.0,0.0,0.90049059689,0.577676
120800,2416,-0.0220901,-12.2912556959,102.34055995941162,41,-0.909131,0.0142663,50.0,0.0,0.895617321134,0.498005
122850,2457,-0.02222,-12.4584950191,104.07438039779663,41,-0.963009,0.0141897,50.0,0.0,0.897064477205,0.480307
124900,2498,-0.0232609,-12.4077791889,105.80845189094543,41,-1.0006,0.0128741,50.0,0.0,0.883676111698,0.396584
126950,2539,-0.0181208,-12.0782055815,107.55481266975403,41,-1.04041,0.0128205,50.0,0.0,0.881684824824,0.45027
129000,2580,-0.0205694,-12.0034484643,109.31193733215332,41,-1.1078,0.0182116,50.0,0.0,0.904014788568,0.454822
131050,2621,-0.0227578,-12.0311203279,111.0465772151947,41,-1.11914,0.00967924,50.0,0.0,0.934949375689,0.299999
133100,2662,-0.0100672,-11.8915373914,112.78230738639832,41,-1.13874,0.0248719,50.0,0.0,0.907234087586,0.412593
135150,2703,-0.0152029,-11.8912784195,114.50171399116516,41,-1.18728,0.0136397,50.0,0.0,0.896983996034,0.485938
137200,2744,-0.0154472,-11.3561461339,116.22831964492798,41,-1.21719,0.0126563,50.0,0.0,0.900833562016,0.326072
139250,2785,-0.0199979,-11.3247377112,117.956547498703,41,-1.261,0.0135326,50.0,0.0,0.929585471749,0.320901
141300,2826,-0.0199539,-11.0825836184,119.69128108024597,41,-1.30181,0.0160649,50.0,0.0,0.927723944187,0.255635
143350,2867,-0.0242697,-11.0478756596,121.4031674861908,41,-1.35411,0.0144104,50.0,0.0,0.902023077011,0.342771
145400,2908,-0.0211968,-10.8834081393,123.14378881454468,41,-1.38379,0.0100676,50.0,0.0,0.904362261295,0.287241
147450,2949,-0.0155694,-10.8479626227,124.86813950538635,41,-1.40809,0.013873,50.0,0.0,0.89983484894,0.276153
149500,2990,-0.0103383,-10.7189795691,126.60166144371033,41,-1.4442,0.0228266,50.0,0.0,0.907254621387,0.292184
151550,3031,-0.0193041,-10.930255211,128.32040643692017,41,-1.46738,0.0119685,50.0,0.0,0.930290043354,0.372947
153600,3072,-0.0166709,-11.0075075709,130.05477619171143,41,-1.49646,0.0121739,50.0,0.0,0.924510121346,0.329799
155600,3112,-0.0210318,-11.0179097092,131.78074026107788,40,-1.52309,0.0136428,50.0,0.0,0.89825245738,0.519825
157650,3153,-0.0202629,-10.3937782795,133.5083281993866,41,-1.57281,0.0178413,50.0,0.0,0.901054911315,0.344945
159700,3194,-0.0199375,-10.116404602,135.2351450920105,41,-1.60068,0.0123869,50.0,0.0,0.929535701871,0.287179
161750,3235,-0.0132551,-9.91258995215,136.96959567070007,41,-1.63688,0.0225858,50.0,0.0,0.93887174502,0.218821
163800,3276,-0.0191599,-10.0454513562,138.6884481906891,41,-1.66948,0.0104055,50.0,0.0,0.906418867409,0.260909
165850,3317,-0.0178383,-10.013359035,140.43049836158752,41,-1.73958,0.019514,50.0,0.0,0.931210532784,0.238727
167900,3358,-0.0203545,-9.90795302006,142.13375973701477,41,-1.76631,0.0201919,50.0,0.0,0.922721453011,0.34019
169950,3399,-0.0154649,-9.56412707025,143.86922955513,41,-1.75796,0.0146511,50.0,0.0,0.929762788117,0.1965
172000,3440,-0.0162907,-9.24481958323,145.5862898826599,41,-1.7563,0.0181238,50.0,0.0,0.914156205952,0.228191
174050,3481,-0.00772025,-9.32685568506,147.3288049697876,41,-1.80436,0.0208712,50.0,0.0,0.92155034095,0.238232
176100,3522,-0.0193688,-9.00107585151,149.04774045944214,41,-1.82379,0.0203533,50.0,0.0,0.945296831429,0.188341
178150,3563,-0.0126728,-9.35921835496,150.78225827217102,41,-1.87019,0.0225232,50.0,0.0,0.939049098641,0.171425
180200,3604,-0.0213241,-9.70768156737,152.5010814666748,41,-1.87252,0.0164212,50.0,0.0,0.937938481569,0.197433
182250,3645,-0.00482325,-9.16116934203,154.23759961128235,41,-1.88425,0.0185371,50.0,0.0,0.934958040714,0.159711
184300,3686,-0.020469,-8.58344748844,155.9572582244873,41,-1.88761,0.0211354,50.0,0.0,0.920490689576,0.207889
186350,3727,-0.0178592,-8.65172392751,157.6906247138977,41,-1.9381,0.0187968,50.0,0.0,0.933062724769,0.16707
