TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,EpRewMean,loss_pol_surr,loss_pol_entpen,EpThisIter,loss_ent,loss_kl,TimeElapsed,EpLenMean,loss_vf_loss
95775,-0.00192868709564,801,820.55,-0.000737846,0.0,2,0.952341,0.00360982,76.11496424674988,820.55,68.9344
97860,0.321585953236,805,836.64,-0.00743063,0.0,4,0.95654,0.00611296,77.72318649291992,836.64,41.5691
99860,-0.00395381450653,807,845.72,-0.00134486,0.0,2,0.958418,0.00227052,79.32529187202454,845.72,69.5968
101567,0.55971762538,809,857.92,-0.00654083,0.0,2,0.958046,0.00703707,80.95005083084106,857.92,38.4636
103567,-0.00926768779755,811,873.52,-0.00430363,0.0,2,0.945225,0.00863758,82.55470943450928,873.52,70.3362
105766,0.331751286983,814,872.24,-0.00669431,0.0,3,0.927639,0.00729346,84.16779398918152,872.24,76.3275
107766,-0.00624024868011,816,872.24,-0.00274222,0.0,2,0.930718,0.00384207,85.77832126617432,872.24,69.0562
109766,0.00739806890488,818,873.26,-0.00714133,0.0,2,0.903732,0.0058158,87.38678073883057,873.26,67.6221
111766,-0.00695753097534,820,878.38,-0.00652217,0.0,2,0.913578,0.00352384,88.99079251289368,878.38,68.8032
113766,-0.0151704549789,822,880.2,-0.00452897,0.0,2,0.909448,0.00375517,90.60585808753967,880.2,68.6527
116669,0.307924032211,825,879.23,-0.00457808,0.0,3,0.908461,0.00530971,92.22232913970947,879.23,69.9068
117834,0.59629958868,827,870.88,-0.00838195,0.0,2,0.909084,0.00754836,93.83360934257507,870.88,41.9398
119834,-0.00634717941284,829,870.88,-0.00508616,0.0,2,0.923296,0.0107612,95.45757102966309,870.88,69.357
122834,-0.00103151798248,832,870.88,-0.00496521,0.0,3,0.920252,0.00661966,97.05960202217102,870.88,76.7719
124834,0.000818192958832,834,870.88,-0.00254564,0.0,2,0.920754,0.00370367,98.68415427207947,870.88,68.954
126834,0.000328361988068,836,876.76,-0.00375324,0.0,2,0.904198,0.00682059,100.28599786758423,876.76,68.9599
128834,0.00022554397583,838,883.35,-0.00409047,0.0,2,0.914423,0.00469146,101.91079688072205,883.35,68.8576
130834,0.0343452692032,840,896.66,-0.00431092,0.0,2,0.888365,0.00293024,103.5200297832489,896.66,52.8226
132834,0.00874876976013,842,906.13,-0.0071007,0.0,2,0.901547,0.0097048,105.12334561347961,906.13,64.3782
134834,0.10452747345,844,914.25,-0.00874422,0.0,2,0.907229,0.0101632,106.74676847457886,914.25,74.3927
136834,-0.00972127914429,846,925.06,-0.00483867,0.0,2,0.89175,0.00412525,108.35598874092102,925.06,70.8597
138834,-0.00139212608337,848,939.83,-0.00637692,0.0,2,0.917888,0.00769443,109.95799231529236,939.83,69.019
140834,-0.00752031803131,850,948.62,-0.0023001,0.0,2,0.925892,0.00263438,111.56728339195251,948.62,69.4536
142834,-0.00542747974396,852,948.62,-0.00602871,0.0,2,0.933393,0.00850611,113.18392062187195,948.62,68.7526
145244,0.600773304701,855,943.67,-0.00676221,0.0,3,0.92844,0.00376207,114.7898633480072,943.67,30.4667
146708,0.94293673709,858,928.31,-0.00896478,0.0,3,0.919718,0.00738225,116.41512250900269,928.31,5.56669
148708,-0.00440895557404,860,929.89,-0.0044724,0.0,2,0.929168,0.00549321,118.02774333953857,929.89,71.8526
150708,-0.00018572807312,862,933.25,-0.00675784,0.0,2,0.940603,0.00849212,119.65296769142151,933.25,71.2313
152708,-0.00406289100647,864,933.25,-0.00519401,0.0,2,0.975188,0.00684366,121.25482869148254,933.25,70.7139
154708,0.00256925821304,866,933.25,-0.00464357,0.0,2,0.996214,0.00439851,122.87994718551636,933.25,69.9432
156708,-0.00702095031738,868,933.25,-0.00486088,0.0,2,1.0126,0.00569237,124.48849081993103,933.25,69.9716
159708,0.0521157979965,871,933.25,-0.00952116,0.0,3,1.0079,0.00669192,126.09198069572449,933.25,87.4889
161708,-0.0291167497635,873,933.25,-0.0072066,0.0,2,0.999317,0.00876738,127.70159935951233,933.25,69.4232
163708,-0.00771081447601,875,933.25,-0.00289436,0.0,2,1.00061,0.0031015,129.31806588172913,933.25,69.0088
165634,0.0076397061348,877,932.51,-0.00510179,0.0,2,0.98446,0.00516709,130.91802859306335,932.51,62.2512
167634,-0.0174515247345,879,938.26,-0.0040163,0.0,2,0.998528,0.00464503,132.52739930152893,938.26,68.9677
169634,-0.00141859054565,881,938.59,-0.00602484,0.0,2,1.01332,0.0058598,134.1523952484131,938.59,68.7892
171042,0.424990773201,883,932.67,-0.0106597,0.0,2,1.01587,0.0072786,135.76176571846008,932.67,11.0028
173775,0.547009855509,886,930.0,-0.0070491,0.0,3,1.01091,0.00734317,137.3711338043213,930.0,65.0424
175775,-0.00990378856659,888,930.0,-0.00499822,0.0,2,0.999453,0.00745174,138.9805052280426,930.0,69.8343
177775,-0.00648534297943,890,930.0,-0.00849296,0.0,2,0.996813,0.00700124,140.60549902915955,930.0,69.4542
179775,-0.000924706459045,892,930.0,-0.00385452,0.0,2,0.992891,0.00648387,142.2148699760437,930.0,69.325
182052,0.262891948223,895,922.77,-0.00375802,0.0,3,0.995346,0.00378306,143.8242404460907,922.77,49.1784
184052,-0.00599777698517,897,922.77,-0.00421115,0.0,2,0.990874,0.00664749,145.4336097240448,922.77,69.9626
185827,0.815071210265,900,910.52,-0.0160922,0.0,3,1.00105,0.00538564,147.05152201652527,910.52,13.2354
187827,-0.00771963596344,902,910.52,-0.00454301,0.0,2,0.997566,0.00413192,148.62985515594482,910.52,70.8681
189827,0.0174330472946,904,924.35,-0.00404344,0.0,2,0.99302,0.00516856,150.25218892097473,924.35,65.3107
