loss_kl,EpRewMean,EpisodesSoFar,TimeElapsed,EpLenMean,loss_vf_loss,TimestepsSoFar,loss_pol_entpen,EpThisIter,loss_pol_surr,loss_ent,ev_tdlam_before
0.0158589,-312.409673142,92,81.01547527313232,1000.0,8.02064,92000,0.0,2,-0.0611493,5.33826,0.327067196369
0.0169461,-304.467814693,94,82.79670310020447,1000.0,8.12373,94000,0.0,2,-0.0659294,5.24139,0.310419142246
0.0148963,-296.341935563,96,84.59330153465271,1000.0,6.76024,96000,0.0,2,-0.0596761,5.15195,0.25308406353
0.0161981,-287.813644616,98,86.39028596878052,1000.0,7.38598,98000,0.0,2,-0.0603797,5.0926,0.233425080776
0.0136251,-279.883139298,100,88.18952918052673,1000.0,9.22914,100000,0.0,2,-0.0537489,5.03619,0.366332828999
0.0174498,-264.494602427,102,89.96849608421326,1000.0,10.2273,102000,0.0,2,-0.0586946,4.9571,0.229006230831
0.0193208,-247.63585797,104,91.78085780143738,1000.0,8.86175,104000,0.0,2,-0.0624895,4.89916,0.213339745998
0.0194919,-230.028950328,106,93.56261134147644,1000.0,9.27879,106000,0.0,2,-0.0588584,4.82451,0.139641880989
0.0200865,-212.153941693,108,95.35936856269836,1000.0,10.394,108000,0.0,2,-0.0587173,4.74643,0.21513235569
0.0173441,-196.232873007,110,97.14060235023499,1000.0,9.50363,110000,0.0,2,-0.0637595,4.63896,0.198309361935
0.0167648,-179.743923304,112,98.92138290405273,1000.0,11.1463,112000,0.0,2,-0.0580913,4.57671,0.236339271069
0.0238819,-160.376340272,114,100.71184062957764,1000.0,12.5437,114000,0.0,2,-0.0590027,4.51293,0.222132980824
0.0194186,-143.09298607,116,102.51507210731506,1000.0,12.2083,116000,0.0,2,-0.0531397,4.41367,0.192538619041
0.0197245,-126.182379732,118,104.29686307907104,1000.0,15.3785,118000,0.0,2,-0.0565814,4.30727,0.232289254665
0.0187227,-106.108859998,120,106.09349608421326,1000.0,16.7814,120000,0.0,2,-0.0600651,4.22251,0.387231826782
0.0185421,-87.3308499795,122,107.87465047836304,1000.0,18.245,122000,0.0,2,-0.0531111,4.1824,0.486068546772
0.0206234,-66.9902623255,124,109.6714255809784,1000.0,20.567,124000,0.0,2,-0.0496966,4.13406,0.202377796173
0.0244232,-46.2395154313,126,111.46879386901855,1000.0,22.2455,126000,0.0,2,-0.0499527,4.09928,0.298750162125
0.0141913,-18.1241488873,129,113.25564670562744,1000.0,30.4744,129000,0.0,3,-0.0527105,4.0448,0.484652936459
0.0185907,3.4210200844,131,115.04626035690308,1000.0,21.3716,131000,0.0,2,-0.0463546,3.98739,0.211268901825
0.0234743,23.6376120835,133,116.82788062095642,1000.0,26.051,133000,0.0,2,-0.0481375,3.89375,0.278714060783
0.0211714,43.9351888292,135,118.62454605102539,1000.0,25.1009,135000,0.0,2,-0.0440349,3.81443,0.139558494091
0.0196368,64.0765246149,137,120.40641808509827,1000.0,28.7457,137000,0.0,2,-0.0503314,3.74931,0.253883481026
0.0225856,83.9166558803,139,122.20295667648315,1000.0,25.8533,139000,0.0,2,-0.0470457,3.65615,0.157452344894
0.0161527,104.673481964,141,123.98456120491028,1000.0,31.2124,141000,0.0,2,-0.0431136,3.60059,0.0848845243454
0.023301,125.382351735,143,125.78253102302551,1000.0,34.2845,143000,0.0,2,-0.0421608,3.56549,0.1593131423
0.0228084,147.484158164,145,127.56254076957703,1000.0,37.504,145000,0.0,2,-0.0504545,3.52515,0.318506896496
0.0161757,168.825931057,147,129.35909008979797,1000.0,34.2068,147000,0.0,2,-0.0402793,3.53857,0.202006280422
0.0200143,190.106645394,149,131.1471652984619,1000.0,35.1854,149000,0.0,2,-0.0394203,3.5098,0.191856443882
0.01829,211.760342343,151,132.93745374679565,1000.0,41.0648,151000,0.0,2,-0.0437893,3.49052,0.0912814736366
0.0208953,232.753118499,153,134.71847343444824,1000.0,47.0523,153000,0.0,2,-0.0461361,3.43688,0.262253165245
