loss_pol_entpen,loss_ent,EpLenMean,EpThisIter,EpRewMean,loss_pol_surr,EpisodesSoFar,loss_kl,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_vf_loss
0.0,-0.0118135,144.33,12,1341.2017723,-0.0112839,3963,0.00918567,82.77823829650879,94004,0.658208310604,7538.96
0.0,-0.0193994,146.27,13,1359.2208778,-0.0146884,3976,0.00791905,84.5438585281372,96041,0.622620999813,7084.64
0.0,-0.0325078,161.5,6,1500.90487915,-0.00687299,3982,0.0123999,86.3089542388916,98244,0.546868026257,8117.83
0.0,-0.068511,163.04,15,1515.20893535,-0.0106131,3997,0.0119748,88.07397294044495,100350,0.522368729115,7602.8
0.0,-0.0804884,174.99,7,1626.4135045,-0.00491224,4004,0.013612,89.8389961719513,102242,0.622248739004,7408.5
0.0,-0.0787556,191.5,5,1780.06604038,-0.00793818,4009,0.0226809,91.59684538841248,104328,0.440492868423,7973.38
0.0,-0.0769389,195.66,5,1818.86942088,-0.0136306,4014,0.00971561,93.34735679626465,105824,0.641980022192,7531.63
0.0,-0.0763813,211.49,6,1966.36534991,-0.0125391,4020,0.00717868,95.11334443092346,108159,0.604817837477,7660.92
0.0,-0.0882585,221.31,6,2057.89890593,0.0061189,4026,0.0309663,96.87864565849304,110359,0.645042210817,7163.08
0.0,-0.10353,234.82,4,2183.74982317,-0.00818623,4030,0.00662855,98.65139102935791,112320,0.429913043976,7504.39
0.0,-0.119351,250.44,3,2329.21612059,-0.00496958,4033,0.0102907,100.40827941894531,114629,0.272501289845,7805.76
0.0,-0.127409,261.05,3,2427.91077952,-0.0105665,4036,0.00648678,102.16049814224243,115957,0.310948312283,7579.85
0.0,-0.155647,275.19,5,2559.50321868,-0.00848595,4041,0.0201628,103.92375946044922,117823,0.411987602711,7559.7
0.0,-0.160915,285.88,5,2659.07158073,-0.00814569,4046,0.00443193,105.67062044143677,120027,0.301570236683,7676.84
0.0,-0.171942,309.06,3,2874.95703327,-0.00635329,4049,0.0125415,107.42351531982422,122734,0.3522965312,7309.42
0.0,-0.181422,322.25,3,2997.79864144,-0.00786957,4052,0.0123815,109.18940949440002,124403,0.328617691994,7136.68
0.0,-0.177646,335.92,2,3125.14537557,-0.00588103,4054,0.0133514,110.94100618362427,126403,-0.0325328111649,7112.23
0.0,-0.191643,355.06,6,3303.39770834,-0.00462074,4060,0.0128463,112.69809794425964,128887,0.491771876812,6813.78
0.0,-0.210039,358.72,7,3337.52212496,-0.0123322,4067,0.00864218,114.44817924499512,130739,0.501901507378,6749.72
0.0,-0.202273,377.17,2,3509.31829206,-0.0100325,4069,0.0101541,116.2143087387085,132685,0.375910699368,6153.97
0.0,-0.222811,393.96,3,3665.67925212,-0.00898446,4072,0.00897047,117.96523237228394,134761,0.335998892784,6477.06
0.0,-0.219839,410.59,3,3820.54013806,-0.0106682,4075,0.0137126,119.72333240509033,137058,0.496784567833,6220.09
0.0,-0.223537,417.67,3,3886.60042394,-0.00565544,4078,0.00658082,121.4894163608551,139175,0.242212057114,6701.56
0.0,-0.246203,428.74,4,3989.74091503,-0.00882948,4082,0.00803606,123.2591803073883,141118,0.548159748316,5312.71
0.0,-0.251637,442.27,8,4115.77936801,-0.00687435,4090,0.0144728,125.02609586715698,143324,0.694897294044,5786.37
0.0,-0.244557,446.43,4,4154.58477988,-0.0155478,4094,0.00900986,126.78565406799316,144632,0.699915319681,5242.89
0.0,-0.240412,463.24,7,4311.20255277,-0.00513294,4101,0.0128927,128.55163884162903,147454,0.752692133188,5451.06
0.0,-0.253475,459.19,6,4273.58464599,-0.0108644,4107,0.00991032,130.30077457427979,149447,0.664204895496,5252.4
0.0,-0.26621,456.73,6,4250.60806175,-0.0135949,4113,0.00551473,132.06657791137695,151485,0.67320933938,5699.21
0.0,-0.268443,459.59,3,4277.22848136,0.00141683,4116,0.0259542,133.8131628036499,153055,0.616345226765,5017.35
0.0,-0.271322,466.07,3,4337.51881207,-0.00456476,4119,0.0205835,135.58805179595947,154754,0.605429053307,4863.82
0.0,-0.262879,486.03,3,4523.32183311,-0.00650945,4122,0.00673135,137.34573435783386,157514,0.236831963062,5673.01
0.0,-0.260179,493.29,3,4590.81013484,-0.00860096,4125,0.0101782,139.11235308647156,159557,0.5312076509,4955.33
0.0,-0.2724,503.52,4,4685.98675202,-0.00348329,4129,0.019233,140.86212873458862,161672,0.657357543707,4508.37
0.0,-0.281302,491.98,4,4578.40358746,-0.00799253,4133,0.0211385,142.63486981391907,163827,0.607640475035,4915.48
0.0,-0.289995,486.31,5,4525.67162901,-0.0130095,4138,0.0189477,144.38622641563416,165588,0.718506008387,4679.17
0.0,-0.319476,487.05,4,4532.41528324,0.000310076,4142,0.0289793,146.18218636512756,167528,0.643038868904,4930.82
0.0,-0.31962,492.74,2,4585.29258877,-0.0123379,4144,0.0129027,147.93391251564026,169175,0.294069886208,4996.76
0.0,-0.343659,507.01,3,4718.03203866,-0.00848367,4147,0.0156445,149.6908507347107,171728,0.322891950607,5341.43
0.0,-0.350052,503.41,3,4684.40000449,-0.011555,4150,0.0208119,151.4412865638733,173564,0.553802341223,4277.16
0.0,-0.375462,487.2,5,4533.26140582,-0.0122871,4155,0.00915504,153.20643162727356,176123,0.618465363979,4973.31
0.0,-0.381408,501.04,2,4662.090177,7.37626e-05,4157,0.0302609,154.97134065628052,178097,0.332734286785,4185.97
0.0,-0.374474,508.07,2,4727.46498935,-0.00518156,4159,0.0154726,156.7323305606842,179477,0.48948943615,4274.5
0.0,-0.38625,524.34,6,4878.88711738,-0.0146026,4165,0.0254022,158.47900938987732,181948,0.671102792025,4621.8
0.0,-0.38151,530.47,2,4935.82692946,-0.00634207,4167,0.0285161,160.25035119056702,183786,0.419820070267,4142.85
0.0,-0.390054,517.96,3,4819.21600223,-0.0114071,4170,0.0129599,162.00381016731262,185481,0.625630438328,4305.35
0.0,-0.393281,496.11,6,4615.65120464,-0.0106488,4176,0.00782162,163.76761484146118,187669,0.642060935497,5137.29
0.0,-0.4054,500.28,5,4654.31426667,-0.0122503,4181,0.0145588,165.5278549194336,190223,0.485146164894,6414.17
0.0,-0.42045,502.82,5,4677.88994945,-0.0122031,4186,0.015121,167.29905104637146,192058,0.583785444498,5486.57
0.0,-0.417031,508.76,3,4733.09526415,-0.00699475,4189,0.00647615,169.05114936828613,194079,0.537035316229,4411.69
0.0,-0.41044,528.02,3,4912.3618814,-0.00722199,4192,0.0262968,170.8142671585083,196508,0.370387554169,5104.94
0.0,-0.415072,532.62,2,4955.12186875,-0.00315022,4194,0.015902,172.57350540161133,197894,0.264369606972,4292.42
0.0,-0.411433,533.31,6,4961.44160228,0.00753781,4200,0.0333345,174.33850073814392,200681,0.546298593283,6130.9
0.0,-0.427554,541.37,3,5036.4468109,-0.0052037,4203,0.0249538,176.1049931049347,202746,0.361920714378,5302.56
0.0,-0.446446,541.61,6,5038.70225292,-0.0114602,4209,0.00814174,177.8722505569458,204433,0.645922541618,5857.93
0.0,-0.441205,552.45,4,5139.59206637,-0.0079064,4213,0.0120371,179.62913537025452,206730,0.667211085558,4910.54
0.0,-0.438704,556.62,2,5178.381615,-0.00783311,4215,0.0288512,181.39410853385925,207914,0.566836535931,3756.33
0.0,-0.444551,554.36,4,5157.34582669,-0.00939927,4219,0.0138427,183.14454174041748,210190,0.561773985624,4883.12
0.0,-0.43041,549.69,4,5113.88876375,-0.00785175,4223,0.0103753,184.92272353172302,212984,0.274173259735,7005.68
0.0,-0.438403,551.81,2,5133.6488052,-0.0024953,4225,0.0431207,186.68311762809753,214738,0.24894708395,3228.79
0.0,-0.439418,560.5,2,5214.67773341,-0.0123045,4227,0.0175203,188.44956851005554,216738,-0.00851905345917,4733.84
0.0,-0.434447,566.88,2,5274.13329359,-0.00615692,4229,0.0183979,190.1992814540863,218360,0.491811096668,3358.25
0.0,-0.430456,581.45,3,5409.94460984,-0.0107856,4232,0.0103116,191.96432948112488,220972,0.379971265793,5285.07
0.0,-0.429667,590.86,2,5497.67242991,-0.00531672,4234,0.0303241,193.7213954925537,222972,-0.0584366321564,4764.06
0.0,-0.423815,587.93,4,5470.47093418,-0.00829266,4238,0.0153519,195.47275352478027,224381,0.625444173813,3222.01
0.0,-0.410839,596.35,3,5548.98947548,-0.00606999,4241,0.00721155,197.23609018325806,226792,0.300577521324,5402.84
0.0,-0.43145,577.45,5,5373.22228428,0.000492688,4246,0.0226659,199.00393104553223,228920,0.712558269501,3660.48
0.0,-0.427505,588.19,3,5473.35005735,0.000435377,4249,0.0564346,200.76725244522095,231383,0.0702223181725,4750.4
0.0,-0.420029,574.38,4,5344.90885568,-0.0112778,4253,0.0321864,202.52647399902344,233348,0.584956914186,4950.35
0.0,-0.407797,587.28,2,5465.07025442,-0.00717458,4255,0.0167215,204.29263544082642,234851,0.626246392727,2033.61
0.0,-0.399917,575.63,4,5356.84718372,-0.00960604,4259,0.0187083,206.05767560005188,237040,0.632028579712,4417.39
0.0,-0.400806,582.98,2,5425.43239629,0.00211598,4261,0.0201974,207.81654286384583,239040,-0.00292360782623,4810.27
0.0,-0.405048,599.42,3,5578.64956551,-0.00766866,4264,0.0222145,209.5825355052948,241471,0.138886153698,6437.05
0.0,-0.412454,599.69,2,5581.27604829,-0.00731461,4266,0.0158219,211.33199524879456,242917,0.317367851734,4198.8
0.0,-0.415814,601.31,2,5596.59202758,-0.00780195,4268,0.00860905,213.0824875831604,244917,-0.00809371471405,4943.99
0.0,-0.4163,614.36,2,5718.30611304,-0.00555129,4270,0.0234674,214.8309166431427,246917,0.000966489315033,4168.78
0.0,-0.402714,624.07,2,5808.8653555,-0.0117078,4272,0.0147074,216.60464143753052,248917,-0.0668691396713,4998.78
0.0,-0.394445,638.27,4,5941.19988395,-0.00257625,4276,0.0153828,218.3690893650055,251496,0.35399222374,6018.93
0.0,-0.377003,651.27,3,6062.30356203,-0.0065285,4279,0.0197625,220.13509440422058,253890,0.278405547142,5326.51
0.0,-0.382361,652.58,3,6074.63153155,-0.00418212,4282,0.0273296,221.87092304229736,255793,0.498159527779,4810.65
0.0,-0.375542,660.29,2,6146.45591366,-0.010138,4284,0.010906,223.62877488136292,257793,0.0450850725174,4988.13
0.0,-0.386144,665.42,3,6194.2494161,-0.0077101,4287,0.0287204,225.3938593864441,259452,0.643594056368,3339.57
0.0,-0.402078,658.9,4,6133.64814105,-0.0079475,4291,0.0251804,227.14764285087585,261969,0.339372515678,8245.82
0.0,-0.417099,670.75,2,6244.121863,-0.00355502,4293,0.0247741,228.90998435020447,263969,0.0190851092339,4953.28
0.0,-0.41095,670.75,2,6244.31490025,-0.0089826,4295,0.0100337,230.66708993911743,265969,-0.017725110054,5228.86
0.0,-0.407298,682.88,2,6357.37323323,-0.00706338,4297,0.0260802,232.43310236930847,267969,-0.00840294361115,5275.01
0.0,-0.405038,694.29,2,6463.81556335,-0.00208973,4299,0.019103,234.18347096443176,269969,-0.000853300094604,5307.58
0.0,-0.423229,704.58,2,6559.78770018,-0.00467392,4301,0.0175038,235.93414306640625,271969,-0.00300145149231,5343.26
0.0,-0.423025,712.23,2,6631.16907631,-0.00295628,4303,0.0161029,237.6925868988037,273969,-0.00451183319092,5378.01
0.0,-0.416225,727.18,2,6770.50232269,-0.00385867,4305,0.0279416,239.44660902023315,275969,-0.00294137001038,5415.18
0.0,-0.421828,740.8,3,6897.50881709,-0.0150486,4308,0.0107109,241.21331143379211,278480,0.410720705986,3662.02
