EpRewMean,EpisodesSoFar,loss_vf_loss,ev_tdlam_before,loss_ent,loss_pol_surr,EpLenMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,loss_kl,TimeElapsed
276.9,738,58.7278,-0.00482940673828,0.973271,-0.00708977,276.9,0.0,2,36122,0.00488804,29.937403917312622
295.62,740,60.4137,-0.00583755970001,0.968462,-0.00427059,295.62,0.0,2,38122,0.00499411,31.577977657318115
314.92,742,61.8376,-0.00110530853271,0.956198,-0.00499836,314.92,0.0,2,40122,0.00839872,33.23400592803955
334.46,744,62.9932,-0.00460124015808,0.953348,-0.00175274,334.46,0.0,2,42122,0.00284867,34.859604597091675
353.42,746,63.9925,-0.00107276439667,0.957675,-0.00307214,353.42,0.0,2,44122,0.00421076,36.51553726196289
381.82,749,66.0526,0.204957008362,0.984102,-0.00579757,381.82,0.0,3,47104,0.00433867,38.15722322463989
400.19,751,65.7998,-0.024156332016,0.9835,-0.00978626,400.19,0.0,2,49104,0.0112098,39.79841375350952
419.22,753,65.4796,-0.00115442276001,1.00737,-0.0063228,419.22,0.0,2,51104,0.0160806,41.4390344619751
438.66,755,66.0166,-0.00279128551483,1.01222,-0.00228668,438.66,0.0,2,53104,0.00425159,43.093650579452515
457.54,757,66.3068,-5.48362731934e-05,1.0196,-0.00562639,457.54,0.0,2,55104,0.00367013,44.734158992767334
474.2,760,2.96335,0.719303071499,1.0224,-0.00755791,474.2,0.0,3,56877,0.00461772,46.374813079833984
493.22,762,61.8187,-0.00433576107025,1.01121,-0.00805409,493.22,0.0,2,58877,0.00972495,47.99985194206238
512.22,764,69.3626,-0.0336649417877,1.03128,-0.00889913,512.22,0.0,2,60877,0.0141496,49.65645718574524
530.73,766,68.7567,0.000214993953705,1.03078,-0.00568546,530.73,0.0,2,62877,0.0160824,51.28149628639221
549.43,768,68.7959,-0.000229001045227,1.02777,-0.003608,549.43,0.0,2,64877,0.00539112,52.90634870529175
568.61,770,68.75,-0.0111817121506,1.00942,-0.00298761,568.61,0.0,2,66877,0.00503099,54.54661703109741
587.03,772,50.7523,-0.0066545009613,1.01818,-0.00477257,587.03,0.0,2,68877,0.00414481,56.18776512145996
606.08,774,49.9334,0.014984369278,1.01275,-0.00247606,606.08,0.0,2,70877,0.0124999,57.829129219055176
624.87,776,68.9996,-0.00307703018188,1.01911,-0.00430068,624.87,0.0,2,72877,0.00724099,59.459436893463135
