EpLenMean,EpThisIter,loss_ent,TimestepsSoFar,EpRewMean,EpisodesSoFar,loss_vf_loss,loss_pol_entpen,loss_pol_surr,ev_tdlam_before,TimeElapsed,loss_kl
1000.0,2,4.79123,92000,-209.304041877,92,14.6899,0.0,-0.0599018,0.207472920418,81.14084672927856,0.0223716
1000.0,2,4.7424,94000,-195.989790431,94,16.1607,0.0,-0.053642,0.278069555759,82.93808770179749,0.0155442
1000.0,2,4.67412,96000,-182.908791196,96,16.2455,0.0,-0.059695,0.425895571709,84.71982836723328,0.0172122
1000.0,2,4.58463,98000,-170.64446547,98,18.1888,0.0,-0.0516477,0.325761795044,86.51561903953552,0.022549
1000.0,2,4.50964,100000,-157.890742368,100,17.8663,0.0,-0.0503877,0.323331356049,88.29756045341492,0.0184431
1000.0,2,4.44378,102000,-134.723187046,102,22.994,0.0,-0.0533442,0.23837608099,90.0944459438324,0.0171225
1000.0,2,4.38683,104000,-111.606906371,104,21.6599,0.0,-0.0509375,0.229528069496,91.87582588195801,0.0199551
1000.0,2,4.36086,106000,-88.1417471328,106,19.5919,0.0,-0.0488629,0.318853855133,93.67253971099854,0.0154626
1000.0,2,4.29263,108000,-66.4162903754,108,24.4373,0.0,-0.0512041,0.421568453312,95.468759059906,0.0188277
1000.0,2,4.20078,110000,-43.501193049,110,25.5757,0.0,-0.0481015,0.41578245163,97.25024485588074,0.0230612
1000.0,2,4.14674,112000,-19.9606041931,112,23.1489,0.0,-0.0526433,0.521759241819,99.03165602684021,0.0190696
1000.0,2,4.07081,114000,1.34323300766,114,25.6584,0.0,-0.0454162,0.45319801569,100.83450126647949,0.0179324
1000.0,2,3.9989,116000,24.1792180498,116,27.5761,0.0,-0.0444243,0.312632262707,102.62559461593628,0.0224304
1000.0,2,3.94909,118000,45.6536013244,118,28.3413,0.0,-0.0480655,0.0977588891983,104.42248773574829,0.0188703
1000.0,2,3.88518,120000,68.1989440848,120,33.214,0.0,-0.0490494,0.229344308376,106.2036600112915,0.0176476
1000.0,2,3.8545,122000,90.5258711973,122,30.2948,0.0,-0.0462955,0.273437619209,107.98926758766174,0.0174131
1000.0,2,3.80904,124000,112.597155539,124,33.708,0.0,-0.046038,0.26129513979,109.78114819526672,0.0191297
1000.0,2,3.78454,126000,134.054247672,126,35.9248,0.0,-0.0428306,0.240487396717,111.57884860038757,0.0184946
1000.0,3,3.74424,129000,166.17763181,129,49.8291,0.0,-0.0451677,0.218125462532,113.35966348648071,0.0211359
1000.0,2,3.68752,131000,186.024676159,131,35.7877,0.0,-0.0486038,0.426949441433,115.14333009719849,0.0216566
1000.0,2,3.64841,133000,205.99853009,133,37.3304,0.0,-0.0384314,0.0803415775299,116.93794512748718,0.018409
1000.0,2,3.58739,135000,227.900602321,135,35.4853,0.0,-0.0406002,0.114076673985,118.71928358078003,0.0191768
1000.0,2,3.52632,137000,248.569324808,137,40.381,0.0,-0.0440666,0.275293827057,120.5163516998291,0.019157
1000.0,2,3.47138,139000,268.889795826,139,36.8108,0.0,-0.041624,0.222037672997,122.29675722122192,0.0228086
1000.0,2,3.41466,141000,289.304172659,141,39.5769,0.0,-0.0456337,0.218058824539,124.09534406661987,0.0212017
