loss_pol_surr,loss_kl,loss_ent,EpThisIter,TimeElapsed,EpLenMean,ev_tdlam_before,loss_vf_loss,loss_pol_entpen,EpRewMean,EpisodesSoFar,TimestepsSoFar
-0.0626896,0.0149573,5.48221,2,81.37527227401733,1000.0,0.42033880949,9.85923,0.0,-336.805121904,92,92000
-0.0615118,0.0152215,5.38725,2,83.18739485740662,1000.0,0.370742499828,10.6422,0.0,-328.287567462,94,94000
-0.059803,0.0144062,5.29775,2,84.9847137928009,1000.0,0.42560082674,9.72602,0.0,-321.020911098,96,96000
-0.0635614,0.014862,5.20308,2,86.7813949584961,1000.0,0.531625032425,11.1261,0.0,-312.770235048,98,98000
-0.0662701,0.0156129,5.08999,2,88.57847356796265,1000.0,0.138215720654,9.05134,0.0,-304.204732588,100,100000
-0.0647217,0.0186812,4.96248,2,90.37525916099548,1000.0,0.2616147995,9.59978,0.0,-288.744937543,102,102000
-0.0616322,0.0179138,4.8975,2,92.18760585784912,1000.0,0.292824923992,7.86836,0.0,-270.981223045,104,104000
-0.0622786,0.0172513,4.77624,2,93.98438096046448,1000.0,0.205483973026,7.3105,0.0,-251.71314348,106,106000
-0.0566826,0.0172813,4.72477,2,95.78123903274536,1000.0,0.461918532848,14.5508,0.0,-234.767229313,108,108000
-0.0604032,0.0163286,4.68557,2,97.59585618972778,1000.0,0.655722260475,12.5938,0.0,-218.11663148,110,110000
-0.0581843,0.0182205,4.62562,2,99.39183688163757,1000.0,0.755177214742,14.4381,0.0,-202.509699113,112,112000
-0.0548235,0.0149923,4.54935,2,101.20302319526672,1000.0,0.402032494545,13.1459,0.0,-184.59567208,114,114000
-0.0613175,0.0182122,4.48404,2,102.98595690727234,1000.0,0.585087180138,15.3429,0.0,-167.633107727,116,116000
-0.057762,0.0181492,4.43003,2,104.80079460144043,1000.0,0.0858496427536,13.6624,0.0,-147.208584745,118,118000
-0.0560187,0.017603,4.39617,2,106.5787262916565,1000.0,0.406770586967,17.3136,0.0,-129.578267612,120,120000
-0.0606199,0.0148088,4.33031,2,108.391348361969,1000.0,0.7037961483,24.2209,0.0,-113.922511589,122,122000
-0.0539556,0.0172481,4.21681,2,110.18744421005249,1000.0,0.417009592056,17.5031,0.0,-94.7365583781,124,124000
-0.0532745,0.0190391,4.17633,2,111.9844000339508,1000.0,0.450953364372,21.0567,0.0,-73.9747047777,126,126000
-0.0505364,0.0177306,4.12695,3,113.76561999320984,1000.0,0.224139809608,25.9552,0.0,-45.0468321633,129,129000
-0.0507733,0.0166821,4.09291,2,115.57846236228943,1000.0,0.23442363739,20.9183,0.0,-23.3941391323,131,131000
-0.053456,0.017559,4.04697,2,117.36029934883118,1000.0,0.473559975624,23.674,0.0,-1.66667012888,133,133000
-0.0506091,0.0244777,4.00139,2,119.17311644554138,1000.0,0.487385392189,28.4627,0.0,17.5804187327,135,135000
-0.049825,0.0181229,3.93313,2,120.9541027545929,1000.0,0.155752241611,29.235,0.0,36.1554636179,137,137000
-0.0474743,0.0194698,3.89657,2,122.76600742340088,1000.0,0.0794494748116,26.7688,0.0,57.2896304945,139,139000
-0.0559012,0.0189335,3.81532,2,124.54706048965454,1000.0,0.423529148102,31.3523,0.0,76.5133226285,141,141000
-0.047059,0.0204995,3.78611,2,126.36122822761536,1000.0,0.141757488251,33.16,0.0,95.9451103944,143,143000
-0.0421014,0.0204699,3.76833,2,128.14100193977356,1000.0,0.133945167065,35.3693,0.0,116.150272329,145,145000
-0.0510277,0.0229979,3.72514,2,129.95402884483337,1000.0,0.293722331524,37.6263,0.0,137.55194149,147,147000
-0.0500972,0.0184344,3.63145,2,131.74078130722046,1000.0,0.317103683949,36.7141,0.0,158.534282998,149,149000
-0.0487865,0.0171026,3.60069,2,133.53164839744568,1000.0,0.427587032318,42.1519,0.0,177.936918162,151,151000
-0.0439699,0.0199766,3.56018,2,135.32852911949158,1000.0,0.0152915716171,39.8843,0.0,197.762711903,153,153000
-0.0410615,0.0212301,3.48274,2,137.1254894733429,1000.0,0.149849355221,41.4689,0.0,218.084978583,155,155000
-0.0410678,0.0179233,3.44295,2,138.92212414741516,1000.0,0.0728125572205,45.1405,0.0,238.863930131,157,157000
-0.0421396,0.0169675,3.42144,2,140.7030200958252,1000.0,0.183451771736,45.4106,0.0,260.416047422,159,159000
-0.0405716,0.0202639,3.39706,2,142.50085759162903,1000.0,0.295577466488,42.9837,0.0,280.47091719,161,161000
-0.0426454,0.0201724,3.39741,2,144.29759788513184,1000.0,0.300440728664,48.1707,0.0,300.301731098,163,163000
-0.0447841,0.0217386,3.3413,2,146.09375071525574,1000.0,0.43700748682,51.8884,0.0,320.27103459,165,165000
-0.0434245,0.017996,3.30549,2,147.8757073879242,1000.0,0.154425919056,51.3829,0.0,341.16303044,167,167000
-0.0456143,0.0197073,3.29557,2,149.6725959777832,1000.0,0.278327822685,50.4058,0.0,359.916195328,169,169000
-0.04056,0.0207305,3.2756,3,151.4689531326294,1000.0,0.253541827202,68.8681,0.0,388.193189873,172,172000
-0.0560772,0.0173855,3.25289,2,153.2666757106781,1000.0,0.557930678129,53.6493,0.0,396.764699195,174,174000
-0.0517112,0.0223217,3.24887,2,155.04678440093994,1000.0,0.618843108416,55.655,0.0,414.839652544,176,176000
-0.0505041,0.0177557,3.24447,2,156.84437775611877,1000.0,0.82174551487,60.1479,0.0,428.788143506,178,178000
-0.0532103,0.0239055,3.1921,2,158.6407287120819,1000.0,0.920828007162,38.4308,0.0,433.936992133,180,180000
-0.0417303,0.0186632,3.19614,2,160.45338606834412,1000.0,0.126889109612,58.9274,0.0,454.103042726,182,182000
-0.0440296,0.0210294,3.15608,2,162.25089311599731,1000.0,0.18109023571,61.093,0.0,471.834169384,184,184000
-0.0410126,0.0216443,3.09118,2,164.0469422340393,1000.0,0.231981694698,54.4623,0.0,489.819466773,186,186000
-0.0410927,0.0208366,3.04284,2,165.82850098609924,1000.0,0.2626953125,60.8979,0.0,507.62735538,188,188000
-0.0482398,0.0255475,3.03608,2,167.64108037948608,1000.0,0.873934626579,42.6403,0.0,512.092377353,190,190000
-0.0392042,0.0207081,3.00048,2,169.4376130104065,1000.0,0.065567612648,60.6349,0.0,529.100923004,192,192000
-0.0481737,0.0213456,2.95172,2,171.2306568622589,1000.0,0.503326207399,63.2392,0.0,545.821121697,194,194000
-0.0442352,0.0227275,2.93174,2,173.03147554397583,1000.0,0.561698645353,68.7643,0.0,562.476831517,196,196000
-0.0415333,0.0224031,2.91512,2,174.81350016593933,1000.0,0.316332519054,64.4539,0.0,578.506741903,198,198000
-0.0418772,0.0196509,2.89704,2,176.5937695503235,1000.0,0.129180371761,66.1675,0.0,594.391909437,200,200000
-0.05543,0.0211213,2.89341,2,178.39921641349792,1000.0,0.782263055444,79.3962,0.0,610.056199258,202,202000
-0.0418708,0.0242098,2.84454,2,180.18756413459778,1000.0,0.167090117931,64.6594,0.0,614.896159471,204,204000
-0.037186,0.019137,2.82445,2,181.98463606834412,1000.0,0.213829159737,64.4801,0.0,628.55006732,206,206000
-0.0409152,0.0269838,2.83699,2,183.7971134185791,1000.0,0.350528478622,73.4366,0.0,643.150595926,208,208000
-0.041683,0.0272412,2.77876,2,185.59380102157593,1000.0,0.117346346378,68.8399,0.0,657.800723971,210,210000
-0.0411626,0.0256545,2.68951,2,187.3907105922699,1000.0,0.140297412872,70.316,0.0,672.038234579,212,212000
-0.0394372,0.0293684,2.61878,3,189.18749523162842,1000.0,0.174482166767,92.771,0.0,691.47187355,215,215000
-0.0417414,0.0257305,2.5984,2,190.9694845676422,1000.0,0.101751208305,74.6826,0.0,704.229100857,217,217000
-0.0374816,0.0204665,2.58589,2,192.76638078689575,1000.0,0.0772773623466,69.6996,0.0,714.958424456,219,219000
-0.0531612,0.0270148,2.53155,2,194.57805371284485,1000.0,0.703069508076,53.2248,0.0,711.077653046,221,221000
-0.0476915,0.0248227,2.49867,2,196.3749918937683,1000.0,0.757011666894,84.0788,0.0,723.809103742,223,223000
-0.0501067,0.0201566,2.47955,2,198.1874966621399,1000.0,0.909488782287,81.8403,0.0,721.333901935,225,225000
-0.0477745,0.0197652,2.45704,2,199.98433446884155,1000.0,0.923278056085,85.9732,0.0,719.223735544,227,227000
