loss_pol_entpen,EpisodesSoFar,loss_ent,EpThisIter,TimestepsSoFar,TimeElapsed,EpLenMean,loss_pol_surr,loss_vf_loss,EpRewMean,ev_tdlam_before,loss_kl
0.0,1443,23.086,31,65501,115.51911687850952,68.63,-0.136689,0.340589,33.9587747743,0.904494680464,0.0485142
0.0,1470,23.0667,27,67567,119.16693019866943,71.62,-0.145391,0.411423,35.4235597868,0.917586870492,0.0504776
0.0,1501,23.0152,31,69570,122.76845836639404,69.36,-0.141592,0.551553,34.246112025,0.918776504695,0.0534615
0.0,1530,23.0124,29,71606,126.38417387008667,70.24,-0.142349,0.411044,34.6772873107,0.933906897902,0.0547868
0.0,1558,22.9697,28,73680,130.05424571037292,69.89,-0.140604,0.410656,34.3420803925,0.911254234612,0.0523724
0.0,1590,22.9065,32,75754,133.66020894050598,68.8,-0.1463,0.372097,33.9498058342,0.930948026478,0.0490125
0.0,1619,22.8894,29,77764,137.29762268066406,69.61,-0.138407,0.353862,34.3723255343,0.918930590153,0.053435
0.0,1646,22.8579,27,79871,140.96176600456238,71.34,-0.144954,0.327841,35.0958118998,0.921685911715,0.0583245
0.0,1676,22.8396,30,81917,144.5785539150238,70.12,-0.144057,0.302391,34.5229921828,0.951017573476,0.0508419
0.0,1704,22.8066,28,83909,148.23463106155396,72.12,-0.143334,0.31342,35.5711887955,0.93334197253,0.0540188
0.0,1730,22.777,26,85949,151.88474082946777,74.15,-0.149857,0.357628,36.4933458861,0.952139701694,0.0602981
0.0,1759,22.7508,29,88020,155.53186464309692,72.86,-0.142511,0.371595,36.1164241176,0.949293408543,0.0541939
0.0,1786,22.725,27,90094,159.18749690055847,74.23,-0.137802,0.321065,36.4783769005,0.933921262622,0.0582659
0.0,1812,22.6583,26,92134,162.860169172287,75.38,-0.144035,0.435111,37.0123751999,0.935244299471,0.060052
0.0,1839,22.6522,27,94135,166.49647045135498,75.22,-0.140017,0.354488,37.074852491,0.940548345447,0.0543204
0.0,1868,22.6026,29,96218,170.18039846420288,75.26,-0.140996,0.276135,36.9834702168,0.959700148553,0.0561486
0.0,1893,22.5176,25,98261,173.82004642486572,77.41,-0.145794,0.322816,38.0590820784,0.946624990553,0.062865
0.0,1919,22.4808,26,100290,177.47666931152344,76.28,-0.147979,0.266661,37.1857216583,0.942543055862,0.0684804
0.0,1947,22.4199,28,102383,181.14636206626892,76.29,-0.140134,0.238896,37.2558025382,0.93686567992,0.0582778
0.0,1973,22.3563,26,104379,184.8048083782196,76.9,-0.144223,0.365233,37.7193643805,0.937492884696,0.0630959
0.0,2000,22.315,27,106492,188.43756771087646,76.79,-0.14202,0.374417,37.6426085645,0.932740211487,0.0635432
0.0,2026,22.2981,26,108527,192.10244703292847,77.33,-0.145206,0.304536,37.9417912933,0.951388198882,0.0638649
0.0,2052,22.2567,26,110543,195.73448634147644,78.17,-0.14586,0.375055,38.1564948221,0.944135468453,0.0630431
0.0,2077,22.2695,25,112637,199.40673995018005,78.96,-0.145552,0.355361,38.2525165607,0.947449225932,0.0703972
0.0,2101,22.2454,24,114617,203.07021975517273,80.46,-0.147604,0.248314,38.958855683,0.953622959554,0.0636634
0.0,2126,22.2516,25,116644,206.71913886070251,81.17,-0.143403,0.31544,39.4665499293,0.942291252315,0.0668093
0.0,2151,22.2103,25,118776,210.40616846084595,83.11,-0.137559,0.359723,40.8224800137,0.948527336121,0.0662875
0.0,2174,22.1668,23,120770,214.1356201171875,83.86,-0.142453,0.330492,41.3577384514,0.932488456368,0.0670878
0.0,2197,22.1091,23,122837,217.80039477348328,85.64,-0.138592,0.410767,42.2202897285,0.923993095756,0.0674869
0.0,2222,22.0817,25,124836,221.5029797554016,85.24,-0.142974,0.472722,41.9783697598,0.936046592891,0.0654274
0.0,2245,22.0563,23,126924,225.1900930404663,86.0,-0.14827,0.305167,42.4181341885,0.944083735347,0.0666463
0.0,2272,21.9988,27,128995,228.8755397796631,83.66,-0.140941,0.367682,41.1672332608,0.939000744373,0.0638431
0.0,2296,21.9043,24,131011,232.56500816345215,82.61,-0.143013,0.31584,40.7469848429,0.937394991517,0.0659451
0.0,2321,21.9081,25,133085,236.23429250717163,83.19,-0.144569,0.381581,41.0763330501,0.95748437196,0.068318
0.0,2345,21.8829,24,135158,239.93005919456482,82.34,-0.137443,0.275395,40.6615046638,0.929296262562,0.0651621
0.0,2368,21.8138,23,137161,243.60267758369446,84.62,-0.145122,0.313274,41.8219746939,0.944885682315,0.0689166
0.0,2393,21.7621,25,139260,247.26567339897156,85.93,-0.141876,0.345463,42.2369380091,0.949564963579,0.0719563
0.0,2417,21.7236,24,141281,250.9536521434784,85.31,-0.14505,0.384165,41.8816035329,0.959998771548,0.0758209
0.0,2441,21.6764,24,143312,254.6013424396515,85.13,-0.145822,0.290652,41.6252091463,0.949927117676,0.0693271
0.0,2463,21.6773,22,145381,258.28111743927,86.62,-0.148347,0.360339,42.3993490823,0.938696332276,0.075695
0.0,2486,21.6796,23,147394,261.9998662471771,87.49,-0.143248,0.287875,42.5757709,0.954767972231,0.0716699
0.0,2510,21.6417,24,149498,265.62557554244995,87.65,-0.139986,0.310832,42.8366151917,0.946063101292,0.0706958
0.0,2534,21.5664,24,151532,269.46898913383484,88.37,-0.136775,0.361326,43.3669618594,0.934422768652,0.070281
0.0,2557,21.5362,23,153597,273.3288106918335,88.11,-0.139811,0.289991,43.0341218553,0.938693296164,0.0681142
0.0,2580,21.5018,23,155609,277.20326590538025,87.05,-0.13718,0.382449,42.6463259489,0.936564013362,0.0731741
0.0,2603,21.4872,23,157641,280.953266620636,88.23,-0.143504,0.528015,43.336484789,0.926457934082,0.0738758
0.0,2627,21.4407,24,159703,284.61010122299194,87.67,-0.140617,0.410743,42.8821731587,0.917607754469,0.0781176
0.0,2652,21.4329,25,161732,288.2971203327179,86.05,-0.144336,0.40832,42.5432789966,0.94533579424,0.0783478
0.0,2676,21.3883,24,163808,291.9761412143707,85.93,-0.144594,0.612437,42.5202988483,0.94849390164,0.0805429
0.0,2699,21.3122,23,165848,295.67228174209595,86.01,-0.142802,0.440166,42.4990048944,0.940680138767,0.0768219
0.0,2723,21.2939,24,167906,299.3758261203766,84.79,-0.145987,0.502652,41.8083220948,0.936465762556,0.0734132
0.0,2748,21.2427,25,169928,303.07052397727966,85.49,-0.143569,0.385054,42.1048033962,0.944360077381,0.0711229
0.0,2772,21.2099,24,172015,306.74340653419495,85.86,-0.140871,0.326612,42.3533195171,0.963070798665,0.0776425
0.0,2794,21.1616,22,174010,310.42168831825256,85.73,-0.149526,0.318501,42.7064113674,0.960496898741,0.0868196
0.0,2817,21.1614,23,176036,314.1026303768158,86.67,-0.150892,0.282523,43.4738625801,0.959616135806,0.0860603
0.0,2841,21.1197,24,178138,317.8011693954468,87.51,-0.144656,0.290208,43.9515216569,0.960468541831,0.0783078
0.0,2865,21.0646,24,180149,321.4843053817749,86.86,-0.148775,0.372331,43.4227975703,0.957922082394,0.0748439
0.0,2888,21.0689,23,182236,325.19640851020813,87.45,-0.146648,0.320489,43.3666038601,0.958730772138,0.0772138
0.0,2910,21.0832,22,184320,329.00002098083496,89.38,-0.141474,0.298431,43.9465839968,0.942489568144,0.0764465
0.0,2930,21.0666,20,186283,332.6882121562958,90.96,-0.148709,0.31066,44.7557912669,0.954553712159,0.0821209
0.0,2953,21.0494,23,188414,336.4230797290802,92.43,-0.145352,0.421478,45.4246025012,0.950358878821,0.0874645
0.0,2974,21.034,21,190433,340.11701107025146,94.62,-0.148171,0.343005,46.6598450859,0.959343492985,0.0866592
0.0,2995,21.0119,21,192499,343.82944321632385,95.84,-0.138537,0.375854,47.392180962,0.946292556822,0.0749683
0.0,3019,20.9944,24,194520,347.53176832199097,92.96,-0.142245,0.471589,45.9586098073,0.948825001717,0.0754632
0.0,3040,20.9618,21,196541,351.24992656707764,94.88,-0.133857,0.36184,46.8550027042,0.946632180363,0.0831471
0.0,3063,20.9061,23,198573,354.9270441532135,91.37,-0.142126,0.391133,45.2081003061,0.951078724116,0.0775435
0.0,3084,20.8915,21,200672,358.6751780509949,92.23,-0.142621,0.47707,45.8465110933,0.949833840132,0.0875126
0.0,3108,20.8492,24,202693,362.3679928779602,90.54,-0.143889,0.410869,45.1342031425,0.950336925685,0.080623
0.0,3130,20.8103,22,204715,366.08122992515564,90.91,-0.148482,0.426354,45.4517402337,0.965940285474,0.0876991
0.0,3154,20.7911,24,206809,369.81265473365784,90.57,-0.144855,0.338759,45.2749682201,0.96219080314,0.0798684
0.0,3179,20.7537,25,208896,373.47202801704407,86.85,-0.144988,0.299477,43.5532434567,0.960501492023,0.0935592
0.0,3201,20.6997,22,210879,377.1875147819519,87.65,-0.141482,0.285662,43.6483597849,0.958676323295,0.0859007
0.0,3223,20.6752,22,212984,380.90951013565063,88.79,-0.144302,0.366879,44.0306773671,0.957065802068,0.0901638
0.0,3247,20.6766,24,215011,384.61806559562683,88.77,-0.138826,0.320861,43.8391782062,0.940956708044,0.0901157
0.0,3271,20.6516,24,217084,388.31495213508606,88.6,-0.147749,0.287524,43.6014951882,0.96077234298,0.0808344
0.0,3292,20.6407,21,219079,392.00003385543823,90.09,-0.149064,0.269062,44.5582115028,0.954452645034,0.0918654
0.0,3314,20.6069,22,221142,395.6890163421631,90.34,-0.145386,0.268015,45.0024137394,0.952688023448,0.0933098
0.0,3335,20.5914,21,223195,399.42587018013,92.33,-0.141038,0.273213,45.969509846,0.956194911152,0.0827775
0.0,3356,20.5651,21,225217,403.1443016529083,93.99,-0.142226,0.324424,46.7806851742,0.958859670907,0.0901709
0.0,3377,20.5249,21,227283,406.84447264671326,96.36,-0.138687,0.261698,48.0909020086,0.951763760298,0.0891934
0.0,3400,20.5103,23,229310,410.55580615997314,95.38,-0.140973,0.285529,47.4700705885,0.934541016817,0.0911372
0.0,3421,20.4874,21,231365,414.28196573257446,95.73,-0.14536,0.303286,47.5427720462,0.950744081289,0.101511
0.0,3443,20.4757,22,233434,417.96921467781067,94.82,-0.142136,0.359192,47.1000192652,0.95615940541,0.0894493
0.0,3466,20.4316,23,235477,421.7030930519104,92.87,-0.142302,0.342054,46.3427509708,0.959712095559,0.0925182
0.0,3489,20.4041,23,237543,425.376229763031,91.71,-0.142377,0.287258,45.3626096217,0.947791017592,0.0893192
0.0,3509,20.3682,20,239581,429.1100125312805,93.5,-0.146511,0.255731,46.2034801909,0.96277532354,0.0916295
0.0,3531,20.3574,22,241647,432.8602886199951,93.16,-0.145934,0.311693,45.6138592334,0.962239470333,0.100294
0.0,3552,20.345,21,243697,436.54056119918823,94.57,-0.145612,0.416605,46.5701007002,0.958900012076,0.0934867
0.0,3573,20.2749,21,245722,440.26561188697815,96.09,-0.144232,0.393914,47.3580945938,0.959066994488,0.0974914
0.0,3593,20.2125,20,247767,443.97693157196045,98.48,-0.143868,0.385075,48.827828183,0.953745227307,0.0920846
0.0,3615,20.2086,22,249825,447.6718306541443,97.45,-0.154153,0.316739,48.4214530115,0.957193795592,0.0967813
0.0,3635,20.1548,20,251757,451.4063935279846,97.4,-0.147094,0.412157,48.3103453092,0.948237985373,0.0963244
0.0,3658,20.1231,23,253851,455.1020977497101,95.58,-0.147433,0.396247,47.2758496332,0.952471975237,0.0984038
0.0,3677,20.1351,19,255845,458.8283932209015,96.3,-0.143587,0.482668,47.5670453103,0.951159682125,0.0975564
0.0,3699,20.0567,22,257981,462.5318281650543,96.02,-0.145162,0.431732,47.7603290392,0.945440899581,0.101443
0.0,3722,19.9932,23,260088,466.23499035835266,96.08,-0.140535,0.348627,47.6386557371,0.948137797415,0.107551
0.0,3743,19.9836,21,262144,469.95320558547974,96.04,-0.140812,0.385909,47.8302778887,0.949323557317,0.0970975
0.0,3763,19.9526,20,264106,473.672283411026,97.25,-0.143986,0.274668,48.5102584846,0.967453088611,0.0905128
0.0,3784,19.9023,21,266216,477.3758182525635,97.31,-0.146005,0.385775,48.5870279564,0.945840276778,0.109363
0.0,3804,19.8691,20,268148,481.12514901161194,96.66,-0.146416,0.379514,47.9696675076,0.957876432687,0.10609
0.0,3826,19.8196,22,270328,484.8313138484955,98.65,-0.137123,0.436414,48.9933572872,0.953704081476,0.102355
0.0,3847,19.8013,21,272325,488.555557012558,97.37,-0.142248,0.482765,48.2743590368,0.95645545423,0.0999659
0.0,3869,19.7845,22,274368,492.29741859436035,96.3,-0.144205,0.353388,47.5747012587,0.954965062439,0.105266
