loss_kl,EpLenMean,EpRewMean,TimeElapsed,EpThisIter,loss_ent,loss_pol_entpen,ev_tdlam_before,TimestepsSoFar,loss_pol_surr,EpisodesSoFar,loss_vf_loss
0.0132091,1000.0,-720.472538021,2.054182767868042,2,8.43611,0.0,-0.00987005233765,2000,-0.0322491,2,102.14
0.0134478,1000.0,-653.943830061,3.8512320518493652,2,8.39948,0.0,-0.253078699112,4000,-0.0383233,4,21.7287
0.0145685,1000.0,-633.414181758,5.640407562255859,2,8.31589,0.0,0.0437121987343,6000,-0.0439581,6,12.2739
0.0171095,1000.0,-631.30337991,7.45550012588501,2,8.21954,0.0,0.0897246003151,8000,-0.0429579,8,24.5566
0.0162655,1000.0,-619.09198411,9.244143009185791,2,8.12652,0.0,0.0842493772507,10000,-0.0367089,10,22.7781
0.0137671,1000.0,-614.715675951,11.053616046905518,2,8.06419,0.0,0.0910779833794,12000,-0.0382858,12,38.6882
0.0160291,1000.0,-599.373158927,12.85110354423523,2,7.93814,0.0,0.0380030870438,14000,-0.0420188,14,26.5318
0.0135231,1000.0,-580.319935062,14.648242950439453,2,7.88776,0.0,0.0931413173676,16000,-0.0393466,16,27.5503
0.0146087,1000.0,-569.477264856,16.429625988006592,2,7.82036,0.0,0.0619851350784,18000,-0.0427169,18,32.8537
0.0162804,1000.0,-568.675762099,18.257705211639404,2,7.73782,0.0,0.171461045742,20000,-0.0417356,20,28.6426
0.0167887,1000.0,-556.031980303,20.05331516265869,2,7.64679,0.0,0.186642587185,22000,-0.0416514,22,24.9924
0.016506,1000.0,-548.087315692,21.85038137435913,2,7.58466,0.0,0.135615706444,24000,-0.0360451,24,19.4503
0.0175178,1000.0,-541.136414347,23.647930145263672,2,7.46069,0.0,0.132945358753,26000,-0.0407077,26,20.3697
0.0167624,1000.0,-532.389693283,25.475044012069702,2,7.39645,0.0,-0.0156267881393,28000,-0.0409688,28,20.9317
0.0144897,1000.0,-522.408831642,27.2725772857666,2,7.27824,0.0,0.0398615002632,30000,-0.0371139,30,16.725
0.019909,1000.0,-515.21033267,29.084493160247803,2,7.21356,0.0,0.124829173088,32000,-0.042829,32,18.9904
0.019395,1000.0,-506.567184919,30.882508516311646,2,7.13669,0.0,0.198110699654,34000,-0.0423272,34,18.3829
0.0162078,1000.0,-493.410385058,32.725948333740234,2,7.07588,0.0,0.114698529243,36000,-0.0432944,36,16.8697
0.0141197,1000.0,-482.904036776,34.52315306663513,2,7.01132,0.0,0.242920279503,38000,-0.0431775,38,16.945
0.0128653,1000.0,-474.628109836,36.350271701812744,2,6.95803,0.0,0.0259588360786,40000,-0.0370515,40,14.2925
0.0139738,1000.0,-461.653799731,38.14738702774048,3,6.87949,0.0,0.152552843094,43000,-0.0411515,43,19.8952
0.0155512,1000.0,-454.080552961,39.95953845977783,2,6.82912,0.0,0.237286329269,45000,-0.0450794,45,14.0122
0.0175972,1000.0,-445.930730414,41.75729155540466,2,6.74132,0.0,-0.0228412151337,47000,-0.0485401,47,13.3237
0.0140941,1000.0,-438.996380656,43.569910287857056,2,6.67875,0.0,0.163479685783,49000,-0.0480097,49,12.3313
0.0169243,1000.0,-431.000033879,45.36607813835144,2,6.61206,0.0,-0.228449106216,51000,-0.0472126,51,12.0142
0.0171134,1000.0,-424.327279825,47.17928218841553,2,6.49651,0.0,0.0936635136604,53000,-0.0488789,53,13.4675
0.0156616,1000.0,-416.358199523,48.975629806518555,2,6.39238,0.0,0.0856533646584,55000,-0.0510324,55,12.7093
0.0192392,1000.0,-407.38730771,50.804410457611084,2,6.32056,0.0,0.345285892487,57000,-0.0527864,57,7.64331
0.0155237,1000.0,-399.847798682,52.61576986312866,2,6.23665,0.0,0.128080189228,59000,-0.0497045,59,9.45399
0.0174934,1000.0,-391.947006055,54.47548270225525,2,6.16511,0.0,0.170347213745,61000,-0.0519816,61,11.1506
0.0176306,1000.0,-384.123135619,56.28882670402527,2,6.08384,0.0,0.390747487545,63000,-0.0550349,63,8.87629
0.0129118,1000.0,-377.479483806,58.09521150588989,2,6.0257,0.0,0.586819469929,65000,-0.0546757,65,12.549
0.0152729,1000.0,-369.373535916,59.89725613594055,2,5.93167,0.0,-0.175719261169,67000,-0.0537753,67,8.64827
0.0132558,1000.0,-361.590646264,61.70963978767395,2,5.82051,0.0,0.26976120472,69000,-0.0554635,69,6.16107
0.014143,1000.0,-353.650479587,63.50644850730896,2,5.72566,0.0,0.508450627327,71000,-0.0562401,71,10.9029
0.0158346,1000.0,-344.838218027,65.31855535507202,2,5.64654,0.0,0.07201141119,73000,-0.0573889,73,7.11437
0.0171709,1000.0,-336.836017652,67.13039588928223,2,5.54518,0.0,0.151697993279,75000,-0.0600426,75,6.82628
0.0147959,1000.0,-328.681802047,68.97491645812988,2,5.49635,0.0,0.322910070419,77000,-0.0562937,77,8.33038
0.0179867,1000.0,-323.173721444,70.77250385284424,2,5.4158,0.0,0.445165514946,79000,-0.0569081,79,8.01346
0.0186331,1000.0,-313.774266986,72.58521056175232,2,5.36142,0.0,0.254833221436,81000,-0.0614433,81,5.79465
0.0167597,1000.0,-304.64657699,74.39678144454956,2,5.27092,0.0,0.287216424942,83000,-0.0600879,83,8.53516
0.016428,1000.0,-292.318179431,76.21139144897461,3,5.20825,0.0,0.295285820961,86000,-0.0604613,86,9.00676
0.0160397,1000.0,-282.939610132,77.99057817459106,2,5.14247,0.0,0.219415009022,88000,-0.0610408,88,6.09121
0.0161863,1000.0,-274.342714296,79.80485343933105,2,5.09594,0.0,0.299345254898,90000,-0.0619061,90,7.49338
0.0137931,1000.0,-271.504965804,81.6002266407013,2,5.06874,0.0,0.411609232426,92000,-0.0534761,92,12.8639
0.0169107,1000.0,-264.876600728,83.41248965263367,2,4.98563,0.0,0.440662741661,94000,-0.0625342,94,9.75074
0.015762,1000.0,-256.580705026,85.19548749923706,2,4.90089,0.0,0.234691560268,96000,-0.060881,96,8.86015
0.0142493,1000.0,-248.291280146,86.9910774230957,2,4.84461,0.0,0.271550238132,98000,-0.0577851,98,8.2078
0.0164261,1000.0,-239.497335278,88.7881588935852,2,4.76606,0.0,0.245422124863,100000,-0.0624853,100,8.26476
0.0195407,1000.0,-220.943486725,90.60037279129028,2,4.67422,0.0,0.274224996567,102000,-0.0633398,102,12.2551
0.0163709,1000.0,-205.28404831,92.39962983131409,2,4.5946,0.0,0.244365513325,104000,-0.0601756,104,12.294
0.0150245,1000.0,-188.521538848,94.21002626419067,2,4.54134,0.0,0.320340275764,106000,-0.0576979,106,11.7254
0.0164108,1000.0,-170.261586021,96.00687265396118,2,4.42604,0.0,0.333732545376,108000,-0.0593393,108,12.1619
0.0160191,1000.0,-156.802601563,97.82029604911804,2,4.39213,0.0,0.793753921986,110000,-0.0580479,110,9.77313
0.0188313,1000.0,-139.699998501,99.61600875854492,2,4.32943,0.0,0.28409832716,112000,-0.0605876,112,12.6136
0.0197482,1000.0,-123.415555538,101.42850255966187,2,4.28063,0.0,0.478981256485,114000,-0.0575736,114,16.8201
0.0179227,1000.0,-108.765367872,103.22647476196289,2,4.19454,0.0,0.603736758232,116000,-0.0638729,116,14.8159
0.0230548,1000.0,-93.3738985267,105.02307939529419,2,4.14202,0.0,0.540709555149,118000,-0.0536067,118,11.2524
0.0217107,1000.0,-75.0900355989,106.81892156600952,2,4.05907,0.0,0.546015381813,120000,-0.0627371,120,16.6633
0.0201725,1000.0,-58.4799602772,108.61619210243225,2,4.0195,0.0,0.224088490009,122000,-0.0572988,122,19.1121
0.0186263,1000.0,-43.4861709766,110.4127106666565,2,3.9555,0.0,0.441618323326,124000,-0.0635299,124,22.6905
0.0164363,1000.0,-27.5159143766,112.22490501403809,2,3.90488,0.0,0.415787220001,126000,-0.0618135,126,19.5909
0.0174612,1000.0,-2.26566758151,114.02220964431763,3,3.87714,0.0,0.536434322596,129000,-0.0545686,129,23.362
0.0198847,1000.0,12.9928349986,115.83463311195374,2,3.81657,0.0,0.309250712395,131000,-0.0635738,131,22.0739
0.0187547,1000.0,26.2964866643,117.63213419914246,2,3.77457,0.0,0.649072855711,133000,-0.0653612,133,21.8798
0.0173119,1000.0,41.5777294335,119.42865204811096,2,3.73242,0.0,0.205540955067,135000,-0.0608346,135,22.5072
0.0186393,1000.0,57.2391964314,121.2256760597229,2,3.65539,0.0,0.364611387253,137000,-0.0561101,137,22.3196
0.0250533,1000.0,72.4510105917,123.03775644302368,2,3.6292,0.0,0.359433948994,139000,-0.0499603,139,25.3372
0.0210856,1000.0,87.3568639251,124.8186571598053,2,3.58272,0.0,0.391102552414,141000,-0.0543689,141,25.1247
0.0228387,1000.0,102.956848544,126.64745736122131,2,3.51128,0.0,0.385296285152,143000,-0.0556595,143,25.6406
0.0221265,1000.0,118.83976984,128.45371890068054,2,3.41713,0.0,0.0785375237465,145000,-0.0618246,145,23.2731
0.0250041,1000.0,134.240167079,130.27394008636475,2,3.39425,0.0,0.312489926815,147000,-0.0558571,147,26.9201
0.0224761,1000.0,151.417108449,132.05295133590698,2,3.35652,0.0,0.245655536652,149000,-0.0570101,149,29.125
0.0213377,1000.0,167.535720165,133.8657829761505,2,3.25482,0.0,0.158848941326,151000,-0.0523903,151,27.7391
0.0236172,1000.0,184.929028718,135.6468312740326,2,3.18673,0.0,0.240766823292,153000,-0.0489142,153,32.0937
0.0198746,1000.0,201.083182347,137.45966839790344,2,3.14171,0.0,0.299341976643,155000,-0.0527446,155,30.6845
0.0199361,1000.0,216.499635655,139.25630497932434,2,3.06319,0.0,0.333366155624,157000,-0.0482361,157,31.9945
0.0219765,1000.0,232.562636156,141.05351281166077,2,3.0517,0.0,0.366516649723,159000,-0.0504882,159,34.5781
0.0226012,1000.0,247.547759806,142.85122680664062,2,3.00404,0.0,0.338106870651,161000,-0.0547478,161,38.137
0.019966,1000.0,263.167620182,144.6623730659485,2,2.96318,0.0,0.382061243057,163000,-0.0567216,163,39.3937
0.0236562,1000.0,277.797646214,146.45735383033752,2,2.99112,0.0,0.45864367485,165000,-0.0562831,165,37.8407
0.023586,1000.0,290.694209005,148.25630736351013,2,2.94933,0.0,0.721379429102,167000,-0.0556989,167,38.0641
