#{"env_id": "InvertedPendulum-v2", "t_start": 1536427346.7773583}
r,l,t
7.0,7,3.204922
5.0,5,3.204922
7.0,7,3.204922
5.0,5,3.204922
18.0,18,3.220548
4.0,4,3.220548
11.0,11,3.220548
7.0,7,3.220548
11.0,11,3.236172
26.0,26,3.251795
9.0,9,3.251795
15.0,15,3.251795
7.0,7,3.267421
6.0,6,3.267421
8.0,8,3.267421
10.0,10,3.267421
12.0,12,3.283047
5.0,5,3.283047
4.0,4,3.283047
33.0,33,3.298671
5.0,5,3.298671
7.0,7,3.298671
19.0,19,3.314296
9.0,9,3.314296
7.0,7,3.32992
6.0,6,3.32992
21.0,21,3.32992
7.0,7,3.345547
21.0,21,3.345547
7.0,7,3.361172
5.0,5,3.361172
12.0,12,3.361172
14.0,14,3.376796
19.0,19,3.376796
16.0,16,3.394489
9.0,9,3.399488
16.0,16,3.400517
8.0,8,3.400517
6.0,6,3.400517
5.0,5,3.416144
5.0,5,3.416144
6.0,6,3.416144
7.0,7,3.416144
10.0,10,3.416144
11.0,11,3.431767
15.0,15,3.431767
26.0,26,3.447392
5.0,5,3.447392
6.0,6,3.463019
10.0,10,3.463019
4.0,4,3.463019
17.0,17,3.478643
23.0,23,3.478643
3.0,3,3.478643
8.0,8,3.494269
10.0,10,3.494269
12.0,12,3.494269
7.0,7,3.509894
15.0,15,3.509894
5.0,5,3.509894
10.0,10,3.509894
59.0,59,3.541143
20.0,20,3.556767
6.0,6,3.556767
4.0,4,3.556767
10.0,10,3.572392
6.0,6,3.572392
3.0,3,3.572392
9.0,9,3.572392
8.0,8,3.572392
8.0,8,3.588017
15.0,15,3.588017
8.0,8,3.588017
14.0,14,3.603642
4.0,4,3.603642
11.0,11,3.603642
27.0,27,3.619268
41.0,41,3.650517
8.0,8,3.650517
3.0,3,3.650517
9.0,9,3.650517
7.0,7,3.650517
12.0,12,3.666143
19.0,19,3.666143
7.0,7,3.681768
4.0,4,3.681768
9.0,9,3.681768
7.0,7,3.681768
5.0,5,3.681768
4.0,4,3.697392
12.0,12,3.697392
4.0,4,3.697392
15.0,15,3.713017
10.0,10,3.713017
13.0,13,3.713017
9.0,9,3.728643
9.0,9,3.728643
4.0,4,3.728643
5.0,5,3.728643
5.0,5,3.728643
24.0,24,3.744268
5.0,5,3.744268
11.0,11,3.759893
5.0,5,3.759893
7.0,7,3.759893
6.0,6,3.759893
5.0,5,3.759893
19.0,19,3.775517
20.0,20,3.791142
16.0,16,3.791142
25.0,25,3.806766
5.0,5,3.806766
14.0,14,3.822393
8.0,8,3.822393
16.0,16,3.822393
19.0,19,3.838017
6.0,6,3.838017
21.0,21,3.853641
7.0,7,3.853641
6.0,6,3.853641
7.0,7,3.853641
8.0,8,3.869267
11.0,11,3.869267
4.0,4,3.869267
7.0,7,3.869267
14.0,14,3.884891
29.0,29,3.900518
3.0,3,3.900518
10.0,10,3.900518
9.0,9,3.900518
24.0,24,3.916141
5.0,5,3.916141
6.0,6,3.931767
11.0,11,3.931767
8.0,8,3.931767
4.0,4,3.931767
23.0,23,3.947391
5.0,5,3.947391
30.0,30,3.963016
24.0,24,3.978642
5.0,5,3.978642
20.0,20,3.994267
7.0,7,3.994267
8.0,8,3.994267
10.0,10,3.994267
7.0,7,4.009892
9.0,9,4.009892
23.0,23,4.025517
7.0,7,4.025517
6.0,6,4.025517
4.0,4,4.025517
16.0,16,4.041141
16.0,16,4.041141
18.0,18,4.056767
9.0,9,4.056767
3.0,3,4.056767
6.0,6,4.056767
17.0,17,4.07239
10.0,10,4.07239
12.0,12,4.088017
4.0,4,4.088017
4.0,4,4.088017
7.0,7,4.088017
12.0,12,4.103642
14.0,14,4.744266
11.0,11,4.744266
17.0,17,4.75989
45.0,45,4.775513
36.0,36,4.791139
6.0,6,4.791139
23.0,23,4.806764
5.0,5,4.806764
6.0,6,4.806764
24.0,24,4.822389
23.0,23,4.838015
7.0,7,4.838015
52.0,52,4.869263
17.0,17,4.869263
29.0,29,4.884889
11.0,11,4.900513
6.0,6,4.900513
4.0,4,4.900513
40.0,40,4.916139
5.0,5,4.916139
8.0,8,4.931764
7.0,7,4.931764
6.0,6,4.931764
9.0,9,4.931764
30.0,30,4.947389
15.0,15,4.963013
22.0,22,4.963013
17.0,17,4.978639
21.0,21,4.994264
4.0,4,4.994264
7.0,7,4.994264
24.0,24,5.009889
3.0,3,5.009889
10.0,10,5.009889
9.0,9,5.025514
19.0,19,5.025514
31.0,31,5.04114
16.0,16,5.056763
7.0,7,5.056763
17.0,17,5.056763
30.0,30,5.072389
35.0,35,5.088013
27.0,27,5.103638
3.0,3,5.103638
6.0,6,5.119263
5.0,5,5.119263
5.0,5,5.119263
13.0,13,5.119263
5.0,5,5.134888
22.0,22,5.134888
12.0,12,5.150514
36.0,36,5.166138
24.0,24,5.181763
4.0,4,5.181763
29.0,29,5.197388
22.0,22,5.197388
33.0,33,5.213013
11.0,11,5.228638
7.0,7,5.228638
6.0,6,5.228638
28.0,28,5.244263
7.0,7,5.244263
18.0,18,5.259889
11.0,11,5.259889
4.0,4,5.259889
20.0,20,5.275513
12.0,12,5.275513
41.0,41,5.293818
5.0,5,5.309444
6.0,6,5.309444
68.0,68,5.340693
25.0,25,5.356321
12.0,12,5.356321
42.0,42,5.371944
4.0,4,5.387569
22.0,22,5.387569
8.0,8,5.403194
24.0,24,5.403194
38.0,38,5.418819
15.0,15,5.434443
54.0,54,5.465694
15.0,15,5.465694
18.0,18,5.481319
6.0,6,5.481319
20.0,20,5.496943
9.0,9,5.496943
6.0,6,5.496943
5.0,5,5.496943
8.0,8,5.496943
7.0,7,5.512569
18.0,18,5.512569
20.0,20,5.528193
6.0,6,5.528193
14.0,14,5.543818
7.0,7,5.543818
34.0,34,5.559444
35.0,35,5.575069
6.0,6,5.575069
11.0,11,5.590694
11.0,11,5.590694
6.0,6,5.590694
6.0,6,5.590694
20.0,20,5.606319
11.0,11,5.606319
4.0,4,5.606319
19.0,19,5.621943
42.0,42,5.637568
5.0,5,5.637568
12.0,12,5.653193
17.0,17,5.653193
24.0,24,5.668818
9.0,9,5.668818
12.0,12,5.684444
17.0,17,5.684444
9.0,9,5.700068
8.0,8,5.700068
46.0,46,5.715693
9.0,9,5.731318
10.0,10,5.731318
19.0,19,5.746943
4.0,4,5.746943
18.0,18,5.746943
