EpLenMean,loss_ent,EpRewMean,TimestepsSoFar,EpThisIter,loss_pol_entpen,loss_vf_loss,ev_tdlam_before,loss_pol_surr,loss_kl,TimeElapsed,EpisodesSoFar
819.2,1.10233,819.2,95559,2,0.0,43.2987,0.00101184844971,-0.00533917,0.0076364,76.54046058654785,829
837.39,1.09484,837.39,97559,2,0.0,70.565,-0.0179135799408,-0.00174775,0.00802615,78.15694522857666,831
854.52,1.09434,854.52,99559,2,0.0,67.069,0.0261889100075,-0.0060867,0.00664541,79.78221225738525,833
872.94,1.08886,872.94,101559,2,0.0,68.1636,-0.0163336992264,-0.00439314,0.00488624,81.41187739372253,835
883.65,1.09567,883.65,103559,2,0.0,68.3895,-0.00503408908844,-0.00308104,0.00443491,83.03687691688538,837
902.47,1.0886,902.47,106168,3,0.0,95.7067,0.0124961137772,-0.00604601,0.00389234,84.66176748275757,840
906.54,1.08836,906.54,108403,3,0.0,78.4089,0.0205877423286,-0.0117611,0.00805823,86.28004384040833,843
911.17,1.06969,911.17,110403,2,0.0,65.6041,-0.07444024086,-0.00265642,0.00895234,87.89685344696045,845
918.09,1.09183,918.09,112403,2,0.0,67.806,-0.0249240398407,-0.00313014,0.00467274,89.5222373008728,847
923.73,1.06903,923.73,114403,2,0.0,67.8128,-0.000633358955383,-0.00465861,0.00612669,91.1387038230896,849
924.86,1.06097,924.86,116403,2,0.0,67.9218,-0.00591385364532,-0.00279635,0.00478644,92.80535912513733,851
932.51,1.06476,932.51,118403,2,0.0,68.0379,-0.00429928302765,-0.00236212,0.00356316,94.42798399925232,853
936.48,1.07287,936.48,120387,2,0.0,59.9929,0.0637575984001,-0.00573616,0.00544931,96.04141926765442,855
936.48,1.06574,936.48,122387,2,0.0,68.6332,-0.0556210279465,-0.00151234,0.00255364,97.65791344642639,857
946.21,1.06528,946.21,124387,2,0.0,68.2669,0.00107061862946,-0.00361863,0.00504061,99.27712726593018,859
951.38,1.0838,951.38,126387,2,0.0,68.4227,-0.00182020664215,-0.00159699,0.00111502,100.8846218585968,861
951.38,1.07818,951.38,128387,2,0.0,68.2919,-0.00482380390167,-0.00320815,0.00404431,102.50242519378662,863
951.38,1.09781,951.38,130387,2,0.0,67.2291,0.0014261007309,-0.00762972,0.00891095,104.12742185592651,865
952.48,1.11349,952.48,132959,3,0.0,98.1551,-0.0053414106369,-0.00663875,0.00813321,105.75326108932495,868
958.58,1.12267,958.58,134959,2,0.0,67.6534,-0.0142208337784,-0.00405943,0.00636307,107.36526918411255,870
938.53,1.1144,938.53,136954,4,0.0,92.4519,0.0618337988853,-0.00963657,0.00203548,108.96838283538818,874
937.91,1.1008,937.91,138892,2,0.0,52.4176,0.0969934463501,-0.00942425,0.00716317,110.59230017662048,876
937.91,1.10271,937.91,140892,2,0.0,70.5616,-0.141757488251,-0.00681912,0.00824834,112.20929479598999,878
937.91,1.11034,937.91,142892,2,0.0,67.2266,-0.00742673873901,-0.00756363,0.0171696,113.8423581123352,880
937.91,1.10539,937.91,144892,2,0.0,67.4378,-0.0026843547821,-0.00678752,0.0117282,115.44851779937744,882
937.91,1.11901,937.91,146892,2,0.0,67.4802,2.08616256714e-05,-0.00838806,0.00627639,117.06969881057739,884
937.91,1.1333,937.91,148892,2,0.0,67.707,-0.00892734527588,-0.00376027,0.00341652,118.67919540405273,886
937.91,1.14956,937.91,150892,2,0.0,67.8603,-0.00076699256897,-0.00422771,0.00750887,120.31844139099121,888
937.91,1.14806,937.91,152892,2,0.0,67.8934,-0.00036358833313,-0.00514303,0.00727611,121.93491768836975,890
903.2,1.16228,903.2,155421,6,0.0,15.8564,0.0397287011147,-0.00477431,0.0114417,123.55306315422058,896
903.2,1.18365,903.2,157421,2,0.0,69.7024,-0.0050665140152,-0.00600907,0.0114196,125.17817807197571,898
911.91,1.19151,911.91,159421,2,0.0,69.5184,-0.00408577919006,-0.00477244,0.00680297,126.795663356781,900
906.95,1.17852,906.95,160925,2,0.0,40.5075,0.433688759804,-0.00693329,0.00743193,128.40502619743347,902
906.95,1.186,906.95,162925,2,0.0,39.9038,0.140402019024,-0.0112384,0.00547172,130.00649452209473,904
910.51,1.20938,910.51,165536,3,0.0,82.1689,0.324149847031,-0.00974953,0.0106714,131.63100337982178,907
910.08,1.19812,910.08,167493,2,0.0,69.8662,0.0141115188599,-0.0081072,0.0066783,133.24110460281372,909
910.08,1.20885,910.08,169493,2,0.0,69.3236,-0.0083259344101,-0.00513574,0.00334271,134.8586254119873,911
914.25,1.2028,914.25,171493,2,0.0,69.1567,-0.00185143947601,-0.0090834,0.00731574,136.47441244125366,913
919.34,1.20225,919.34,173493,2,0.0,69.0251,-0.00364923477173,-0.00378139,0.00960506,138.09940600395203,915
913.76,1.17631,913.76,175935,3,0.0,100.036,-0.00378370285034,-0.00435999,0.00310041,139.70877647399902,918
905.97,1.17727,905.97,178156,3,0.0,71.7631,0.0870064496994,-0.0081225,0.00543771,141.33377242088318,921
905.97,1.17809,905.97,180156,2,0.0,69.1401,-0.0989328622818,-0.00412144,0.00241305,142.94314122200012,923
905.97,1.17011,905.97,182156,2,0.0,67.7576,-0.00975668430328,-0.00513766,0.00771169,144.61118268966675,925
905.97,1.15961,905.97,184156,2,0.0,67.71,-0.0088073015213,-0.00613787,0.00784695,146.21338772773743,927
905.97,1.15694,905.97,186156,2,0.0,68.0189,-0.000258445739746,-0.0048261,0.00579068,147.84593796730042,929
899.96,1.14956,899.96,187555,2,0.0,67.0276,0.0013000369072,-0.0078943,0.00409426,149.45461106300354,931
899.96,1.15158,899.96,189555,2,0.0,68.1929,-0.00133669376373,-0.00430574,0.00713697,151.07272005081177,933
861.6,1.15013,861.6,192328,7,0.0,50.2291,0.586900234222,-0.0105948,0.00523029,152.68165040016174,940
864.96,1.16019,864.96,193899,2,0.0,45.3184,0.561525642872,-0.00797325,0.00622664,154.30690670013428,942
864.96,1.16989,864.96,195899,2,0.0,65.0807,0.00692522525787,-0.0103157,0.00813644,155.92338013648987,944
864.96,1.16575,864.96,197899,2,0.0,69.0324,-0.0124230384827,-0.00654938,0.00715096,157.54956793785095,946
851.85,1.16956,851.85,200588,4,0.0,74.4999,0.545964211226,-0.00910697,0.00438597,159.15405559539795,950
845.34,1.17214,845.34,201937,2,0.0,48.1696,0.562670648098,-0.0099271,0.0101486,160.76465487480164,952
845.5,1.18295,845.5,203937,2,0.0,68.9509,-0.010751247406,-0.00406965,0.00438656,162.38959407806396,954
845.5,1.16771,845.5,205937,2,0.0,68.8439,-0.00402283668518,-0.00921022,0.00838136,164.006929397583,956
845.5,1.17001,845.5,207937,2,0.0,68.8069,-0.00151979923248,-0.00575925,0.00773491,165.63301014900208,958
845.5,1.16881,845.5,210937,3,0.0,101.519,-0.000181555747986,-0.00613642,0.00889767,167.24062705039978,961
845.5,1.15835,845.5,212937,2,0.0,67.8835,-0.00110411643982,-0.00434807,0.00539309,168.85825538635254,963
